test/mean_Q,test/episode,stats_o/mean,epoch,stats_o/std,stats_g/std,train/episode,stats_g/mean,train/mean_Q,test/success_rate,train/success_rate
-3.1963844,20.0,0.17883582,0,0.054911546,0.110571,100.0,0.7439158,-2.0187387,0.0,0.0
-5.0266523,40.0,0.17746428,1,0.052608367,0.1081567,200.0,0.74535036,-4.0323744,0.0,0.0
-6.9542084,60.0,0.1789471,2,0.051194567,0.10561421,300.0,0.7474088,-5.9601164,0.0,0.01
-9.091241,80.0,0.17851534,3,0.0572145,0.11032341,400.0,0.74672365,-8.098547,0.0,0.0
-10.768718,100.0,0.17920238,4,0.05640742,0.10961977,500.0,0.748301,-9.628042,0.0,0.01
-12.19442,120.0,0.17881961,5,0.05582098,0.10881958,600.0,0.74760723,-11.620389,0.05,0.0
-13.936155,140.0,0.17889369,6,0.056569796,0.110289074,700.0,0.7475605,-12.9956665,0.0,0.04
-15.21948,160.0,0.17873015,7,0.057579324,0.11363709,800.0,0.7484948,-14.770861,0.0,0.0
-16.159512,180.0,0.17826048,8,0.060242265,0.118249916,900.0,0.74769837,-16.488338,0.0,0.01
-18.609945,200.0,0.17839289,9,0.06233776,0.12160789,1000.0,0.7471716,-17.515905,0.0,0.02
-18.719835,220.0,0.17804529,10,0.06211705,0.121565245,1100.0,0.74660796,-18.657358,0.0,0.01
-19.129856,240.0,0.17814086,11,0.06303493,0.12335118,1200.0,0.74680585,-20.005669,0.05,0.01
-21.573172,260.0,0.17826048,12,0.06357472,0.12481173,1300.0,0.7474145,-20.727528,0.0,0.01
-20.290161,280.0,0.17874555,13,0.065874666,0.12743749,1400.0,0.74842435,-20.802998,0.0,0.02
-19.958303,300.0,0.1787471,14,0.06668611,0.12797856,1500.0,0.7484881,-22.290627,0.0,0.02
-22.505732,320.0,0.17923737,15,0.0686861,0.12884724,1600.0,0.7497315,-21.796246,0.0,0.01
-21.451672,340.0,0.17946808,16,0.06961758,0.13023537,1700.0,0.75003856,-23.7449,0.0,0.01
-23.641537,360.0,0.17981052,17,0.071226485,0.13194919,1800.0,0.75126153,-22.921576,0.05,0.03
-22.22847,380.0,0.17988826,18,0.07239869,0.13397278,1900.0,0.75189537,-24.008522,0.0,0.02
-22.292263,400.0,0.18002836,19,0.073629044,0.13492122,2000.0,0.7522691,-24.26559,0.1,0.02
-20.242992,420.0,0.18023708,20,0.07370253,0.13530561,2100.0,0.7531883,-24.288912,0.15,0.05
-24.373636,440.0,0.18036121,21,0.07475994,0.13604037,2200.0,0.7536721,-24.84445,0.1,0.0
-22.639914,460.0,0.18059969,22,0.0746557,0.13588987,2300.0,0.7542918,-24.869875,0.1,0.02
-22.999615,480.0,0.18082808,23,0.07504781,0.13653566,2400.0,0.75442296,-25.673855,0.05,0.02
-22.659094,500.0,0.18105648,24,0.07580191,0.13717194,2500.0,0.7554025,-24.103937,0.05,0.05
-22.838945,520.0,0.1810857,25,0.0765191,0.13802567,2600.0,0.75575274,-26.394781,0.1,0.04
-22.505009,540.0,0.18143097,26,0.07708206,0.13935342,2700.0,0.7568094,-25.85745,0.05,0.04
-21.222584,560.0,0.18164375,27,0.07737896,0.14003046,2800.0,0.7579977,-24.426292,0.15,0.05
