stats_o/mean,test/episode,test/success_rate,test/mean_Q,stats_g/mean,train/episode,epoch,train/mean_Q,train/success_rate,stats_g/std,stats_o/std
0.2019163,20.0,0.1,-1.7242063,0.8446043,100.0,0,-1.5090157,0.05,0.11503732,0.05203995
0.20082933,40.0,0.0,-3.8844104,0.8385659,200.0,1,-3.1137202,0.11,0.10431615,0.051725093
0.20093279,60.0,0.1,-5.1970634,0.83872056,300.0,2,-5.0242815,0.05,0.10226273,0.051094368
0.20151548,80.0,0.05,-7.0529833,0.83854246,400.0,3,-6.3422117,0.09,0.10400251,0.05128462
0.2019406,100.0,0.0,-9.471576,0.8345373,500.0,4,-8.1329975,0.09,0.10378703,0.05223736
0.20199579,120.0,0.1,-10.275241,0.8377609,600.0,5,-10.420675,0.04,0.108467005,0.053883467
0.20186606,140.0,0.2,-9.090281,0.84038764,700.0,6,-11.2792015,0.07,0.11123749,0.053774685
0.20171514,160.0,0.1,-11.939353,0.83222914,800.0,7,-11.850146,0.11,0.13960014,0.05327384
0.20160075,180.0,0.1,-14.242787,0.83638066,900.0,8,-14.318545,0.09,0.13783263,0.055217553
0.2013081,200.0,0.05,-15.638102,0.8316221,1000.0,9,-14.899243,0.1,0.13705902,0.055063006
0.20145723,220.0,0.15,-14.934937,0.8355813,1100.0,10,-16.177418,0.08,0.20878921,0.054587584
0.20114048,240.0,0.0,-19.214365,0.84085673,1200.0,11,-17.265808,0.06,0.35654104,0.055053864
0.20112213,260.0,0.0,-19.139837,0.8408862,1300.0,12,-19.296381,0.06,0.3460678,0.05595648
0.20103563,280.0,0.05,-20.34675,0.84092194,1400.0,13,-19.986694,0.05,0.3373313,0.055805646
0.20100783,300.0,0.05,-19.296785,0.8437965,1500.0,14,-20.656033,0.05,0.33441353,0.055898115
0.20106821,320.0,0.05,-23.009403,0.8471654,1600.0,15,-20.543945,0.06,0.34292474,0.058030814
0.2011077,340.0,0.1,-20.750675,0.8465845,1700.0,16,-23.43563,0.04,0.33469138,0.058553748
0.20108217,360.0,0.05,-21.456898,0.8474069,1800.0,17,-22.25482,0.1,0.32734105,0.05869654
0.20098153,380.0,0.15,-19.8199,0.84243935,1900.0,18,-22.42219,0.1,0.32119754,0.058748964
0.20090117,400.0,0.1,-21.78206,0.83910877,2000.0,19,-23.63607,0.1,0.31571504,0.060070824
0.20099229,420.0,0.0,-25.90961,0.8390375,2100.0,20,-26.649887,0.02,0.30909204,0.059928227
0.20097609,440.0,0.1,-24.11597,0.8554003,2200.0,21,-25.915545,0.06,0.3620267,0.060158867
0.2008657,460.0,0.1,-24.591751,0.8678171,2300.0,22,-25.991156,0.05,0.40410805,0.06049109
0.20086525,480.0,0.15,-27.634018,0.92812586,2400.0,23,-25.83812,0.11,0.50925595,0.060854424
0.20084164,500.0,0.0,-28.415094,0.9839738,2500.0,24,-27.31649,0.08,0.5811439,0.060727816
0.20081282,520.0,0.05,-28.009817,1.0353936,2600.0,25,-29.245146,0.04,0.63477784,0.061099254
0.20070662,540.0,0.0,-31.805286,1.0825242,2700.0,26,-29.709978,0.1,0.67632383,0.061730787
0.20066477,560.0,0.0,-27.58756,1.1265687,2800.0,27,-30.264135,0.02,0.70990473,0.06170681
0.20070307,580.0,0.1,-31.112362,1.168127,2900.0,28,-31.88407,0.03,0.7376948,0.062072515
0.20086512,600.0,0.0,-34.00449,1.2065952,3000.0,29,-32.745007,0.03,0.76041967,0.06367589
0.20068994,620.0,0.0,-35.545414,1.2428923,3100.0,30,-33.011707,0.05,0.77944857,0.06576688
0.20079394,640.0,0.05,-34.721973,1.2768779,3200.0,31,-34.568687,0.01,0.7953379,0.06740978
0.20096804,660.0,0.0,-33.814125,1.3082744,3300.0,32,-34.035374,0.06,0.8083844,0.06895387
0.20103464,680.0,0.0,-32.802837,1.3377963,3400.0,33,-34.782658,0.06,0.81939197,0.07010146
0.2010951,700.0,0.0,-32.102364,1.3660088,3500.0,34,-34.891296,0.01,0.8287727,0.07117708
0.2013735,720.0,0.1,-35.926617,1.3924335,3600.0,35,-34.72372,0.03,0.8365774,0.07295283
0.20145582,740.0,0.1,-33.192112,1.4172796,3700.0,36,-35.173454,0.02,0.8430862,0.07385781
0.20133223,760.0,0.1,-35.78263,1.440971,3800.0,37,-36.095604,0.01,0.84856397,0.0749367
0.20128776,780.0,0.05,-34.36469,1.4634948,3900.0,38,-36.337757,0.03,0.8531305,0.07561506
0.201361,800.0,0.05,-33.36204,1.4849414,4000.0,39,-34.66774,0.01,0.85691327,0.07691338
0.20136808,820.0,0.0,-35.19569,1.5050386,4100.0,40,-34.489883,0.05,0.85993433,0.07766111
0.20141341,840.0,0.0,-35.992096,1.5244848,4200.0,41,-34.988827,0.01,0.86239403,0.07795728
0.20137182,860.0,0.1,-32.020924,1.5428411,4300.0,42,-34.63489,0.04,0.8643181,0.07833865
0.20136161,880.0,0.0,-36.289726,1.5604111,4400.0,43,-34.053097,0.05,0.86576724,0.07898504
0.20127834,900.0,0.05,-33.4659,1.5772935,4500.0,44,-34.67141,0.02,0.8668279,0.07995059
0.20122805,920.0,0.05,-33.472595,1.5934124,4600.0,45,-35.075848,0.07,0.8675377,0.08061808
0.20106576,940.0,0.0,-37.81405,1.608786,4700.0,46,-35.316574,0.04,0.8679344,0.08150161
0.20098579,960.0,0.1,-34.728878,1.6234051,4800.0,47,-34.34247,0.03,0.86804676,0.0818007
0.20094769,980.0,0.05,-28.839325,1.6375977,4900.0,48,-32.31091,0.07,0.8679264,0.08215887
0.2009949,1000.0,0.05,-33.14772,1.6514362,5000.0,49,-30.423069,0.09,0.867596,0.08281022
0.2010424,1020.0,0.05,-38.977108,1.664589,5100.0,50,-33.35254,0.04,0.86707515,0.08357599
0.20107925,1040.0,0.05,-28.987293,1.6769437,5200.0,51,-27.949045,0.11,0.86638147,0.08458879
