train/episode,test/episode,epoch,test/success_rate,stats_o/std,stats_g/mean,stats_g/std,test/mean_Q,train/success_rate,train/mean_Q,stats_o/mean
100.0,20.0,0,0.1,0.04485587,0.83721,0.08126175,-1.7225835,0.04,-1.446773,0.20117499
200.0,40.0,1,0.0,0.050603703,0.8372585,0.07702024,-3.9763439,0.1,-3.1551638,0.20099668
300.0,60.0,2,0.1,0.04894738,0.83671427,0.075177446,-4.9425406,0.04,-5.037714,0.20073344
400.0,80.0,3,0.05,0.04909049,0.8389229,0.074696325,-7.054326,0.09,-6.3429785,0.20161906
500.0,100.0,4,0.0,0.05412314,0.8399656,0.07835496,-9.723323,0.08,-8.164704,0.20186926
600.0,120.0,5,0.1,0.05691047,0.83979344,0.07953249,-9.937559,0.03,-10.649584,0.20186937
700.0,140.0,6,0.2,0.05690687,0.8388958,0.08012746,-9.550734,0.04,-11.576829,0.20171885
800.0,160.0,7,0.15,0.05888128,0.8388074,0.083183676,-11.977411,0.09,-12.29734,0.20147973
900.0,180.0,8,0.1,0.05992738,0.8379862,0.08480965,-14.063672,0.04,-14.763267,0.20150776
1000.0,200.0,9,0.1,0.059793252,0.8374994,0.0840713,-14.757156,0.1,-14.817243,0.20140192
1100.0,220.0,10,0.15,0.059498042,0.8378954,0.08330821,-12.997464,0.08,-16.203487,0.20134479
1200.0,240.0,11,0.0,0.061071787,0.83746004,0.08407844,-17.699383,0.08,-17.429707,0.2011769
1300.0,260.0,12,0.05,0.064843826,0.8368075,0.08927672,-17.842396,0.06,-19.255499,0.20143896
1400.0,280.0,13,0.05,0.06446952,0.8365836,0.08879328,-19.583118,0.04,-20.214205,0.20132214
1500.0,300.0,14,0.05,0.064934626,0.8363037,0.08944982,-20.158707,0.03,-20.446829,0.20123562
1600.0,320.0,15,0.05,0.066186525,0.83663553,0.089352936,-21.773617,0.07,-20.430124,0.20129171
1700.0,340.0,16,0.15,0.06672093,0.8370929,0.08913851,-17.166565,0.04,-22.106264,0.20137568
1800.0,360.0,17,0.1,0.066714995,0.83726734,0.08868847,-22.16242,0.13,-20.075377,0.20137507
1900.0,380.0,18,0.25,0.067416936,0.83693486,0.088477634,-19.439362,0.08,-20.998642,0.20116352
2000.0,400.0,19,0.1,0.06748294,0.8369155,0.08798329,-19.005123,0.11,-22.661577,0.20116204
2100.0,420.0,20,0.0,0.067877896,0.8373463,0.087767385,-25.463894,0.01,-25.055471,0.20118016
2200.0,440.0,21,0.2,0.06804395,0.83727986,0.08742487,-21.809505,0.04,-24.752718,0.20112376
2300.0,460.0,22,0.1,0.06825012,0.8368903,0.08732665,-23.19659,0.05,-25.595861,0.20100899
2400.0,480.0,23,0.15,0.06795839,0.8365967,0.086994894,-23.322172,0.12,-24.26029,0.20093007
2500.0,500.0,24,0.05,0.06781463,0.83648777,0.08693648,-23.322834,0.09,-24.763374,0.20091331
2600.0,520.0,25,0.15,0.06757509,0.8366065,0.08683258,-23.64837,0.05,-26.520632,0.2009436
2700.0,540.0,26,0.0,0.069101565,0.8365721,0.08742841,-33.60053,0.17,-24.276218,0.20116207
2800.0,560.0,27,0.15,0.068785675,0.83646655,0.0871324,-22.649403,0.05,-26.317253,0.2010714
2900.0,580.0,28,0.1,0.06866825,0.8362991,0.086768955,-24.915401,0.03,-28.581745,0.2009655
3000.0,600.0,29,0.0,0.06842589,0.8363808,0.08643202,-28.634796,0.06,-27.877249,0.20101187
3100.0,620.0,30,0.05,0.068167225,0.8362618,0.08607745,-21.0947,0.1,-25.048073,0.20096533
3200.0,640.0,31,0.05,0.06849146,0.83649546,0.08614928,-29.083166,0.06,-27.513525,0.20099165
3300.0,660.0,32,0.15,0.06861233,0.83684796,0.086110115,-25.389465,0.12,-22.885593,0.20105459
3400.0,680.0,33,0.1,0.0686916,0.83712286,0.085817225,-25.56874,0.04,-26.699347,0.20112938
3500.0,700.0,34,0.15,0.06864088,0.8371007,0.08553782,-20.49798,0.07,-25.745007,0.20110211
3600.0,720.0,35,0.2,0.06888748,0.83729035,0.08522873,-24.124691,0.09,-24.930687,0.20115098
3700.0,740.0,36,0.05,0.06946125,0.8374295,0.08537475,-23.465036,0.12,-23.818327,0.20119494
3800.0,760.0,37,0.15,0.06990418,0.83752435,0.085119896,-23.024471,0.02,-25.652483,0.20118523
3900.0,780.0,38,0.2,0.070157506,0.83757997,0.08483753,-20.108984,0.07,-23.595152,0.20123352
4000.0,800.0,39,0.05,0.07087586,0.8374183,0.08502218,-21.84585,0.04,-24.621721,0.20115112
4100.0,820.0,40,0.1,0.071354024,0.8372865,0.08531954,-20.492458,0.1,-24.308382,0.20112169
4200.0,840.0,41,0.1,0.07229313,0.8372436,0.08573734,-23.996696,0.09,-24.613972,0.20118657
4300.0,860.0,42,0.15,0.0727199,0.83729386,0.08573521,-20.308218,0.03,-23.335852,0.20119216
4400.0,880.0,43,0.05,0.07330911,0.8372989,0.08631066,-26.23818,0.12,-22.348875,0.2012725
4500.0,900.0,44,0.1,0.07351015,0.83736163,0.08606925,-22.78143,0.14,-22.363087,0.20130628
4600.0,920.0,45,0.3,0.073616855,0.8376102,0.08596792,-19.093931,0.22,-21.799328,0.20135096
4700.0,940.0,46,0.3,0.07365009,0.8376958,0.085842945,-19.895662,0.14,-23.289085,0.20129801
4800.0,960.0,47,0.2,0.07386919,0.83774877,0.08565899,-19.181553,0.2,-21.30016,0.2012359
4900.0,980.0,48,0.2,0.07439763,0.8378422,0.08577153,-14.69531,0.28,-17.616396,0.20126274
5000.0,1000.0,49,0.25,0.0751102,0.8378448,0.085937224,-19.432571,0.18,-19.88057,0.20112115
5100.0,1020.0,50,0.2,0.07544481,0.8380117,0.08563957,-20.748734,0.14,-20.022438,0.20112714
5200.0,1040.0,51,0.25,0.07563805,0.83804625,0.085710384,-18.231,0.17,-18.78212,0.20114082
5300.0,1060.0,52,0.3,0.07589182,0.8382068,0.085745744,-18.72384,0.24,-19.0061,0.20118365
5400.0,1080.0,53,0.6,0.07575474,0.8383801,0.08545416,-13.332562,0.15,-18.750202,0.20121153
5500.0,1100.0,54,0.45,0.07604329,0.83839655,0.085329406,-14.43986,0.19,-18.802975,0.2012225
5600.0,1120.0,55,0.35,0.07632849,0.83846265,0.08525843,-15.944115,0.24,-17.065512,0.20119594
5700.0,1140.0,56,0.5,0.076544866,0.838604,0.08502274,-14.958221,0.21,-18.179655,0.20122434
5800.0,1160.0,57,0.1,0.076648846,0.83878475,0.08482816,-19.309696,0.23,-18.174316,0.2012401
5900.0,1180.0,58,0.15,0.07678864,0.8387723,0.084623694,-16.280918,0.21,-15.231193,0.20123012
6000.0,1200.0,59,0.1,0.07696434,0.8387893,0.08469587,-16.7261,0.22,-17.824455,0.20122367
6100.0,1220.0,60,0.3,0.077069715,0.83884907,0.08482065,-18.554302,0.26,-15.784689,0.20122132
6200.0,1240.0,61,0.35,0.07786601,0.83886856,0.08510939,-14.770411,0.12,-19.92945,0.20115593
6300.0,1260.0,62,0.25,0.078456394,0.83885694,0.085071504,-16.296385,0.28,-15.705413,0.20110016
6400.0,1280.0,63,0.45,0.078928515,0.8388242,0.08506719,-13.137477,0.23,-14.63769,0.20107655
6500.0,1300.0,64,0.5,0.07939288,0.83894134,0.08499975,-11.003575,0.29,-15.825448,0.20105097
6600.0,1320.0,65,0.3,0.080198124,0.83901745,0.08514682,-15.745244,0.25,-15.737567,0.2009967
6700.0,1340.0,66,0.4,0.08079013,0.83898383,0.08529089,-13.134424,0.21,-15.314188,0.20095411
6800.0,1360.0,67,0.3,0.08115939,0.8389981,0.08539468,-12.9483,0.32,-12.061997,0.20097376
