stats_o/std,train/episode,stats_g/mean,epoch,train/success_rate,stats_o/mean,train/mean_Q,test/success_rate,test/mean_Q,stats_g/std,test/episode
0.03958884,100.0,0.8377618,0,0.05,0.20065966,-1.4410826,0.1,-1.7345164,0.07113327,20.0
0.03964592,200.0,0.83761185,1,0.13,0.20074748,-3.1853235,0.0,-3.9631615,0.07046749,40.0
0.03907226,300.0,0.83726424,2,0.05,0.20061277,-5.081898,0.1,-5.1605973,0.07008502,60.0
0.04284821,400.0,0.83924705,3,0.1,0.20136593,-6.462393,0.05,-7.293727,0.07039003,80.0
0.04365543,500.0,0.8408274,4,0.07,0.2018208,-8.456533,0.0,-9.336969,0.07039184,100.0
0.04592782,600.0,0.8405175,5,0.04,0.20183128,-10.639863,0.1,-9.96987,0.07052044,120.0
0.04942405,700.0,0.8397705,6,0.04,0.20171064,-11.522483,0.2,-9.343843,0.070293956,140.0
0.051972367,800.0,0.83957267,7,0.11,0.20175914,-12.004853,0.15,-11.870197,0.07036167,160.0
0.053279363,900.0,0.83910465,8,0.1,0.20177765,-14.290011,0.1,-13.944476,0.070604734,180.0
0.052606508,1000.0,0.8384826,9,0.07,0.20158276,-14.874609,0.05,-15.005804,0.07063755,200.0
0.05312419,1100.0,0.83873767,10,0.08,0.20172375,-15.776098,0.15,-13.010101,0.070627436,220.0
0.054188546,1200.0,0.83829516,11,0.06,0.20163232,-17.204794,0.0,-17.956217,0.07104679,240.0
0.05622917,1300.0,0.8384054,12,0.06,0.20172544,-18.291437,0.05,-17.995163,0.071619175,260.0
0.05796668,1400.0,0.8381019,13,0.07,0.2017505,-19.8595,0.05,-19.133022,0.07229202,280.0
0.058507513,1500.0,0.83790463,14,0.05,0.20176084,-20.546293,0.05,-21.006495,0.07245896,300.0
0.058544002,1600.0,0.8381304,15,0.08,0.20165879,-20.319613,0.05,-21.816011,0.072370455,320.0
0.059686817,1700.0,0.83855915,16,0.05,0.20162556,-21.81105,0.1,-18.645664,0.07223922,340.0
0.059996594,1800.0,0.83856386,17,0.14,0.20158821,-19.953491,0.05,-22.818014,0.07235405,360.0
0.060095366,1900.0,0.8382152,18,0.1,0.20147881,-20.96575,0.15,-18.695417,0.07247802,380.0
0.061033476,2000.0,0.8380714,19,0.13,0.2013627,-22.137293,0.1,-17.735691,0.07247091,400.0
0.062201682,2100.0,0.83830047,20,0.02,0.20139097,-23.863106,0.0,-22.800316,0.07264097,420.0
0.063146144,2200.0,0.838186,21,0.06,0.20125452,-22.41617,0.15,-19.588972,0.07278896,440.0
