train/episode,epoch,test/episode,stats_o/mean,test/success_rate,train/success_rate,stats_o/std,train/mean_Q,stats_g/std,stats_g/mean,test/mean_Q
20.0,0,20.0,0.2608927,0.05,0.0,0.03020968,-0.8347502,0.18253724,0.90462875,-0.28885818
40.0,1,40.0,0.26122668,0.05,0.1,0.028435633,-1.1190859,0.14153361,0.88985133,-0.5929368
60.0,2,60.0,0.26118952,0.55,0.55,0.02780495,-0.99524355,0.124294795,0.88285017,-0.8554308
80.0,3,80.0,0.2618553,0.9,0.85,0.027510012,-1.1844357,0.1120156,0.88300914,-0.9395496
100.0,4,100.0,0.261662,0.85,0.75,0.027475944,-1.4110196,0.105890155,0.87964886,-1.2361652
120.0,5,120.0,0.26183495,1.0,0.6,0.027738217,-1.156604,0.10191663,0.87841886,-1.0351278
140.0,6,140.0,0.26124424,0.95,0.85,0.027930731,-0.9784765,0.09906983,0.875779,-0.8844136
160.0,7,160.0,0.2617524,1.0,0.8,0.028082017,-0.9429744,0.09656889,0.8768274,-0.918855
180.0,8,180.0,0.26148003,0.95,0.85,0.028305134,-0.8687577,0.09484751,0.8758559,-0.85389024
200.0,9,200.0,0.26160198,0.9,0.7,0.02873519,-0.9287733,0.093709044,0.8758033,-1.0984697
220.0,10,220.0,0.2616939,0.95,0.95,0.02907464,-0.74608576,0.09284397,0.8762005,-0.8836559
240.0,11,240.0,0.26153088,1.0,0.85,0.0293796,-0.6506983,0.0924085,0.87530947,-0.6256441
260.0,12,260.0,0.2617855,0.95,0.75,0.029647928,-0.630317,0.09210106,0.8761868,-0.737149
280.0,13,280.0,0.2618973,1.0,0.75,0.029705841,-0.6804476,0.09124896,0.8761979,-0.61950505
300.0,14,300.0,0.26220685,1.0,0.85,0.029841831,-0.6214849,0.09071684,0.87691,-0.54851437
320.0,15,320.0,0.2624948,1.0,0.8,0.02997449,-0.7353023,0.090293564,0.87785476,-0.6655409
340.0,16,340.0,0.2625212,1.0,0.6,0.030100245,-0.6552537,0.090042025,0.8776967,-0.5622792
360.0,17,360.0,0.26237494,1.0,0.75,0.030115586,-0.6347896,0.08945025,0.8770378,-0.5589655
380.0,18,380.0,0.2622484,1.0,0.75,0.030124288,-0.6894798,0.08895335,0.87653947,-0.5765103
400.0,19,400.0,0.26238468,1.0,0.95,0.030269435,-0.6306674,0.08896331,0.8768249,-0.5228078
420.0,20,420.0,0.2624498,1.0,0.9,0.030308649,-0.547855,0.08868865,0.8768344,-0.48764664
440.0,21,440.0,0.2625187,1.0,0.95,0.030433204,-0.72456557,0.08872158,0.8770097,-0.60367364
460.0,22,460.0,0.26273602,1.0,0.8,0.03038601,-0.5765064,0.08825374,0.87775564,-0.48242903
480.0,23,480.0,0.26285753,1.0,0.9,0.030390661,-0.54135036,0.08791866,0.87803286,-0.49069542
500.0,24,500.0,0.2628576,1.0,0.9,0.030373285,-0.51589286,0.08758832,0.87789935,-0.4376002
