stats_g/std,test/episode,epoch,stats_o/mean,train/mean_Q,test/mean_Q,test/success_rate,stats_o/std,stats_g/mean,train/success_rate,train/episode
0.18098374,20.0,0,0.2596137,-0.7967797,-0.30515653,0.05,0.029407408,0.90327644,0.1,20.0
0.14140895,40.0,1,0.26109734,-0.98434794,-0.57446134,0.3,0.028009558,0.8907102,0.1,40.0
0.124769844,60.0,2,0.26115128,-1.153461,-0.8316234,0.4,0.027471144,0.88477343,0.45,60.0
0.11266651,80.0,3,0.26195583,-1.2060401,-0.98851836,0.7,0.027065998,0.8837548,0.6,80.0
0.10736283,100.0,4,0.26106805,-1.4153972,-1.1622667,0.8,0.027282426,0.87735337,0.7,100.0
0.103825845,120.0,5,0.26125392,-1.0258334,-1.1204621,0.85,0.027705003,0.87731,0.8,120.0
0.10127207,140.0,6,0.2607738,-0.8670952,-0.7980858,1.0,0.027961578,0.8747116,0.85,140.0
0.098975,160.0,7,0.26147375,-0.83593655,-1.3026454,0.75,0.028153146,0.876115,0.9,160.0
0.09753647,180.0,8,0.2607729,-1.1691208,-0.80891,0.95,0.02842238,0.87334615,0.65,180.0
0.096010834,200.0,9,0.26067755,-1.1459631,-1.4272442,0.75,0.028645832,0.8725336,0.6,200.0
0.09522948,220.0,10,0.26095974,-0.7423574,-0.70159733,0.95,0.028930524,0.87364125,0.9,220.0
0.094601184,240.0,11,0.2608903,-0.6546426,-0.63426787,1.0,0.029173035,0.8731287,0.85,240.0
0.094276495,260.0,12,0.2611636,-0.70144856,-0.79646206,0.95,0.029380828,0.8742148,0.75,260.0
0.09351932,280.0,13,0.26134303,-0.6822755,-0.62010574,1.0,0.029475177,0.87478393,0.85,280.0
0.09344403,300.0,14,0.26170373,-0.6829352,-0.6222607,1.0,0.029626291,0.87575704,0.75,300.0
0.09305418,320.0,15,0.26199943,-0.7754444,-0.6949251,1.0,0.029755661,0.8766012,0.9,320.0
0.092733525,340.0,16,0.2620365,-0.6791867,-0.6159749,1.0,0.029889757,0.8765039,0.65,340.0
0.09229859,360.0,17,0.261907,-0.58079344,-0.5000186,1.0,0.029890925,0.87582797,0.8,360.0
0.09182817,380.0,18,0.26178178,-0.6355656,-0.5137962,1.0,0.02992388,0.87515783,0.8,380.0
0.0918472,400.0,19,0.2619391,-0.6600887,-0.56574136,1.0,0.03003867,0.8754732,0.85,400.0
0.09183233,420.0,20,0.26201615,-0.56759614,-0.5073406,1.0,0.030078355,0.8754284,0.8,420.0
0.09222213,440.0,21,0.26206726,-0.6000853,-0.47913328,1.0,0.030159688,0.8757038,0.95,440.0
0.09211666,460.0,22,0.262278,-0.5261724,-0.4327435,1.0,0.030126715,0.8764842,0.75,460.0
0.0919289,480.0,23,0.26235512,-0.51839274,-0.46599054,1.0,0.030123184,0.87668496,0.8,480.0
0.09135481,500.0,24,0.26232708,-0.42400414,-0.3402819,1.0,0.030084616,0.8765164,0.85,500.0
