test/episode,epoch,stats_o/std,test/mean_Q,train/success_rate,stats_g/mean,stats_o/mean,train/mean_Q,test/success_rate,stats_g/std,train/episode
20.0,0,0.02931428,-0.27656144,0.0,0.9067278,0.2609489,-0.79428333,0.05,0.18039125,20.0
40.0,1,0.02681906,-0.55827224,0.1,0.88743156,0.26085532,-1.0635158,0.2,0.1410806,40.0
60.0,2,0.026710432,-0.83341676,0.5,0.88026565,0.26058912,-1.121295,0.5,0.12549,60.0
80.0,3,0.02669631,-0.90822667,0.7,0.87901384,0.2614084,-1.1586192,0.8,0.11540931,80.0
100.0,4,0.026603201,-1.1008042,0.55,0.8730455,0.2607771,-1.4435028,0.75,0.11251644,100.0
120.0,5,0.027063867,-1.0093782,0.8,0.87344927,0.2612258,-1.0930935,0.85,0.11297983,120.0
140.0,6,0.027429635,-0.60225177,0.85,0.8720107,0.26089042,-0.63591856,1.0,0.11371239,140.0
160.0,7,0.027628517,-0.7160951,0.9,0.87371945,0.26154053,-0.6843177,1.0,0.11369943,160.0
180.0,8,0.027930822,-0.53575367,0.85,0.8732633,0.261237,-0.6398306,0.95,0.114623584,180.0
200.0,9,0.028273394,-0.6379182,0.75,0.8749292,0.2613316,-0.5865822,0.95,0.11668331,200.0
220.0,10,0.028536435,-0.5717143,1.0,0.8728785,0.26144856,-0.42863002,0.95,0.11578184,220.0
240.0,11,0.028773138,-0.31663722,0.9,0.87316006,0.26133308,-0.38697904,1.0,0.11980772,240.0
260.0,12,0.029042933,-0.34430894,0.85,0.87680006,0.26158553,-0.42416954,1.0,0.1205366,260.0
280.0,13,0.029152248,-0.32704398,0.85,0.87609005,0.26170865,-0.40115958,1.0,0.12097549,280.0
300.0,14,0.029267762,-0.2962417,0.8,0.87576675,0.26202953,-0.35891604,0.95,0.124177516,300.0
320.0,15,0.029408652,-0.39260808,0.95,0.87395495,0.26227942,-0.4784848,0.95,0.12379261,320.0
340.0,16,0.029533997,-0.32528043,0.65,0.87326956,0.2623046,-0.41938323,1.0,0.12531139,340.0
360.0,17,0.02957063,-0.19179514,0.95,0.87684584,0.2621313,-0.28952074,0.9,0.12840255,360.0
380.0,18,0.029612064,-0.23596056,0.75,0.8793211,0.26199114,-0.32812423,0.9,0.13122594,380.0
400.0,19,0.029765576,-0.26961178,0.95,0.8751488,0.26216796,-0.36066505,0.9,0.13380861,400.0
420.0,20,0.029843414,-0.24473651,0.85,0.8761304,0.26224086,-0.3040992,1.0,0.13389859,420.0
440.0,21,0.029985081,-0.2629796,0.95,0.87548614,0.2622605,-0.36634097,1.0,0.13279329,440.0
460.0,22,0.029970264,-0.20685439,0.8,0.8788562,0.2624627,-0.30369392,1.0,0.1353604,460.0
480.0,23,0.029992402,-0.19208159,0.85,0.8863227,0.2625704,-0.28713617,0.8,0.14615211,480.0
500.0,24,0.029993039,-0.14071192,0.85,0.8947634,0.26255527,-0.22433631,0.8,0.1573702,500.0
