test/episode,stats_o/std,train/success_rate,epoch,train/mean_Q,train/episode,stats_g/std,test/success_rate,stats_g/mean,stats_o/mean,test/mean_Q
20.0,0.028437357,0.0,0,-0.84377134,20.0,0.22459495,0.05,0.90476537,0.26253074,-0.2669663
40.0,0.026633402,0.0,1,-1.1977117,40.0,0.21951413,0.05,0.90027744,0.26208064,-0.53386426
60.0,0.026367232,0.25,2,-1.2997106,60.0,0.19174159,0.3,0.89123446,0.2622448,-0.8193614
80.0,0.026546504,0.75,3,-1.2484192,80.0,0.18730772,0.55,0.8959754,0.2627371,-0.8713875
100.0,0.026558017,0.75,4,-1.4051918,100.0,0.19438474,0.9,0.88941306,0.2620805,-0.92529935
120.0,0.027033437,0.75,5,-1.0942341,120.0,0.19489843,1.0,0.8866617,0.2621302,-0.88929003
140.0,0.027165025,0.8,6,-0.99594986,140.0,0.19562007,0.95,0.8813692,0.26143095,-0.8060187
160.0,0.027368596,0.9,7,-0.82021534,160.0,0.19582419,0.85,0.88007045,0.26201224,-0.90390795
180.0,0.02760405,0.8,8,-0.9760388,180.0,0.19586128,0.95,0.8775225,0.26185885,-0.76655895
200.0,0.027996052,0.8,9,-0.876816,200.0,0.19076784,0.9,0.8772292,0.2619751,-1.0383021
220.0,0.028250873,0.95,10,-0.8789175,220.0,0.19623578,1.0,0.8766589,0.26208228,-0.7749436
240.0,0.02847738,0.95,11,-0.7022408,240.0,0.20979428,1.0,0.87678623,0.26197502,-0.4991305
260.0,0.028736938,0.85,12,-0.6414852,260.0,0.22081716,0.9,0.8778985,0.26218894,-0.5419569
280.0,0.028864682,0.85,13,-0.5114551,280.0,0.22966476,1.0,0.87798434,0.26224145,-0.3995212
300.0,0.029002156,0.8,14,-0.38136637,300.0,0.24057168,1.0,0.8776989,0.2624386,-0.31496832
320.0,0.029160794,0.9,15,-0.443781,320.0,0.25141743,0.95,0.8782647,0.26265362,-0.33948192
340.0,0.029320344,0.6,16,-0.33443058,340.0,0.26181147,0.95,0.87644273,0.2626299,-0.23777549
360.0,0.029372703,0.9,17,-0.30180237,360.0,0.27344155,1.0,0.875834,0.26243818,-0.18903
380.0,0.029431686,0.85,18,-0.30814773,380.0,0.28613356,1.0,0.87488747,0.2622718,-0.18260118
400.0,0.029622734,0.85,19,-0.39231506,400.0,0.2951161,1.0,0.87452626,0.26241952,-0.2654086
420.0,0.029700836,0.95,20,-0.25986522,420.0,0.3028549,1.0,0.87425905,0.26246652,-0.18497075
440.0,0.029843908,0.95,21,-0.2572119,440.0,0.31007895,1.0,0.8745919,0.26249152,-0.13458614
460.0,0.029838452,0.85,22,-0.2983451,460.0,0.32510117,1.0,0.8687487,0.26268393,-0.21000914
480.0,0.029866304,0.9,23,-0.2265816,480.0,0.339105,1.0,0.8634405,0.26276055,-0.19356151
500.0,0.029884975,0.85,24,-0.25020218,500.0,0.3396689,1.0,0.86523026,0.26273304,-0.14641011
