epoch,stats_o/mean,stats_o/std,stats_g/std,train/episode,train/success_rate,train/mean_Q,test/success_rate,test/episode,stats_g/mean,test/mean_Q
0,0.25741452,0.027297338,0.7089524,20.0,0.0,-0.93010217,0.0,20.0,2.056518,-0.42903575
1,0.25676066,0.026231986,0.6413085,40.0,0.0,-1.5524143,0.05,40.0,2.1771338,-0.9910305
2,0.25529876,0.025548363,0.60869676,60.0,0.05,-2.0298991,0.0,60.0,2.2210464,-1.3329017
3,0.25493208,0.024608552,0.5865938,80.0,0.0,-2.4599779,0.0,80.0,2.24629,-1.732028
4,0.25394446,0.023834392,0.5718412,100.0,0.0,-2.8828692,0.0,100.0,2.2624476,-2.1518672
5,0.25320736,0.023020431,0.5613728,120.0,0.0,-3.1532502,0.0,120.0,2.2731245,-2.4868734
6,0.25250602,0.02238338,0.55632585,140.0,0.05,-3.5199666,0.05,140.0,2.2786095,-2.7840087
7,0.2517267,0.021868473,0.5507619,160.0,0.0,-3.7473526,0.0,160.0,2.283977,-3.025907
8,0.2509847,0.0214878,0.5483025,180.0,0.0,-4.0791793,0.0,180.0,2.2865694,-3.3685422
9,0.2505918,0.02107432,0.54408276,200.0,0.1,-4.4637566,0.1,200.0,2.2905252,-3.7344308
10,0.25028318,0.020648573,0.54233164,220.0,0.1,-4.7476554,0.1,220.0,2.2920825,-4.0464954
11,0.25010765,0.020271594,0.538418,240.0,0.0,-5.1018014,0.0,240.0,2.2956245,-4.4481153
12,0.24993542,0.019953923,0.53376496,260.0,0.0,-5.582902,0.0,260.0,2.2996833,-4.914096
13,0.24977835,0.019696163,0.5347248,280.0,0.0,-5.7971487,0.0,280.0,2.298915,-5.072534
14,0.24967818,0.01946539,0.53174525,300.0,0.05,-6.223838,0.05,300.0,2.3014638,-5.545882
15,0.24965045,0.019287126,0.52984184,320.0,0.0,-6.5809975,0.0,320.0,2.3030794,-5.9358034
16,0.24962065,0.019145133,0.5303336,340.0,0.0,-7.050954,0.0,340.0,2.3027227,-6.4142823
17,0.24965665,0.01898324,0.5291651,360.0,0.1,-7.003292,0.1,360.0,2.3039181,-6.3738165
18,0.24971452,0.018862877,0.5290881,380.0,0.05,-7.6211214,0.05,380.0,2.304144,-6.982386
19,0.24974287,0.018787432,0.52793324,400.0,0.0,-8.022166,0.0,400.0,2.3050308,-7.420624
20,0.24978337,0.018771794,0.52727646,420.0,0.0,-8.280697,0.0,420.0,2.3056426,-7.697207
21,0.24980123,0.018719975,0.52569574,440.0,0.0,-8.409258,0.0,440.0,2.306976,-7.7702813
22,0.24989481,0.018724423,0.5258152,460.0,0.0,-9.071476,0.05,460.0,2.3068197,-8.420861
23,0.2501013,0.018755013,0.5259982,480.0,0.0,-9.444376,0.0,480.0,2.3065739,-8.822455
24,0.2501883,0.018749474,0.52466464,500.0,0.05,-9.573454,0.05,500.0,2.30778,-8.912799
