train/mean_Q,stats_g/std,stats_o/mean,train/episode,train/success_rate,test/success_rate,stats_o/std,stats_g/mean,epoch,test/mean_Q,test/episode
-0.91580486,0.55399436,0.26108924,20.0,0.0,0.0,0.026752586,1.4777414,0,-0.39803845,20.0
-1.5803039,0.4884477,0.262058,40.0,0.0,0.0,0.025106203,1.5227832,1,-0.92517614,40.0
-2.050157,0.45703664,0.26139075,60.0,0.0,0.0,0.023801139,1.5395441,2,-1.4009179,60.0
-2.479967,0.4361483,0.26109776,80.0,0.0,0.0,0.023396026,1.5497504,3,-1.8756945,80.0
-3.001542,0.4224851,0.2606235,100.0,0.05,0.0,0.023150563,1.556218,4,-2.3614542,100.0
-3.486692,0.41249287,0.26042157,120.0,0.0,0.0,0.023097571,1.5605727,5,-2.794324,120.0
-3.9423282,0.40686285,0.2599707,140.0,0.05,0.0,0.023123628,1.5624946,6,-3.2683804,140.0
-4.2566314,0.40114188,0.26002017,160.0,0.0,0.0,0.022877838,1.5646683,7,-3.6561387,160.0
-4.7400026,0.39836693,0.25947717,180.0,0.0,0.0,0.02283059,1.5655174,8,-4.0565095,180.0
-4.5539536,0.3948543,0.2599113,200.0,0.0,0.05,0.023636946,1.5671619,9,-4.223639,200.0
-5.2768393,0.39344653,0.26010293,220.0,0.0,0.0,0.023840796,1.5677371,10,-4.638066,220.0
-5.630765,0.39011458,0.2600396,240.0,0.0,0.0,0.023886627,1.5692803,11,-4.872096,240.0
-5.6079764,0.3861921,0.26012585,260.0,0.05,0.0,0.024381766,1.5711352,12,-5.034709,260.0
-5.768213,0.38659623,0.26013535,280.0,0.05,0.05,0.024902467,1.5706201,13,-5.1924634,280.0
-6.16571,0.38397217,0.2602964,300.0,0.0,0.15,0.025501803,1.5717777,14,-5.5609417,300.0
-6.213341,0.38224033,0.26046413,320.0,0.05,0.1,0.026088113,1.572488,15,-5.478633,320.0
-6.643508,0.38225618,0.26060346,340.0,0.0,0.0,0.026486095,1.5722151,16,-6.0694532,340.0
-7.042773,0.3810884,0.26080015,360.0,0.0,0.05,0.026890343,1.5726519,17,-6.3750563,360.0
-7.088009,0.38071465,0.26078013,380.0,0.1,0.1,0.027342584,1.5726372,18,-6.4811273,380.0
-7.8492813,0.37932047,0.26062113,400.0,0.05,0.05,0.027368668,1.5730581,19,-7.254654,400.0
-8.118559,0.37849665,0.2606004,420.0,0.0,0.0,0.027510535,1.5732876,20,-7.506148,420.0
-8.692006,0.37754104,0.2605885,440.0,0.05,0.0,0.02753537,1.5738949,21,-7.975293,440.0
-9.099141,0.377295,0.26064977,460.0,0.1,0.1,0.027589777,1.5737996,22,-8.41145,460.0
-9.091249,0.3773581,0.26073354,480.0,0.0,0.0,0.027625933,1.5736799,23,-8.508537,480.0
-9.515803,0.37626907,0.2607376,500.0,0.0,0.1,0.027557144,1.574202,24,-8.938751,500.0
