stats_o/mean,stats_o/std,test/success_rate,train/episode,test/mean_Q,test/episode,stats_g/mean,stats_g/std,epoch,train/mean_Q,train/success_rate
0.26028532,0.027035167,0.0,20.0,-0.40532884,20.0,1.5047837,0.54272825,0,-0.9403776,0.0
0.2602963,0.025595997,0.15,40.0,-0.92082226,40.0,1.536311,0.4802988,1,-1.5813833,0.05
0.25972217,0.024458602,0.0,60.0,-1.3257618,60.0,1.5485643,0.45080543,2,-2.000093,0.0
0.25960737,0.023886029,0.0,80.0,-1.7504276,80.0,1.556516,0.43107072,3,-2.4176173,0.0
0.25930104,0.023314815,0.0,100.0,-2.2136211,100.0,1.5616308,0.41819683,4,-2.9245028,0.05
0.25906608,0.022925546,0.0,120.0,-2.6396456,120.0,1.5650835,0.40878078,5,-3.3593833,0.0
0.25882143,0.022781242,0.0,140.0,-3.0729566,140.0,1.5663611,0.40362588,6,-3.8125134,0.05
0.25881764,0.022505108,0.0,160.0,-3.421959,160.0,1.5680517,0.39825323,7,-4.1211715,0.0
0.25821212,0.022361744,0.05,180.0,-3.8431563,180.0,1.5685248,0.39578164,8,-4.595681,0.0
0.2583242,0.022133801,0.05,200.0,-4.2683353,200.0,1.5698687,0.39249626,9,-4.9807286,0.05
0.25831044,0.02203612,0.05,220.0,-4.602999,220.0,1.5701977,0.3912954,10,-5.280721,0.05
0.25828323,0.021862393,0.0,240.0,-5.0326247,240.0,1.571536,0.38811544,11,-5.6975603,0.0
0.2582838,0.021808097,0.0,260.0,-5.3680058,260.0,1.5732174,0.3843161,12,-6.0017037,0.0
0.2582362,0.021780033,0.05,280.0,-5.735422,280.0,1.5725536,0.38486353,13,-6.425508,0.05
0.25827983,0.021666784,0.05,300.0,-6.101813,300.0,1.5735822,0.3823379,14,-6.749982,0.0
0.2582891,0.021623492,0.0,320.0,-6.520524,320.0,1.5741798,0.38069883,15,-7.225479,0.05
0.25832158,0.02158081,0.15,340.0,-6.9727325,340.0,1.5738072,0.38080862,16,-7.59282,0.05
0.25826967,0.021545643,0.25,360.0,-7.2035494,360.0,1.5741554,0.3797156,17,-7.8295426,0.1
0.25814942,0.02161627,0.2,380.0,-7.4848213,380.0,1.5740618,0.37941495,18,-8.128503,0.2
0.25793946,0.021783412,0.05,400.0,-7.7729774,400.0,1.5744114,0.37808046,19,-8.315231,0.1
0.2578744,0.021984762,0.1,420.0,-8.090508,420.0,1.5745764,0.37731302,20,-8.649134,0.1
0.25783166,0.022179684,0.05,440.0,-8.300426,440.0,1.5751251,0.37640628,21,-8.972639,0.15
0.25782079,0.022282576,0.3,460.0,-8.318331,460.0,1.5749766,0.37620953,22,-9.050849,0.1
0.2577868,0.022415433,0.25,480.0,-8.803762,480.0,1.5748078,0.37631893,23,-9.373905,0.1
0.25773782,0.022519995,0.35,500.0,-8.770027,500.0,1.5752845,0.3752673,24,-9.3161745,0.25
