stats_o/mean,stats_g/mean,epoch,train/episode,test/success_rate,stats_g/std,stats_o/std,train/mean_Q,train/success_rate,test/episode,test/mean_Q
0.26223376,1.5467411,0,20.0,0.0,0.5825835,0.02697275,-0.900533,0.0,20.0,-0.39807156
0.26037842,1.5573002,1,40.0,0.0,0.5701032,0.025286987,-1.5862586,0.0,40.0,-0.91144836
0.25803792,1.5625591,2,60.0,0.0,0.5632594,0.024466222,-2.0827723,0.0,60.0,-1.3866594
0.25769502,1.5670131,3,80.0,0.0,0.55300266,0.023849294,-2.491653,0.0,80.0,-1.8110892
0.25746495,1.5700289,4,100.0,0.05,0.54701525,0.023307651,-2.99717,0.0,100.0,-2.3060617
0.2577781,1.5720822,5,120.0,0.0,0.5434807,0.023143172,-3.4717002,0.0,120.0,-2.7629073
0.25766763,1.57236,6,140.0,0.05,0.54308844,0.02279022,-3.9017727,0.0,140.0,-3.2037334
0.2576851,1.573301,7,160.0,0.0,0.5413346,0.022484139,-4.2964683,0.05,160.0,-3.6160862
0.25746936,1.5731908,8,180.0,0.05,0.5417391,0.022377526,-4.6872215,0.0,180.0,-4.025377
0.25756824,1.5740682,9,200.0,0.0,0.539367,0.022179445,-5.1061544,0.05,200.0,-4.4330077
0.2576214,1.5740156,10,220.0,0.05,0.53961605,0.021944989,-5.5450616,0.0,220.0,-4.8613234
0.25777602,1.5750355,11,240.0,0.0,0.5373278,0.021774027,-5.9997616,0.05,240.0,-5.3103766
0.25767624,1.5764478,12,260.0,0.0,0.53404474,0.021702755,-6.3586144,0.0,260.0,-5.710363
0.25755823,1.5755533,13,280.0,0.0,0.53617483,0.021630043,-6.7603273,0.0,280.0,-6.0829577
0.25768206,1.576382,14,300.0,0.0,0.53439236,0.021584734,-7.1348343,0.0,300.0,-6.529523
0.25772184,1.5768046,15,320.0,0.0,0.5333186,0.021527585,-7.5391006,0.0,320.0,-6.8855867
0.2576089,1.5762781,16,340.0,0.0,0.5351452,0.02144439,-7.9536834,0.0,340.0,-7.3320007
0.25758535,1.576489,17,360.0,0.05,0.5344268,0.021299645,-8.321273,0.0,360.0,-7.6853943
0.25747097,1.5762724,18,380.0,0.0,0.5347878,0.021213993,-8.707441,0.05,380.0,-8.064959
0.2573681,1.5765115,19,400.0,0.0,0.534346,0.021149453,-9.049499,0.0,400.0,-8.425435
0.2572995,1.5765766,20,420.0,0.0,0.5343531,0.021134797,-9.459395,0.0,420.0,-8.818525
0.25725204,1.577034,21,440.0,0.0,0.5329715,0.0210887,-9.78392,0.1,440.0,-9.151892
0.2572992,1.5768024,22,460.0,0.0,0.53400034,0.021082306,-10.233541,0.0,460.0,-9.595339
0.25727305,1.5765575,23,480.0,0.0,0.534957,0.021001315,-10.526562,0.1,480.0,-9.949544
0.2572527,1.5769644,24,500.0,0.05,0.53390074,0.020948121,-10.888998,0.0,500.0,-10.285631
