train/mean_Q,test/success_rate,stats_g/std,stats_o/std,test/mean_Q,test/episode,stats_g/mean,epoch,train/episode,train/success_rate,stats_o/mean
-0.90093535,0.0,0.58257705,0.027006503,-0.39815086,20.0,1.5467542,0,20.0,0.0,0.26231647
-1.5871949,0.0,0.5701005,0.025271574,-0.9136901,40.0,1.5573069,1,40.0,0.0,0.26041383
-2.0908582,0.0,0.56325763,0.024505725,-1.394488,60.0,1.5625635,2,60.0,0.0,0.25816336
-2.5037549,0.0,0.55300134,0.023868766,-1.821114,80.0,1.5670165,3,80.0,0.0,0.25794607
-3.0102172,0.05,0.54701424,0.023344222,-2.3259559,100.0,1.5700315,4,100.0,0.0,0.25797814
-3.478117,0.0,0.5434799,0.023217682,-2.7851307,120.0,1.5720844,5,120.0,0.0,0.2584129
-3.9081893,0.05,0.5430877,0.022911355,-3.2266192,140.0,1.572362,6,140.0,0.0,0.25842124
-4.3085814,0.1,0.5413341,0.022634093,-3.6421127,160.0,1.5733026,7,160.0,0.05,0.2585656
-4.706336,0.05,0.54173857,0.0225638,-4.0549707,180.0,1.5731922,8,180.0,0.0,0.25825986
-5.12378,0.0,0.53936654,0.022372773,-4.467237,200.0,1.5740696,9,200.0,0.05,0.25834724
-5.5448823,0.05,0.5396156,0.022181844,-4.895984,220.0,1.5740167,10,220.0,0.0,0.25832492
-6.0280123,0.05,0.53732747,0.02201286,-5.355942,240.0,1.5750365,11,240.0,0.1,0.258354
-6.381836,0.0,0.53404444,0.021968395,-5.743902,260.0,1.5764488,12,260.0,0.0,0.25818363
-6.806216,0.0,0.5361745,0.021890929,-6.1121807,280.0,1.5755543,13,280.0,0.0,0.258096
-7.1471725,0.0,0.53439206,0.021887168,-6.5536866,300.0,1.576383,14,300.0,0.0,0.2581821
-7.5555053,0.0,0.5333183,0.02188226,-6.907097,320.0,1.5768055,15,320.0,0.0,0.25821936
-8.023863,0.0,0.5351449,0.021828696,-7.3741546,340.0,1.5762787,16,340.0,0.0,0.25813955
-8.376805,0.1,0.53442657,0.021678302,-7.748576,360.0,1.5764898,17,360.0,0.0,0.25810763
-8.768804,0.0,0.53478754,0.021605764,-8.13204,380.0,1.5762731,18,380.0,0.1,0.25802946
-9.102046,0.0,0.5343458,0.021539947,-8.488539,400.0,1.5765122,19,400.0,0.0,0.25794291
-9.534581,0.0,0.53435284,0.021574955,-8.898504,420.0,1.5765772,20,420.0,0.0,0.257908
-9.850901,0.0,0.5329713,0.021510754,-9.237847,440.0,1.5770346,21,440.0,0.1,0.2579266
-10.316908,0.0,0.53400016,0.021512419,-9.676897,460.0,1.5768028,22,460.0,0.0,0.2579704
-10.612474,0.0,0.53495675,0.021416541,-10.033664,480.0,1.5765581,23,480.0,0.0,0.2579633
-10.9532795,0.05,0.53390056,0.02135318,-10.38101,500.0,1.5769647,24,500.0,0.0,0.25791767
