test/episode,stats_g/std,train/success_rate,stats_o/mean,epoch,train/episode,train/mean_Q,stats_o/std,test/mean_Q,stats_g/mean,test/success_rate
20.0,0.10869642,0.05,0.25161916,0,20.0,-0.6939479,0.03409321,-0.34556514,0.8295438,0.05
40.0,0.10088166,0.85,0.25501424,1,40.0,-0.67497104,0.03269884,-0.50243694,0.8450227,0.4
60.0,0.09965256,0.7,0.25609636,2,60.0,-0.8242122,0.032453604,-0.539451,0.8494296,0.85
80.0,0.09725118,0.75,0.25830173,3,80.0,-1.001346,0.031807717,-0.6731571,0.85714215,0.85
100.0,0.09564557,0.95,0.25911388,4,100.0,-0.61893284,0.031551987,-0.5534829,0.8599205,1.0
120.0,0.09448805,0.65,0.25974518,5,120.0,-0.3681926,0.031506576,-0.38870072,0.86282414,1.0
140.0,0.09301042,0.85,0.2596194,6,140.0,-0.23059542,0.031321425,-0.18567301,0.8627618,1.0
160.0,0.09203153,0.85,0.2604506,7,160.0,-0.21489903,0.03121056,-0.17782608,0.86586684,1.0
180.0,0.091089696,0.85,0.2604429,8,180.0,-0.18134844,0.031155119,-0.10841799,0.8661322,1.0
200.0,0.09066844,0.6,0.2606874,9,200.0,-0.20185618,0.03117833,-0.1256261,0.86722636,1.0
220.0,0.09018289,1.0,0.26092362,10,220.0,-0.15520321,0.031133782,-0.09341073,0.8682589,1.0
240.0,0.08995166,0.9,0.26092795,11,240.0,-0.13397844,0.031167472,-0.07848265,0.8683583,1.0
260.0,0.09016309,0.85,0.2612078,12,260.0,-0.17971584,0.031284384,-0.10522552,0.8695857,1.0
280.0,0.08974645,0.85,0.26134428,13,280.0,-0.17332008,0.031231314,-0.095258795,0.87018037,1.0
300.0,0.08967188,0.8,0.2616643,14,300.0,-0.17629054,0.03130753,-0.102403976,0.8712879,1.0
320.0,0.089823626,0.9,0.26197907,15,320.0,-0.20493452,0.031393223,-0.12058147,0.8725894,1.0
340.0,0.08972529,0.6,0.26204175,16,340.0,-0.18189418,0.031426225,-0.09763606,0.87277967,1.0
360.0,0.08936003,0.8,0.26190317,17,360.0,-0.14811006,0.031366065,-0.06985384,0.8723313,1.0
380.0,0.089174725,0.75,0.26175106,18,380.0,-0.18182209,0.031331442,-0.08626962,0.8718721,1.0
400.0,0.08951092,0.95,0.26192185,19,400.0,-0.23292932,0.03143447,-0.1314949,0.87247974,1.0
420.0,0.089444965,0.85,0.26203126,20,420.0,-0.16111304,0.031449024,-0.09987824,0.87281084,1.0
440.0,0.08951151,0.95,0.26206568,21,440.0,-0.19258285,0.031486247,-0.10414531,0.87287086,1.0
460.0,0.08921669,0.8,0.26227778,22,460.0,-0.16704597,0.03141784,-0.08097019,0.87364507,1.0
480.0,0.0889892,0.85,0.26238924,23,480.0,-0.11038041,0.031371064,-0.081297025,0.8741162,1.0
500.0,0.08875301,0.8,0.26235846,24,500.0,-0.13829777,0.03132286,-0.07778905,0.8740003,1.0
520.0,0.08863393,0.95,0.2623101,25,520.0,-0.15587859,0.031319857,-0.08314202,0.873858,1.0
540.0,0.08819183,0.9,0.26225123,26,540.0,-0.11684221,0.031220138,-0.058872778,0.8736741,1.0
560.0,0.088008106,0.65,0.26243967,27,560.0,-0.18072538,0.031192059,-0.0789056,0.8744049,1.0
580.0,0.08774764,0.8,0.2623459,28,580.0,-0.115948655,0.031131174,-0.059621684,0.8740397,1.0
600.0,0.08767885,0.5,0.2622255,29,600.0,-0.123351574,0.031107163,-0.07730715,0.8736663,1.0
