stats_o/std,test/success_rate,stats_o/mean,test/episode,stats_g/std,test/mean_Q,train/success_rate,stats_g/mean,train/mean_Q,train/episode,epoch
0.032000504,0.0,0.25736886,20.0,0.10895451,-0.50999194,0.0,0.8299678,-0.9509519,20.0,0
0.02988407,0.15,0.25647685,40.0,0.10063244,-0.71035534,0.05,0.8352422,-1.3038313,40.0,1
0.02930066,0.45,0.257106,60.0,0.0982033,-0.7455643,0.4,0.84219426,-1.2858799,60.0,2
0.02978144,0.9,0.25819045,80.0,0.09933975,-0.7930395,0.65,0.84811956,-1.3500395,80.0,3
0.030107101,0.85,0.25889307,100.0,0.09915688,-0.79622877,0.7,0.852331,-1.0993012,100.0,4
0.030307319,0.9,0.25970602,120.0,0.09840918,-0.6727308,0.75,0.8553098,-1.0018582,120.0,5
0.030570108,1.0,0.259569,140.0,0.0971745,-0.44869313,0.9,0.85643023,-0.5011683,140.0,6
0.030695204,1.0,0.26025683,160.0,0.09663719,-0.4823658,0.9,0.85972685,-0.50139016,160.0,7
0.030850038,0.95,0.26040024,180.0,0.095995724,-0.43641895,0.8,0.8614194,-0.38390642,180.0,8
0.03107534,1.0,0.2605595,200.0,0.095586695,-0.2956171,0.95,0.86273855,-0.37003127,200.0,9
0.03116354,1.0,0.26082957,220.0,0.09471375,-0.23503718,0.95,0.86369175,-0.3409027,220.0,10
0.031221488,1.0,0.26080608,240.0,0.09427855,-0.12198732,0.95,0.8642588,-0.23894334,240.0,11
0.03145002,1.0,0.26112884,260.0,0.09444773,-0.17645541,0.9,0.8656893,-0.2440296,260.0,12
0.031433724,1.0,0.261259,280.0,0.093999,-0.16557938,1.0,0.8667424,-0.34939784,280.0,13
0.031463254,1.0,0.26145092,300.0,0.093999185,-0.082096584,0.9,0.8680847,-0.20432189,300.0,14
0.031585656,1.0,0.261779,320.0,0.093921505,-0.19077298,0.85,0.8693152,-0.27702278,320.0,15
0.03169134,1.0,0.26185533,340.0,0.09389919,-0.16386767,0.9,0.869754,-0.23568065,340.0,16
0.03164016,1.0,0.26173747,360.0,0.09332043,-0.17106494,0.7,0.86915755,-0.23630707,360.0,17
0.03161191,1.0,0.26163116,380.0,0.09300428,-0.19534394,0.95,0.86906844,-0.29551557,380.0,18
0.031759642,1.0,0.26184526,400.0,0.09321519,-0.15185562,0.95,0.87006885,-0.24852383,400.0,19
0.031767026,1.0,0.26186764,420.0,0.09307433,-0.13183536,0.7,0.8701155,-0.21257015,420.0,20
0.031839035,1.0,0.2619322,440.0,0.09317403,-0.11589517,0.75,0.87027264,-0.18999192,440.0,21
0.031779725,1.0,0.26213837,460.0,0.09287411,-0.09743741,0.75,0.87118846,-0.1466596,460.0,22
0.031715296,1.0,0.26227283,480.0,0.09258741,-0.13172679,0.7,0.87152004,-0.18928008,480.0,23
0.031683307,1.0,0.26224965,500.0,0.09241108,-0.1355756,0.8,0.87159157,-0.24037078,500.0,24
0.031656567,1.0,0.2622474,520.0,0.092242576,-0.13081689,0.85,0.87156874,-0.17729379,520.0,25
0.03160387,1.0,0.262192,540.0,0.09184302,-0.099293336,0.85,0.87145424,-0.1352727,540.0,26
0.03156931,1.0,0.26238358,560.0,0.09164035,-0.11832925,0.8,0.87226343,-0.16604763,560.0,27
0.031469904,1.0,0.26234972,580.0,0.09126503,-0.086656354,0.8,0.87223715,-0.1463642,580.0,28
0.031498823,1.0,0.26225322,600.0,0.09115597,-0.1265724,0.7,0.8720436,-0.18097898,600.0,29
0.03145701,1.0,0.26223743,620.0,0.091011964,-0.1057016,0.85,0.8722327,-0.15126947,620.0,30
0.031465292,1.0,0.26231343,640.0,0.09102414,-0.1033503,0.8,0.87249047,-0.15801407,640.0,31
0.03143885,1.0,0.26237458,660.0,0.09091721,-0.12810102,0.85,0.8728543,-0.2223024,660.0,32
0.03147376,1.0,0.2624097,680.0,0.09113044,-0.15872338,0.95,0.87294865,-0.26560327,680.0,33
0.03147626,1.0,0.2624222,700.0,0.09096777,-0.09341575,0.85,0.87303543,-0.13839969,700.0,34
0.031456705,1.0,0.2624598,720.0,0.090725206,-0.1293188,0.75,0.87309265,-0.19217268,720.0,35
0.031441014,1.0,0.26247373,740.0,0.09074614,-0.09146796,0.75,0.8732558,-0.13933137,740.0,36
0.031442232,1.0,0.26233476,760.0,0.09076951,-0.13407312,0.9,0.872639,-0.18379763,760.0,37
0.0314746,1.0,0.26227528,780.0,0.09081257,-0.11842011,0.95,0.8725403,-0.18783613,780.0,38
0.031476147,1.0,0.26238567,800.0,0.090815306,-0.08405696,0.85,0.87290245,-0.11939045,800.0,39
0.03146958,1.0,0.26238567,820.0,0.0906609,-0.10343206,0.75,0.872883,-0.14723964,820.0,40
0.031447507,1.0,0.2624381,840.0,0.09055841,-0.092528865,0.7,0.87320685,-0.17624456,840.0,41
0.03144902,1.0,0.2623919,860.0,0.090545855,-0.115140595,0.7,0.87312156,-0.20527999,860.0,42
0.03143748,1.0,0.26248598,880.0,0.090559565,-0.10279982,0.85,0.8735165,-0.15580419,880.0,43
0.031430222,1.0,0.26259974,900.0,0.09057134,-0.08890812,0.9,0.87399644,-0.15405618,900.0,44
0.031392954,1.0,0.26263073,920.0,0.09037609,-0.082091354,0.9,0.8742072,-0.1605011,920.0,45
0.031443823,1.0,0.26273555,940.0,0.09045106,-0.13917923,0.85,0.8745971,-0.20241542,940.0,46
0.03149229,1.0,0.2628562,960.0,0.09065578,-0.11769545,0.9,0.87506634,-0.1980108,960.0,47
0.03148757,1.0,0.26292717,980.0,0.09062437,-0.13698263,0.7,0.87535113,-0.19842875,980.0,48
0.031444844,1.0,0.26297936,1000.0,0.09041879,-0.100867964,1.0,0.8756164,-0.13475505,1000.0,49
