train/success_rate,train/episode,stats_g/mean,train/mean_Q,test/success_rate,stats_o/mean,epoch,stats_o/std,test/mean_Q,test/episode,stats_g/std
0.04,100.0,0.840532,-1.5881485,0.0,0.20377849,0,0.05334199,-1.8935215,20.0,0.087800555
0.07,200.0,0.8420554,-3.4250698,0.1,0.20346023,1,0.051397566,-3.6292617,40.0,0.08665792
0.04,300.0,0.84204346,-5.6144323,0.05,0.20389484,2,0.05023164,-5.0532594,60.0,0.09028057
0.08,400.0,0.8443286,-7.0548377,0.0,0.20457502,3,0.049799625,-7.3845634,80.0,0.089878835
0.02,500.0,0.84566885,-8.76204,0.05,0.20496237,4,0.050399553,-9.114703,100.0,0.08918757
0.04,600.0,0.8453401,-10.0411825,0.0,0.20478117,5,0.053184148,-11.461747,120.0,0.08927223
0.03,700.0,0.8444509,-12.26801,0.05,0.20429134,6,0.05572549,-12.205173,140.0,0.09258426
0.05,800.0,0.8443517,-12.580685,0.1,0.20401177,7,0.05977455,-12.541556,160.0,0.09311205
0.01,900.0,0.84420794,-14.214431,0.1,0.20406595,8,0.064207,-11.787558,180.0,0.09287194
0.05,1000.0,0.8438683,-15.715479,0.05,0.20378031,9,0.06598159,-12.99501,200.0,0.09405913
0.04,1100.0,0.84416825,-16.676315,0.0,0.20412917,10,0.06934803,-16.961996,220.0,0.094833545
0.01,1200.0,0.84344524,-17.635792,0.0,0.20376717,11,0.070772186,-19.691895,240.0,0.096743606
0.04,1300.0,0.8435576,-17.753122,0.0,0.20384046,12,0.07138837,-19.102858,260.0,0.09640042
0.03,1400.0,0.84346056,-19.534527,0.05,0.20386465,13,0.07203896,-16.904072,280.0,0.096922256
0.03,1500.0,0.84345824,-19.065523,0.15,0.2039477,14,0.0751641,-17.854496,300.0,0.099346064
0.06,1600.0,0.8431435,-18.927092,0.1,0.20392995,15,0.07521421,-20.125797,320.0,0.09900179
0.02,1700.0,0.8433125,-19.742804,0.1,0.20397897,16,0.076345496,-15.627459,340.0,0.098594725
0.06,1800.0,0.843102,-19.520157,0.15,0.20405948,17,0.07727806,-18.642523,360.0,0.09848549
0.02,1900.0,0.8428764,-20.363844,0.1,0.20391439,18,0.07874407,-18.379375,380.0,0.09882396
0.05,2000.0,0.8426995,-19.568266,0.15,0.20372052,19,0.079689704,-16.943699,400.0,0.09864881
0.05,2100.0,0.84255916,-18.916763,0.05,0.20373431,20,0.08035616,-19.239323,420.0,0.099093676
0.05,2200.0,0.842462,-21.450594,0.0,0.20380218,21,0.08120435,-19.597982,440.0,0.09983849
0.06,2300.0,0.84249216,-20.063614,0.05,0.20384806,22,0.081702374,-17.65444,460.0,0.09958122
0.06,2400.0,0.84253556,-19.951347,0.0,0.2038498,23,0.082086794,-20.92046,480.0,0.0991518
0.06,2500.0,0.8424174,-18.716988,0.05,0.20382881,24,0.08277172,-20.407429,500.0,0.099002175
0.06,2600.0,0.842516,-20.658422,0.15,0.203818,25,0.084386654,-20.045094,520.0,0.099230714
0.09,2700.0,0.8431692,-19.759329,0.05,0.20401579,26,0.085042,-18.48251,540.0,0.09947758
0.09,2800.0,0.8433187,-19.790241,0.05,0.20410508,27,0.08626215,-20.545755,560.0,0.09932822
0.06,2900.0,0.843287,-22.243912,0.1,0.2040158,28,0.08647787,-18.316216,580.0,0.09932294
0.03,3000.0,0.8432929,-23.046232,0.2,0.20388052,29,0.086849205,-18.729342,600.0,0.099575765
0.08,3100.0,0.84320664,-20.412333,0.05,0.20385852,30,0.08761164,-28.225872,620.0,0.09975427
0.08,3200.0,0.84276634,-20.157202,0.05,0.20376164,31,0.08844073,-24.031588,640.0,0.09969429
0.13,3300.0,0.8427878,-20.392075,0.05,0.2037965,32,0.08853096,-16.958515,660.0,0.09941516
0.11,3400.0,0.84288794,-20.80857,0.05,0.20396404,33,0.08956511,-24.39569,680.0,0.09948058
0.12,3500.0,0.8429177,-22.188932,0.1,0.20398536,34,0.08980195,-19.905155,700.0,0.0996756
0.13,3600.0,0.8430093,-19.36683,0.1,0.20384897,35,0.090448864,-22.27246,720.0,0.09951264
0.12,3700.0,0.8431105,-21.281672,0.15,0.203841,36,0.09152627,-22.222536,740.0,0.10000793
0.09,3800.0,0.8432576,-20.626194,0.1,0.20378979,37,0.09192215,-20.761517,760.0,0.09973862
0.07,3900.0,0.84315044,-19.62494,0.05,0.20370002,38,0.09255528,-24.091387,780.0,0.09970368
0.07,4000.0,0.84314376,-20.611156,0.15,0.20370251,39,0.093032286,-17.66991,800.0,0.09965304
0.13,4100.0,0.8431952,-19.180998,0.15,0.2037355,40,0.093813375,-17.887121,820.0,0.10038793
0.14,4200.0,0.84332776,-20.62746,0.2,0.20374762,41,0.09440184,-19.184326,840.0,0.100414075
0.11,4300.0,0.8433867,-20.674301,0.15,0.2037594,42,0.094908215,-20.531832,860.0,0.10091468
0.14,4400.0,0.8433909,-20.604815,0.15,0.2037068,43,0.095754765,-20.18146,880.0,0.1010054
0.16,4500.0,0.8433683,-19.714354,0.2,0.20379148,44,0.09603337,-21.699654,900.0,0.10087013
0.21,4600.0,0.84331673,-19.282167,0.25,0.20382425,45,0.09650686,-21.602428,920.0,0.100867055
0.13,4700.0,0.84320164,-21.198381,0.1,0.2036936,46,0.0971303,-21.01025,940.0,0.100854754
0.21,4800.0,0.84310055,-20.526875,0.2,0.20370585,47,0.09738417,-15.443359,960.0,0.10096109
0.22,4900.0,0.84322685,-19.191341,0.2,0.20364054,48,0.09784559,-18.130995,980.0,0.1008901
0.16,5000.0,0.8433352,-21.400093,0.15,0.20363401,49,0.09814887,-26.292782,1000.0,0.101007365
0.16,5100.0,0.8432693,-19.09152,0.3,0.20373248,50,0.098957814,-18.470583,1020.0,0.10087899
0.22,5200.0,0.84312457,-17.855358,0.3,0.20366417,51,0.09958093,-22.820381,1040.0,0.10086245
0.2,5300.0,0.84316796,-19.433748,0.15,0.20360956,52,0.10019218,-22.821505,1060.0,0.100869335
0.3,5400.0,0.8431184,-15.42195,0.25,0.20359647,53,0.10066171,-18.027054,1080.0,0.10078033
0.24,5500.0,0.8430047,-18.131292,0.3,0.20358135,54,0.101341866,-20.433132,1100.0,0.101023205
0.15,5600.0,0.84313077,-18.695044,0.35,0.20364134,55,0.1019145,-20.888931,1120.0,0.1011124
0.23,5700.0,0.843105,-19.408146,0.3,0.20362897,56,0.1023211,-19.249674,1140.0,0.1011553
0.19,5800.0,0.8430495,-19.49974,0.35,0.20362836,57,0.10266976,-20.780048,1160.0,0.10149264
0.25,5900.0,0.8431392,-17.724674,0.45,0.20366922,58,0.10321431,-16.72836,1180.0,0.101669274
0.33,6000.0,0.843137,-16.890377,0.4,0.20366023,59,0.10366432,-15.828566,1200.0,0.10173869
