epoch,test/success_rate,stats_o/std,train/success_rate,stats_o/mean,stats_g/mean,stats_g/std,train/mean_Q,train/episode,test/mean_Q,test/episode
0,0.0,0.050443884,0.04,0.20397288,0.84111804,0.089779735,-1.6308296,100.0,-2.0364997,20.0
1,0.1,0.051356703,0.05,0.20375751,0.8427887,0.08952711,-3.475396,200.0,-3.6368518,40.0
2,0.05,0.0487891,0.04,0.20389214,0.84284264,0.08876508,-5.556588,300.0,-5.256172,60.0
3,0.0,0.047940675,0.08,0.20447497,0.8444976,0.088543706,-6.9691405,400.0,-7.322909,80.0
4,0.05,0.052216798,0.03,0.20488419,0.8458564,0.09139183,-8.82094,500.0,-8.943656,100.0
5,0.0,0.053302325,0.04,0.20470737,0.8451317,0.09084141,-10.147562,600.0,-11.3538,120.0
6,0.05,0.055742145,0.04,0.20443739,0.84443545,0.09150543,-12.269293,700.0,-12.423927,140.0
7,0.1,0.058888987,0.05,0.20451061,0.84420156,0.09228914,-12.965841,800.0,-12.775502,160.0
8,0.1,0.061063886,0.02,0.20431437,0.843951,0.09172019,-14.964067,900.0,-12.795031,180.0
9,0.05,0.063943565,0.05,0.20404461,0.8431475,0.09535382,-16.191622,1000.0,-13.734073,200.0
10,0.0,0.06590784,0.03,0.20401289,0.84346056,0.09620785,-17.215338,1100.0,-17.6142,220.0
11,0.0,0.067949995,0.02,0.20378451,0.8423254,0.09853974,-17.955807,1200.0,-19.800545,240.0
12,0.0,0.06943982,0.03,0.20387726,0.8424409,0.099628866,-18.141766,1300.0,-19.609098,260.0
13,0.05,0.070401095,0.02,0.2039762,0.8425665,0.1004077,-20.348501,1400.0,-18.22821,280.0
14,0.15,0.07126901,0.01,0.20388542,0.8426159,0.10006418,-19.023418,1500.0,-17.768253,300.0
15,0.1,0.07159944,0.05,0.20378931,0.8423293,0.09984862,-20.142736,1600.0,-20.734795,320.0
16,0.2,0.07306384,0.04,0.20395307,0.84258574,0.09984063,-20.47747,1700.0,-17.090097,340.0
17,0.05,0.074179195,0.02,0.20388864,0.8422013,0.10000837,-21.249111,1800.0,-20.381556,360.0
18,0.1,0.07541972,0.02,0.20369394,0.841758,0.10080966,-22.344202,1900.0,-20.852264,380.0
19,0.2,0.07633095,0.07,0.20364548,0.84176344,0.10026801,-21.34537,2000.0,-20.27298,400.0
20,0.15,0.07710896,0.07,0.20356135,0.84169817,0.10012124,-21.126482,2100.0,-20.774042,420.0
21,0.05,0.077905566,0.03,0.20367672,0.8418495,0.10001814,-23.185902,2200.0,-20.678148,440.0
22,0.05,0.0781835,0.05,0.20362358,0.8418204,0.099579394,-22.162336,2300.0,-20.096725,460.0
23,0.05,0.07921553,0.09,0.20364657,0.84174204,0.099905156,-22.290716,2400.0,-21.992199,480.0
24,0.1,0.080979116,0.06,0.20370543,0.84136534,0.10053247,-21.444216,2500.0,-21.246399,500.0
25,0.05,0.08128562,0.11,0.20357358,0.8414767,0.10008877,-21.590492,2600.0,-23.723316,520.0
26,0.15,0.083208464,0.07,0.20372997,0.84195614,0.10042995,-21.966286,2700.0,-22.535284,540.0
27,0.05,0.08378954,0.06,0.20375513,0.8420368,0.10017284,-22.855728,2800.0,-22.997036,560.0
28,0.2,0.083913326,0.05,0.20376363,0.8420362,0.0999656,-22.760359,2900.0,-21.93134,580.0
29,0.05,0.08465305,0.03,0.20370594,0.84195095,0.10084339,-25.832928,3000.0,-21.216732,600.0
30,0.15,0.085364245,0.07,0.20365505,0.84176666,0.10093948,-22.49396,3100.0,-29.418905,620.0
31,0.15,0.085823,0.1,0.20366482,0.84166795,0.100703634,-22.159798,3200.0,-25.184952,640.0
32,0.2,0.086716324,0.1,0.20374474,0.84145766,0.10093814,-22.382362,3300.0,-17.943392,660.0
33,0.1,0.08729191,0.13,0.20391056,0.8415709,0.10100716,-22.918606,3400.0,-24.722294,680.0
34,0.2,0.087438926,0.14,0.20393494,0.8416436,0.100647,-23.306822,3500.0,-19.739159,700.0
35,0.15,0.08848446,0.09,0.20386593,0.84176403,0.10043153,-21.708406,3600.0,-22.556993,720.0
36,0.2,0.08878698,0.13,0.20387548,0.8418663,0.10039333,-22.02932,3700.0,-23.049164,740.0
