test/mean_Q,train/episode,stats_o/mean,train/success_rate,stats_o/std,stats_g/mean,test/episode,train/mean_Q,stats_g/std,test/success_rate,epoch
-2.8460069,100.0,0.20340769,0.04,0.041056544,0.8411495,20.0,-1.5934056,0.0857141,0.0,0
-4.3559356,200.0,0.20401275,0.06,0.042754773,0.8428278,40.0,-3.4555366,0.086581685,0.1,1
-5.498719,300.0,0.20393346,0.04,0.042262863,0.8430365,60.0,-5.5809283,0.08725995,0.05,2
-7.586281,400.0,0.2045343,0.07,0.046365093,0.8446854,80.0,-7.023583,0.08882164,0.0,3
-9.4811735,500.0,0.20473173,0.03,0.0492631,0.84639364,100.0,-8.645361,0.08941846,0.05,4
-11.751427,600.0,0.20460737,0.05,0.05191886,0.8452943,120.0,-10.184647,0.09093165,0.0,5
-12.591333,700.0,0.20426512,0.04,0.052957684,0.8441208,140.0,-12.173584,0.093762964,0.05,6
-13.303062,800.0,0.20409355,0.04,0.054915953,0.8438911,160.0,-12.934056,0.09474731,0.1,7
-12.973831,900.0,0.20395286,0.01,0.056785412,0.8437764,180.0,-14.315217,0.09371493,0.1,8
-14.253059,1000.0,0.20413363,0.06,0.05804586,0.84371144,200.0,-15.533988,0.09370639,0.05,9
-18.1615,1100.0,0.20423764,0.03,0.058977872,0.84409505,220.0,-16.921337,0.09345806,0.0,10
-20.732065,1200.0,0.20408292,0.0,0.06055658,0.8433978,240.0,-18.11269,0.09390054,0.0,11
-20.640316,1300.0,0.20402555,0.02,0.06193225,0.84339446,260.0,-18.73927,0.093999505,0.0,12
-19.092594,1400.0,0.20417091,0.03,0.06314348,0.8434691,280.0,-20.612,0.09398756,0.05,13
-18.335884,1500.0,0.20426248,0.03,0.064119056,0.8434102,300.0,-20.377655,0.09416813,0.15,14
-21.50333,1600.0,0.20411964,0.01,0.064844035,0.8431327,320.0,-21.11546,0.09445434,0.1,15
-19.118444,1700.0,0.2043139,0.05,0.06526725,0.8432681,340.0,-21.888582,0.094319604,0.1,16
-22.450281,1800.0,0.2042828,0.03,0.06662859,0.8428297,360.0,-22.322447,0.09443783,0.0,17
-23.821838,1900.0,0.20408556,0.02,0.067768365,0.842566,380.0,-23.005156,0.09445343,0.05,18
-22.478474,2000.0,0.2041423,0.03,0.06886588,0.8422788,400.0,-23.67695,0.09398585,0.15,19
-22.72016,2100.0,0.20412512,0.08,0.06861875,0.8422999,420.0,-23.117517,0.09364269,0.05,20
-25.63915,2200.0,0.204215,0.05,0.06996191,0.8424251,440.0,-24.634893,0.093377165,0.0,21
-22.286724,2300.0,0.20415941,0.06,0.07045536,0.84228724,460.0,-23.845303,0.09321812,0.05,22
-25.93287,2400.0,0.20415059,0.07,0.0707004,0.8421874,480.0,-24.433655,0.09365148,0.0,23
-25.277973,2500.0,0.20410682,0.05,0.07205638,0.84177303,500.0,-23.80119,0.09404439,0.05,24
-23.303715,2600.0,0.2040385,0.05,0.07307752,0.8415968,520.0,-25.12575,0.094587505,0.05,25
-23.30525,2700.0,0.20414245,0.07,0.07328001,0.8420493,540.0,-23.809721,0.094789475,0.05,26
-24.84111,2800.0,0.20411977,0.07,0.07427464,0.8421355,560.0,-24.094187,0.09438542,0.1,27
-22.079418,2900.0,0.20408767,0.03,0.07424185,0.84212947,580.0,-26.983591,0.09429622,0.15,28
-22.112467,3000.0,0.2040573,0.01,0.07455216,0.8422108,600.0,-26.921772,0.09438766,0.05,29
-30.627783,3100.0,0.2040645,0.07,0.075294994,0.8420747,620.0,-24.77493,0.094645835,0.05,30
-25.714924,3200.0,0.20402041,0.05,0.07546439,0.84174037,640.0,-25.010788,0.094970666,0.1,31
-22.84879,3300.0,0.2040094,0.06,0.07632335,0.84151316,660.0,-25.261957,0.095021985,0.05,32
-27.619308,3400.0,0.20400411,0.02,0.0765686,0.8418264,680.0,-26.357067,0.09506363,0.0,33
-26.63081,3500.0,0.20402385,0.08,0.077034414,0.8418655,700.0,-26.685877,0.09511342,0.05,34
-26.424072,3600.0,0.20401418,0.04,0.076924965,0.8418645,720.0,-24.650154,0.09513998,0.05,35
-27.65331,3700.0,0.20406581,0.07,0.077057086,0.842042,740.0,-27.345963,0.09523574,0.0,36
-25.288692,3800.0,0.20406166,0.03,0.077794746,0.8419532,760.0,-26.979185,0.09522352,0.05,37
-27.760006,3900.0,0.2038474,0.06,0.07814257,0.8417489,780.0,-24.955866,0.095027655,0.05,38
-22.248953,4000.0,0.20377664,0.05,0.07825595,0.8416588,800.0,-26.659727,0.09492252,0.2,39
-22.924135,4100.0,0.2037923,0.09,0.07917228,0.84162116,820.0,-24.897581,0.09491079,0.1,40
-23.11796,4200.0,0.20377174,0.03,0.07997524,0.84150195,840.0,-26.6048,0.09491291,0.1,41
-26.819117,4300.0,0.20381197,0.09,0.08095485,0.8414882,860.0,-25.38515,0.095407166,0.05,42
-24.952719,4400.0,0.20374376,0.07,0.08158361,0.84132624,880.0,-25.728989,0.09552851,0.0,43
-25.50562,4500.0,0.20362023,0.03,0.082393676,0.8411584,900.0,-25.476938,0.095925875,0.1,44
-26.558193,4600.0,0.20350559,0.09,0.083725326,0.84119004,920.0,-23.90847,0.096005976,0.15,45
-28.7672,4700.0,0.20351486,0.08,0.084670305,0.8411153,940.0,-26.053833,0.09654784,0.1,46
-22.720142,4800.0,0.20335975,0.09,0.08607073,0.84083396,960.0,-24.342606,0.09693029,0.15,47
-21.082937,4900.0,0.20337093,0.09,0.087199494,0.8408444,980.0,-24.13598,0.097104646,0.25,48
-32.551605,5000.0,0.20342998,0.05,0.088093966,0.84095913,1000.0,-25.393518,0.097230196,0.0,49
-25.923405,5100.0,0.20345448,0.1,0.08845646,0.8408995,1020.0,-23.420115,0.09722676,0.1,50
-28.087124,5200.0,0.20336264,0.13,0.08902673,0.84086007,1040.0,-22.524511,0.097093225,0.15,51
-28.007763,5300.0,0.20342813,0.11,0.0898085,0.8409303,1060.0,-24.34107,0.09701446,0.15,52
-22.938549,5400.0,0.20344925,0.11,0.09080857,0.84086496,1080.0,-20.963852,0.09704178,0.25,53
-27.004581,5500.0,0.20352301,0.1,0.09148345,0.84082794,1100.0,-23.392506,0.096968524,0.05,54
-27.408283,5600.0,0.20355004,0.09,0.092313565,0.8408397,1120.0,-24.122509,0.09729552,0.05,55
-22.79696,5700.0,0.20353642,0.12,0.09285501,0.84090376,1140.0,-24.711304,0.097240575,0.15,56
-28.937494,5800.0,0.20355536,0.12,0.09329579,0.84085006,1160.0,-24.08611,0.09735816,0.05,57
-21.428497,5900.0,0.20353898,0.17,0.09358325,0.84090275,1180.0,-22.418526,0.09720405,0.15,58
-21.067919,6000.0,0.20351636,0.12,0.0940887,0.84086776,1200.0,-22.92935,0.09730139,0.15,59
-19.405254,6100.0,0.20349987,0.12,0.09452543,0.84084064,1220.0,-24.005753,0.097567774,0.35,60
-25.15131,6200.0,0.20345648,0.13,0.09495576,0.84082943,1240.0,-23.71311,0.09759358,0.05,61
-15.465444,6300.0,0.2034124,0.17,0.095199354,0.8409359,1260.0,-25.50794,0.09751978,0.1,62
-19.813591,6400.0,0.20344001,0.16,0.09592435,0.8408682,1280.0,-21.287148,0.097595595,0.15,63
-18.32441,6500.0,0.20347956,0.15,0.096423,0.840815,1300.0,-22.844952,0.097660996,0.25,64
