train/mean_Q,test/success_rate,test/mean_Q,test/episode,train/episode,stats_o/mean,stats_g/std,stats_o/std,stats_g/mean,epoch,train/success_rate
-1.6052719,0.0,-2.9227986,20.0,100.0,0.20378442,0.086151265,0.056546677,0.8408863,0,0.04
-3.447695,0.1,-4.405261,40.0,200.0,0.20426048,0.08747425,0.055867948,0.8430667,1,0.06
-5.568882,0.05,-5.535413,60.0,300.0,0.20420866,0.08721155,0.0518014,0.84292626,2,0.04
-6.978563,0.0,-7.8514395,80.0,400.0,0.204815,0.08821848,0.054385852,0.8446843,3,0.07
-8.635758,0.05,-9.833741,100.0,500.0,0.20521915,0.087425955,0.052898902,0.8459716,4,0.02
-10.249879,0.0,-12.153818,120.0,600.0,0.20493582,0.08765382,0.05305302,0.84528947,5,0.04
-12.616519,0.05,-13.32625,140.0,700.0,0.20466489,0.08889345,0.055275247,0.84446716,6,0.03
-13.323368,0.1,-13.839659,160.0,800.0,0.20455785,0.088961214,0.056039423,0.8442533,7,0.05
-15.027021,0.1,-13.472036,180.0,900.0,0.20441717,0.088339604,0.056250423,0.84416294,8,0.01
-16.235659,0.05,-14.987421,200.0,1000.0,0.20434532,0.08846438,0.056166615,0.8441112,9,0.05
-17.567339,0.0,-19.027555,220.0,1100.0,0.20447274,0.08845968,0.056967698,0.84458286,10,0.03
-18.712917,0.0,-21.806026,240.0,1200.0,0.20432438,0.08859861,0.05735862,0.844075,11,0.01
-19.37922,0.0,-21.19223,260.0,1300.0,0.20437962,0.08855754,0.058122605,0.8441095,12,0.05
-21.081057,0.05,-19.820522,280.0,1400.0,0.20429692,0.08895152,0.058064066,0.84388566,13,0.03
-21.129892,0.15,-20.124577,300.0,1500.0,0.20427112,0.089039214,0.060396723,0.84402305,14,0.02
-21.935389,0.1,-22.321741,320.0,1600.0,0.20437145,0.08880541,0.06203922,0.8437476,15,0.04
-23.154505,0.05,-20.87601,340.0,1700.0,0.20441619,0.08874896,0.061725125,0.8437855,16,0.02
-23.451937,0.0,-25.450684,360.0,1800.0,0.2043947,0.08887726,0.06238369,0.84353805,17,0.02
-24.609634,0.05,-24.242138,380.0,1900.0,0.20428182,0.08915049,0.062999025,0.8432433,18,0.02
-25.575989,0.15,-23.21022,400.0,2000.0,0.20418508,0.089329965,0.06327833,0.84302586,19,0.03
-25.040787,0.05,-24.372122,420.0,2100.0,0.20415756,0.08999296,0.063173845,0.8429617,20,0.06
-26.483492,0.0,-28.330423,440.0,2200.0,0.20421545,0.09001443,0.06334033,0.8431418,21,0.03
-26.946321,0.05,-25.242842,460.0,2300.0,0.20415545,0.09050864,0.06370247,0.8430657,22,0.03
-27.09795,0.0,-28.212458,480.0,2400.0,0.20415965,0.090665005,0.06446634,0.8429949,23,0.05
-26.51152,0.05,-26.746435,500.0,2500.0,0.2039523,0.090846844,0.06585462,0.8427849,24,0.03
-26.110628,0.05,-26.018942,520.0,2600.0,0.20397078,0.09084114,0.06692887,0.842783,25,0.07
-25.202496,0.05,-26.859324,540.0,2700.0,0.20413737,0.09083021,0.06755509,0.84323555,26,0.07
-27.466467,0.05,-24.931572,560.0,2800.0,0.20432045,0.09064888,0.06891766,0.8432757,27,0.05
-27.357544,0.1,-25.825918,580.0,2900.0,0.20432785,0.09065456,0.06951047,0.84321254,28,0.03
-28.127352,0.0,-24.655983,600.0,3000.0,0.20433332,0.09078446,0.07003382,0.8431966,29,0.01
-27.177483,0.05,-31.398626,620.0,3100.0,0.20433412,0.09092587,0.07044756,0.8430765,30,0.02
-26.52356,0.05,-28.977306,640.0,3200.0,0.20426123,0.09136289,0.07151114,0.84271926,31,0.07
-26.864744,0.0,-27.026638,660.0,3300.0,0.20424366,0.09140718,0.07224355,0.8425071,32,0.05
-27.49542,0.0,-27.974981,680.0,3400.0,0.20425993,0.091518186,0.07276468,0.84265256,33,0.02
-27.077713,0.05,-29.10785,700.0,3500.0,0.20429727,0.09179593,0.074355565,0.84262085,34,0.07
-25.683594,0.05,-28.695139,720.0,3600.0,0.20432238,0.0921307,0.07506086,0.8426179,35,0.06
-25.736488,0.05,-27.246725,740.0,3700.0,0.20441765,0.09235481,0.076192915,0.84277457,36,0.09
-26.300154,0.05,-26.430004,760.0,3800.0,0.2044079,0.092241086,0.07645172,0.8426876,37,0.05
-25.9829,0.0,-28.407633,780.0,3900.0,0.20427136,0.09272599,0.07725897,0.8424997,38,0.03
-25.960163,0.1,-23.73813,800.0,4000.0,0.20422354,0.0925951,0.07725422,0.8423385,39,0.04
-25.769133,0.05,-21.836544,820.0,4100.0,0.20424119,0.09260891,0.07759026,0.8424098,40,0.06
-27.18626,0.05,-25.074783,840.0,4200.0,0.20425211,0.09253881,0.07810365,0.84238964,41,0.03
