test/episode,test/mean_Q,stats_o/mean,stats_g/mean,test/success_rate,train/success_rate,train/episode,stats_g/std,train/mean_Q,stats_o/std,epoch
20.0,-2.7888112,0.20421286,0.8414685,0.0,0.04,100.0,0.08695504,-1.5700905,0.048804294,0
40.0,-4.284548,0.2043402,0.8429653,0.1,0.06,200.0,0.08775392,-3.3939786,0.047434755,1
60.0,-5.4206786,0.20430811,0.8431961,0.1,0.03,300.0,0.08838781,-5.490923,0.04596335,2
80.0,-7.609239,0.20473164,0.8447259,0.0,0.08,400.0,0.08821109,-7.021345,0.04533832,3
100.0,-9.805504,0.2050942,0.8459334,0.05,0.02,500.0,0.08755068,-8.574478,0.045680366,4
120.0,-11.754706,0.20489153,0.84547037,0.0,0.03,600.0,0.08731394,-10.21122,0.04945867,5
140.0,-13.338259,0.20459409,0.8449092,0.05,0.03,700.0,0.087438524,-12.41146,0.04941125,6
160.0,-13.681734,0.20461348,0.8449703,0.1,0.04,800.0,0.08771085,-13.128932,0.051047992,7
180.0,-13.237732,0.20429258,0.844649,0.1,0.01,900.0,0.08731534,-14.715165,0.054181725,8
200.0,-15.3663435,0.20427853,0.8444415,0.05,0.05,1000.0,0.08774799,-16.204,0.055963293,9
220.0,-18.799591,0.20404787,0.84458286,0.0,0.02,1100.0,0.08914122,-17.528353,0.058630954,10
240.0,-20.820282,0.2038404,0.8435115,0.05,0.0,1200.0,0.09119775,-18.813292,0.06225724,11
260.0,-19.771042,0.20377089,0.84331316,0.05,0.04,1300.0,0.092135966,-19.008408,0.0657582,12
280.0,-20.195847,0.20386165,0.84323734,0.05,0.04,1400.0,0.09235621,-20.627104,0.066040516,13
300.0,-19.122684,0.20386046,0.8429356,0.15,0.04,1500.0,0.09354094,-20.391624,0.06690646,14
320.0,-21.315123,0.20380928,0.84255534,0.1,0.04,1600.0,0.09341838,-20.28698,0.06756719,15
340.0,-19.243862,0.20390944,0.8425741,0.1,0.02,1700.0,0.09390506,-21.593786,0.06822764,16
360.0,-22.594,0.20379344,0.8419599,0.0,0.03,1800.0,0.095297195,-22.180204,0.07121532,17
