stats_g/std,epoch,stats_g/mean,train/success_rate,train/mean_Q,test/episode,train/episode,stats_o/mean,test/mean_Q,test/success_rate,stats_o/std
0.09461563,0,0.8442445,0.04,-1.6559676,20.0,100.0,0.20368005,-2.7972283,0.0,0.046135083
0.092310406,1,0.8452886,0.05,-3.5242233,40.0,200.0,0.20385113,-4.382169,0.1,0.04433007
0.09333515,2,0.84624773,0.04,-5.6866803,60.0,300.0,0.20391265,-5.9936376,0.05,0.044294056
0.093247496,3,0.8476188,0.08,-7.0330143,80.0,400.0,0.20427652,-7.8981447,0.0,0.04436505
0.09241413,4,0.84865564,0.02,-9.02595,100.0,500.0,0.20473202,-10.068563,0.05,0.045044694
0.09232852,5,0.8484879,0.04,-10.342024,120.0,600.0,0.20458603,-12.1879225,0.0,0.046634823
0.09364227,6,0.8481169,0.03,-12.406687,140.0,700.0,0.20431261,-13.290403,0.05,0.04858272
0.09398144,7,0.84807587,0.03,-13.255725,160.0,800.0,0.20421675,-13.626615,0.1,0.049509145
0.093768604,8,0.84790117,0.01,-15.3587,180.0,900.0,0.20426483,-13.607106,0.1,0.050504632
0.09380656,9,0.84798676,0.05,-16.4943,200.0,1000.0,0.20404337,-15.162268,0.1,0.051483054
0.09397113,10,0.84817815,0.03,-17.867714,220.0,1100.0,0.20406824,-19.227406,0.0,0.0531263
0.09486001,11,0.84745926,0.01,-18.806328,240.0,1200.0,0.20380512,-21.355412,0.0,0.0544911
0.09487627,12,0.84730226,0.03,-19.68752,260.0,1300.0,0.2038218,-20.928753,0.0,0.055680003
0.09489646,13,0.84719926,0.03,-21.254168,280.0,1400.0,0.20370926,-20.032558,0.05,0.056787353
0.094639935,14,0.8470853,0.03,-21.007298,300.0,1500.0,0.20381585,-19.62387,0.1,0.058225613
0.09460708,15,0.84688205,0.04,-21.549725,320.0,1600.0,0.20378435,-21.626583,0.15,0.05974587
0.09495332,16,0.84674615,0.02,-22.806108,340.0,1700.0,0.20371515,-20.115932,0.1,0.06169084
0.09500131,17,0.8464103,0.02,-23.26187,360.0,1800.0,0.20364653,-24.282244,0.0,0.061860386
0.09505606,18,0.8461613,0.0,-23.734394,380.0,1900.0,0.20362574,-23.843204,0.05,0.06173618
0.094887376,19,0.8459158,0.03,-24.771948,400.0,2000.0,0.20355442,-22.658792,0.15,0.062269136
0.09483954,20,0.84586495,0.09,-24.028542,420.0,2100.0,0.20359086,-22.726988,0.05,0.06241275
0.095762275,21,0.846106,0.05,-25.210049,440.0,2200.0,0.20356688,-26.604715,0.0,0.06332987
0.095875144,22,0.84600616,0.03,-25.613432,460.0,2300.0,0.20360333,-23.909761,0.05,0.063935734
0.09577161,23,0.8459541,0.07,-25.48952,480.0,2400.0,0.20359753,-28.09,0.0,0.064498164
0.09571936,24,0.8457377,0.03,-25.908575,500.0,2500.0,0.20359884,-27.375055,0.0,0.06526202
0.09601268,25,0.84572214,0.1,-25.94696,520.0,2600.0,0.20347518,-27.175898,0.05,0.066642955
0.09615541,26,0.8460416,0.06,-24.683725,540.0,2700.0,0.20356521,-25.446394,0.0,0.06716281
0.09635249,27,0.84604865,0.04,-28.115301,560.0,2800.0,0.20356292,-25.964413,0.05,0.068436906
0.09664318,28,0.8460796,0.04,-28.336206,580.0,2900.0,0.20356196,-26.345465,0.15,0.06855295
0.09692538,29,0.8460694,0.04,-29.67284,600.0,3000.0,0.20358719,-24.97233,0.05,0.06915505
0.09719086,30,0.84609514,0.03,-28.603046,620.0,3100.0,0.20364912,-32.717506,0.05,0.07033223
0.09730849,31,0.84574366,0.04,-27.523289,640.0,3200.0,0.20352381,-27.183075,0.05,0.07132768
0.097143136,32,0.84565514,0.03,-26.78009,660.0,3300.0,0.20347454,-25.196087,0.05,0.071301095
0.09727347,33,0.8457105,0.03,-26.907768,680.0,3400.0,0.20345782,-28.880505,0.05,0.07194502
0.09721151,34,0.8457057,0.04,-27.772402,700.0,3500.0,0.2034752,-30.982853,0.05,0.07206221
0.097199954,35,0.84573126,0.06,-26.132166,720.0,3600.0,0.2034433,-27.117477,0.05,0.07265255
0.09718255,36,0.84584737,0.07,-27.72351,740.0,3700.0,0.20349644,-25.686695,0.05,0.07278822
0.09707276,37,0.84575486,0.03,-28.184044,760.0,3800.0,0.20348322,-27.181147,0.05,0.07281219
0.09691758,38,0.8456432,0.03,-26.251272,780.0,3900.0,0.20342138,-26.961096,0.0,0.07303324
0.09680631,39,0.84551615,0.05,-26.695847,800.0,4000.0,0.20335394,-24.876505,0.1,0.07312105
0.09670528,40,0.84550995,0.07,-26.152718,820.0,4100.0,0.20334966,-25.173306,0.05,0.073339015
0.096612364,41,0.8454585,0.08,-27.98353,840.0,4200.0,0.20331994,-24.515703,0.0,0.07418449
0.09655192,42,0.84552497,0.03,-27.00362,860.0,4300.0,0.20328504,-28.879612,0.0,0.07447895
0.09649327,43,0.8453955,0.03,-27.069328,880.0,4400.0,0.20326048,-25.403423,0.05,0.07501026
0.09676971,44,0.8453079,0.06,-26.713472,900.0,4500.0,0.20318629,-27.407696,0.05,0.07571959
0.09682095,45,0.84530824,0.09,-26.00933,920.0,4600.0,0.20317225,-27.904577,0.15,0.07699368
0.09683305,46,0.84533644,0.06,-28.626945,940.0,4700.0,0.20315911,-30.446127,0.05,0.077010795
0.09705343,47,0.8452921,0.06,-26.023779,960.0,4800.0,0.20316242,-22.170002,0.05,0.07765573
0.097140945,48,0.8453482,0.06,-25.9223,980.0,4900.0,0.20318222,-23.04689,0.1,0.07803247
