train/success_rate,test/mean_Q,train/episode,stats_o/mean,test/episode,test/success_rate,epoch,stats_o/std,train/mean_Q,stats_g/mean,stats_g/std
0.04,-2.791514,100.0,0.20340769,20.0,0.0,0,0.048396576,-1.6035615,0.8368899,0.09956255
0.06,-4.37897,200.0,0.20427112,40.0,0.1,1,0.051998604,-3.5021355,0.8405781,0.09403079
0.04,-5.7212296,300.0,0.2042248,60.0,0.05,2,0.051181912,-5.618001,0.84134966,0.09245748
0.07,-7.786193,400.0,0.20466791,80.0,0.0,3,0.05192472,-7.1203227,0.84372336,0.09270519
0.02,-9.863157,500.0,0.20501988,100.0,0.05,4,0.05123123,-8.643517,0.84502894,0.09097091
0.04,-12.181537,600.0,0.20494208,120.0,0.0,5,0.053232953,-10.411448,0.84419364,0.09089532
0.03,-13.201233,700.0,0.20471142,140.0,0.05,6,0.053063832,-12.498426,0.8437514,0.0909761
0.05,-13.256067,800.0,0.20463678,160.0,0.1,7,0.054096416,-12.977997,0.8437302,0.09108185
0.01,-13.634297,900.0,0.20445114,180.0,0.15,8,0.054688465,-14.942815,0.84338427,0.09098592
0.05,-15.0333805,1000.0,0.20435753,200.0,0.05,9,0.05551863,-16.35173,0.8434906,0.0908796
0.03,-18.102316,1100.0,0.204444,220.0,0.0,10,0.056064118,-17.529125,0.8436871,0.0916116
0.01,-21.575504,1200.0,0.20418896,240.0,0.0,11,0.057396974,-18.514719,0.8432544,0.09222164
0.02,-20.336876,1300.0,0.20418052,260.0,0.0,12,0.060016192,-19.309074,0.84328264,0.09183153
0.03,-21.149351,1400.0,0.2042472,280.0,0.05,13,0.061202526,-20.947554,0.8432482,0.09259558
0.03,-19.46637,1500.0,0.20408629,300.0,0.15,14,0.061803415,-20.508926,0.8431146,0.092641465
0.04,-21.267418,1600.0,0.20412369,320.0,0.1,15,0.06200171,-21.070314,0.8429032,0.09239423
0.04,-19.351353,1700.0,0.20415652,340.0,0.1,16,0.06278287,-21.722649,0.8429509,0.09292195
0.04,-24.054348,1800.0,0.20415764,360.0,0.0,17,0.06358161,-21.903797,0.8427102,0.0928491
0.0,-23.615164,1900.0,0.20411459,380.0,0.05,18,0.06541515,-22.992983,0.84262013,0.094033875
0.03,-20.877136,2000.0,0.20406896,400.0,0.15,19,0.06556747,-24.027617,0.8423898,0.09384507
0.06,-23.338089,2100.0,0.20416564,420.0,0.05,20,0.06716682,-23.208218,0.84225655,0.0944171
0.04,-25.497074,2200.0,0.20425215,440.0,0.0,21,0.06825564,-25.212107,0.84241813,0.0947497
0.04,-23.196365,2300.0,0.20403747,460.0,0.05,22,0.06875173,-24.50515,0.84222096,0.09481749
0.06,-26.518951,2400.0,0.20417066,480.0,0.0,23,0.06967985,-24.79125,0.84214014,0.094798446
0.04,-24.983492,2500.0,0.20411491,500.0,0.0,24,0.070872076,-23.746428,0.84191966,0.09450934
0.06,-24.757185,2600.0,0.20409933,520.0,0.05,25,0.07134984,-24.340532,0.8419919,0.094417304
0.04,-25.397991,2700.0,0.20421085,540.0,0.0,26,0.07137773,-23.870134,0.84236366,0.09429091
0.04,-24.169285,2800.0,0.20423546,560.0,0.05,27,0.07172127,-25.277264,0.84240466,0.09404091
0.02,-24.065113,2900.0,0.20416169,580.0,0.1,28,0.07234684,-26.021072,0.8424218,0.09406421
0.02,-24.616549,3000.0,0.20418413,600.0,0.0,29,0.072801605,-27.261818,0.84236294,0.09445525
0.04,-31.809093,3100.0,0.2041472,620.0,0.05,30,0.07408425,-24.890356,0.8421293,0.09484416
0.06,-26.01192,3200.0,0.20409134,640.0,0.1,31,0.07511091,-25.193348,0.84177357,0.09527287
0.05,-23.491781,3300.0,0.20404436,660.0,0.0,32,0.07607606,-25.737688,0.84167296,0.09543499
0.02,-27.406473,3400.0,0.20412609,680.0,0.0,33,0.0768871,-25.860237,0.8418736,0.095472895
0.05,-27.579983,3500.0,0.20400158,700.0,0.05,34,0.07768917,-27.043186,0.8416479,0.095823415
0.07,-26.891865,3600.0,0.20397358,720.0,0.05,35,0.07812714,-24.617617,0.8416677,0.0960164
0.11,-27.93393,3700.0,0.20392433,740.0,0.05,36,0.07836307,-26.097849,0.84174913,0.09576621
0.03,-26.070852,3800.0,0.20388708,760.0,0.05,37,0.07818098,-26.882534,0.8417299,0.09557959
0.04,-27.757046,3900.0,0.20382822,780.0,0.05,38,0.078122266,-25.913862,0.8415346,0.095520355
0.04,-22.908165,4000.0,0.20368916,800.0,0.15,39,0.078493945,-26.794504,0.84133834,0.09543837
0.08,-23.638662,4100.0,0.20370777,820.0,0.05,40,0.078695744,-26.665909,0.8413896,0.09558473
0.04,-25.881496,4200.0,0.20373118,840.0,0.05,41,0.07889232,-27.48598,0.84139967,0.09547468
0.04,-28.158707,4300.0,0.20383856,860.0,0.0,42,0.07933599,-26.317537,0.8413877,0.09557217
0.06,-27.953196,4400.0,0.2037732,880.0,0.0,43,0.07979373,-27.302668,0.84123844,0.09580463
0.08,-29.818844,4500.0,0.20372304,900.0,0.0,44,0.080017366,-26.55099,0.8410918,0.09586397
0.1,-27.561337,4600.0,0.20369652,920.0,0.1,45,0.080218814,-25.671316,0.8410732,0.09596804
0.05,-30.959692,4700.0,0.2036844,940.0,0.05,46,0.08024332,-28.31727,0.84103847,0.09587575
0.06,-23.351128,4800.0,0.20374337,960.0,0.15,47,0.080638655,-25.762556,0.84106255,0.095738955
0.13,-25.396805,4900.0,0.20373091,980.0,0.05,48,0.08146815,-25.621672,0.84109545,0.09591206
0.02,-32.43351,5000.0,0.20372066,1000.0,0.05,49,0.081555024,-27.853748,0.8412548,0.09598545
0.06,-26.961618,5100.0,0.2036566,1020.0,0.05,50,0.08205808,-24.795813,0.8411918,0.095926605
0.09,-31.212896,5200.0,0.20359251,1040.0,0.05,51,0.08214536,-24.40205,0.8410034,0.09585901
0.03,-29.56033,5300.0,0.20360683,1060.0,0.15,52,0.08223277,-26.986135,0.84101397,0.095775776
0.07,-27.069489,5400.0,0.20360084,1080.0,0.05,53,0.082555205,-22.91526,0.8409664,0.09554636
0.09,-27.283255,5500.0,0.20351179,1100.0,0.1,54,0.082907766,-25.095373,0.84084916,0.095593326
0.04,-27.164806,5600.0,0.20358433,1120.0,0.05,55,0.0833289,-26.322075,0.84098953,0.09576776
0.05,-29.358322,5700.0,0.20362894,1140.0,0.0,56,0.08361829,-26.329826,0.8409767,0.09562967
0.06,-29.866802,5800.0,0.20364353,1160.0,0.0,57,0.08374261,-26.635942,0.8409376,0.09553936
0.08,-22.608288,5900.0,0.20369877,1180.0,0.2,58,0.08415032,-23.885637,0.84100443,0.0953457
0.09,-24.394047,6000.0,0.2036408,1200.0,0.05,59,0.08482378,-23.407219,0.8410166,0.095242225
0.07,-20.78897,6100.0,0.20355867,1220.0,0.15,60,0.085372426,-24.938818,0.84086156,0.09526517
0.09,-25.891275,6200.0,0.20355207,1240.0,0.05,61,0.08576809,-23.608118,0.84084064,0.095227785
0.05,-19.617859,6300.0,0.20354824,1260.0,0.1,62,0.086239874,-26.8436,0.8409241,0.09540973
0.12,-20.867107,6400.0,0.20355168,1280.0,0.1,63,0.086439505,-21.464775,0.8409264,0.09524101
0.09,-18.304089,6500.0,0.2035676,1300.0,0.05,64,0.086929664,-22.159067,0.8408041,0.09519694
0.07,-24.130875,6600.0,0.20355095,1320.0,0.1,65,0.08707707,-23.966978,0.84066147,0.095208675
0.05,-23.439917,6700.0,0.20351784,1340.0,0.1,66,0.08741242,-22.739092,0.84071296,0.095150985
0.15,-26.037113,6800.0,0.20354468,1360.0,0.15,67,0.08773562,-21.34037,0.8407118,0.09513012
0.13,-24.412052,6900.0,0.20346402,1380.0,0.05,68,0.08822386,-22.544378,0.84059495,0.0952513
0.11,-20.332993,7000.0,0.20343387,1400.0,0.3,69,0.08825386,-22.10879,0.84048223,0.09537646
0.13,-30.311472,7100.0,0.20348787,1420.0,0.0,70,0.08863508,-20.735594,0.8405351,0.09525185
0.12,-16.029789,7200.0,0.20355962,1440.0,0.25,71,0.08889109,-23.294165,0.8406303,0.09528935
0.06,-18.94408,7300.0,0.20350833,1460.0,0.1,72,0.08930844,-23.463306,0.8407037,0.09530637
0.11,-17.777842,7400.0,0.2035356,1480.0,0.2,73,0.08952585,-22.370703,0.84075594,0.095350444
0.11,-15.627988,7500.0,0.20354362,1500.0,0.25,74,0.089827165,-21.265032,0.8407956,0.09529916
0.17,-20.984777,7600.0,0.20348418,1520.0,0.05,75,0.090009786,-20.416405,0.84079546,0.09520518
0.15,-22.45251,7700.0,0.20355263,1540.0,0.1,76,0.09029663,-20.518276,0.840787,0.0951759
0.18,-20.349125,7800.0,0.20348835,1560.0,0.25,77,0.090692006,-20.431314,0.84077114,0.095121264
0.13,-27.451223,7900.0,0.20354909,1580.0,0.1,78,0.09110348,-19.385984,0.8407356,0.0951128
0.12,-20.970507,8000.0,0.2035711,1600.0,0.2,79,0.09150052,-22.454493,0.8406918,0.09525955
0.18,-16.547596,8100.0,0.20357691,1620.0,0.25,80,0.09173209,-21.375408,0.84068614,0.09529399
0.18,-23.994816,8200.0,0.2035669,1640.0,0.2,81,0.09194389,-22.512737,0.8407447,0.09529543
0.14,-18.776937,8300.0,0.20352404,1660.0,0.15,82,0.09219603,-19.384281,0.840774,0.09527773
0.17,-21.706182,8400.0,0.20353834,1680.0,0.1,83,0.09242319,-19.804028,0.8407995,0.09521421
0.13,-19.61014,8500.0,0.20354344,1700.0,0.15,84,0.09259959,-22.802744,0.8408637,0.09513331
0.1,-20.401768,8600.0,0.2035151,1720.0,0.15,85,0.09289967,-20.28776,0.8408301,0.09519347
0.21,-15.5566845,8700.0,0.20353843,1740.0,0.25,86,0.093123,-19.58614,0.8409268,0.0952047
0.13,-16.834784,8800.0,0.20351711,1760.0,0.15,87,0.09309676,-20.833935,0.8408463,0.09512416
0.1,-19.39244,8900.0,0.2035404,1780.0,0.25,88,0.0934551,-23.789007,0.84079415,0.09524989
0.09,-23.793215,9000.0,0.20353194,1800.0,0.15,89,0.09341082,-23.139622,0.8408289,0.09519448
