epoch,stats_g/std,test/success_rate,stats_o/mean,train/episode,test/mean_Q,train/success_rate,stats_o/std,train/mean_Q,stats_g/mean,test/episode
0,0.0866071,0.0,0.20363629,100.0,-3.0111465,0.04,0.060282465,-1.651142,0.8402154,20.0
1,0.0908201,0.1,0.20423406,200.0,-4.2541175,0.06,0.056978393,-3.5197046,0.84304935,40.0
2,0.09044186,0.05,0.20428507,300.0,-5.860099,0.04,0.05556458,-5.6509547,0.8428785,60.0
3,0.09006447,0.0,0.2047423,400.0,-7.9037333,0.08,0.05506884,-7.0347157,0.8447061,80.0
4,0.09131465,0.0,0.20532088,500.0,-10.100815,0.03,0.05680727,-8.70691,0.8456448,100.0
5,0.09333175,0.05,0.20491439,600.0,-12.22196,0.03,0.058515288,-10.114749,0.8443596,120.0
6,0.09613963,0.05,0.20480576,700.0,-13.310709,0.03,0.06040885,-12.463619,0.8436447,140.0
7,0.096568026,0.1,0.20465097,800.0,-13.273613,0.05,0.061841022,-12.99679,0.84368515,160.0
8,0.09527582,0.1,0.20447677,900.0,-13.062175,0.01,0.06120765,-15.025077,0.8435507,180.0
9,0.09491555,0.05,0.20439075,1000.0,-14.511261,0.05,0.06050177,-16.451073,0.84349084,200.0
10,0.0951939,0.0,0.20468847,1100.0,-19.017645,0.02,0.061748024,-17.432392,0.8440338,220.0
11,0.09562754,0.0,0.2045732,1200.0,-21.150873,0.03,0.063200556,-18.071749,0.8434424,240.0
12,0.09762239,0.0,0.20455286,1300.0,-19.781813,0.04,0.06588758,-18.675919,0.843105,260.0
13,0.09805582,0.05,0.20428257,1400.0,-18.8112,0.04,0.06706291,-20.249636,0.84282166,280.0
14,0.09937792,0.15,0.20444232,1500.0,-18.665081,0.05,0.06986185,-18.861422,0.8424439,300.0
15,0.09879916,0.1,0.20436172,1600.0,-18.07041,0.06,0.07038972,-18.763723,0.8420258,320.0
16,0.098216794,0.1,0.20446983,1700.0,-17.574633,0.03,0.07090287,-18.90012,0.84217477,340.0
17,0.09831954,0.05,0.20444632,1800.0,-19.39245,0.02,0.07240894,-20.029564,0.8417565,360.0
18,0.098499976,0.05,0.2044218,1900.0,-20.73774,0.02,0.07361004,-20.920208,0.841192,380.0
19,0.09837741,0.15,0.20430687,2000.0,-18.297255,0.04,0.07474636,-21.06364,0.8407243,400.0
20,0.098733045,0.1,0.2042348,2100.0,-18.947498,0.05,0.07592531,-20.24377,0.84050053,420.0
21,0.09881828,0.1,0.20422554,2200.0,-19.782352,0.06,0.076583214,-22.579557,0.8406756,440.0
22,0.09901434,0.1,0.20406759,2300.0,-20.318127,0.03,0.076978385,-22.086739,0.8404072,460.0
23,0.099168785,0.0,0.20412691,2400.0,-23.876743,0.03,0.07729872,-23.114952,0.8403234,480.0
24,0.09899452,0.0,0.2039913,2500.0,-21.175058,0.07,0.07785477,-20.818792,0.8399346,500.0
25,0.09975773,0.1,0.20405224,2600.0,-23.715939,0.05,0.07854093,-23.277363,0.8400015,520.0
26,0.100099385,0.0,0.20422615,2700.0,-22.020874,0.08,0.07979922,-20.41964,0.840269,540.0
