train/mean_Q,train/success_rate,stats_g/std,stats_g/mean,train/episode,stats_o/std,stats_o/mean,epoch,test/success_rate,test/episode,test/mean_Q
-1.6519737,0.04,0.09113916,0.8441553,100.0,0.048657104,0.2040958,0,0.0,20.0,-2.909298
-3.5826926,0.05,0.09182683,0.84642464,200.0,0.045854293,0.20426853,1,0.1,40.0,-4.52712
-5.7309546,0.04,0.092287175,0.84642893,300.0,0.044369508,0.20417757,2,0.05,60.0,-5.9819756
-7.1784344,0.08,0.09230592,0.84776515,400.0,0.04375996,0.2046002,3,0.0,80.0,-8.242482
-9.0432825,0.02,0.09167982,0.84880346,500.0,0.043360673,0.20501404,4,0.05,100.0,-9.997129
-10.487304,0.04,0.09152899,0.8485084,600.0,0.043234326,0.20474882,5,0.0,120.0,-11.894859
-12.695298,0.02,0.092190646,0.8482454,700.0,0.046250585,0.20452635,6,0.05,140.0,-13.219254
-13.708173,0.04,0.09248868,0.8481157,800.0,0.050842024,0.20446561,7,0.1,160.0,-13.815979
-15.278071,0.01,0.09217423,0.8479089,900.0,0.05336406,0.20416683,8,0.1,180.0,-14.559944
-16.49854,0.05,0.09241522,0.8479099,1000.0,0.05388706,0.20416681,9,0.05,200.0,-15.406476
-17.695677,0.03,0.09261101,0.8482201,1100.0,0.056695957,0.20451605,10,0.0,220.0,-19.101545
-18.741415,0.01,0.09286515,0.8477252,1200.0,0.059536867,0.20436198,11,0.0,240.0,-21.579214
-19.40884,0.04,0.09264406,0.84765154,1300.0,0.05980425,0.20435551,12,0.0,260.0,-20.538677
-21.197893,0.02,0.09274771,0.84758645,1400.0,0.05980732,0.20426977,13,0.05,280.0,-20.851696
-21.108435,0.02,0.092547596,0.84756786,1500.0,0.061512858,0.20423412,14,0.15,300.0,-19.690878
-21.817022,0.04,0.09243128,0.8473175,1600.0,0.061811086,0.20420733,15,0.1,320.0,-22.54218
-22.392454,0.03,0.09232193,0.84732556,1700.0,0.06300972,0.20423263,16,0.1,340.0,-21.123451
-23.33722,0.02,0.09232215,0.8469482,1800.0,0.06410213,0.20418216,17,0.0,360.0,-24.209381
-24.381924,0.0,0.09255139,0.8467168,1900.0,0.06523325,0.20408963,18,0.1,380.0,-23.936121
-24.727842,0.03,0.09242485,0.8464999,2000.0,0.066427425,0.20409448,19,0.15,400.0,-22.486935
-24.055126,0.08,0.09240633,0.84642243,2100.0,0.0665171,0.2040431,20,0.05,420.0,-22.763718
-26.00313,0.02,0.09246075,0.84658885,2200.0,0.06701753,0.20413308,21,0.0,440.0,-25.745972
-26.048706,0.04,0.0927363,0.8464593,2300.0,0.06810646,0.20409974,22,0.05,460.0,-23.342869
-26.273073,0.05,0.092889376,0.8464593,2400.0,0.06892668,0.20403714,23,0.0,480.0,-27.820227
-25.366394,0.04,0.09272555,0.84620005,2500.0,0.06958353,0.2039769,24,0.0,500.0,-26.091394
-26.735947,0.04,0.09295962,0.84621716,2600.0,0.07008439,0.20394205,25,0.05,520.0,-27.992542
-24.81494,0.05,0.09292817,0.8465238,2700.0,0.070652254,0.20400733,26,0.0,540.0,-28.312122
-28.14584,0.05,0.09276868,0.8465608,2800.0,0.07196158,0.20416258,27,0.05,560.0,-25.630075
-28.826527,0.02,0.09289551,0.84659,2900.0,0.07248429,0.20415331,28,0.1,580.0,-27.905985
-28.333609,0.01,0.09301886,0.8466012,3000.0,0.072987154,0.20419754,29,0.0,600.0,-26.810297
