epoch,test/mean_Q,train/success_rate,test/success_rate,stats_o/std,stats_o/mean,test/episode,stats_g/mean,train/episode,stats_g/std,train/mean_Q
0,-2.5045705,0.05,0.1,0.055170126,0.20120865,20.0,0.8388342,100.0,0.07113369,-1.4503952
1,-4.688621,0.1,0.0,0.04837739,0.20105164,40.0,0.83825564,200.0,0.070525214,-3.1910534
2,-5.5708227,0.06,0.1,0.049319763,0.20095214,60.0,0.8376984,300.0,0.07122543,-4.9972134
3,-7.8875704,0.07,0.05,0.047896657,0.20155022,80.0,0.83938146,400.0,0.07074208,-6.559826
4,-10.172857,0.07,0.0,0.046763644,0.20194,100.0,0.8408363,500.0,0.07042483,-8.434311
5,-10.448841,0.04,0.1,0.050888814,0.20204285,120.0,0.840751,600.0,0.07143359,-10.694507
6,-10.24416,0.05,0.2,0.051954437,0.20159596,140.0,0.8400514,700.0,0.071008004,-11.583495
7,-12.440043,0.1,0.1,0.05092817,0.20156178,160.0,0.8399276,800.0,0.070506856,-11.987005
8,-14.878584,0.09,0.1,0.05182811,0.20142417,180.0,0.8395696,900.0,0.071604006,-14.545255
9,-15.674452,0.07,0.05,0.052336253,0.20128246,200.0,0.8389187,1000.0,0.07149199,-15.04358
10,-13.531189,0.07,0.15,0.052064467,0.20137417,220.0,0.8390991,1100.0,0.071127005,-16.751118
11,-18.191572,0.07,0.0,0.052243818,0.20126055,240.0,0.83878547,1200.0,0.07103403,-17.673782
12,-19.799902,0.07,0.0,0.05451645,0.2013191,260.0,0.838713,1300.0,0.07257602,-19.15283
13,-21.01658,0.06,0.05,0.055643015,0.20133787,280.0,0.8384779,1400.0,0.07401876,-20.488243
14,-21.188997,0.04,0.05,0.05582479,0.20126095,300.0,0.8383109,1500.0,0.07451678,-20.598394
15,-22.882303,0.06,0.05,0.056625996,0.20125057,320.0,0.83853215,1600.0,0.07452031,-21.57322
16,-18.424099,0.05,0.1,0.058189593,0.20134678,340.0,0.8387762,1700.0,0.07514136,-22.772114
17,-22.582615,0.11,0.05,0.05828205,0.20136201,360.0,0.83877426,1800.0,0.075012654,-21.24654
18,-18.11192,0.08,0.15,0.059324313,0.20132485,380.0,0.8385308,1900.0,0.07479376,-21.87704
19,-19.166409,0.1,0.15,0.05972573,0.2013431,400.0,0.83833057,2000.0,0.074794464,-22.919798
20,-24.33913,0.03,0.0,0.060912732,0.20138098,420.0,0.8385811,2100.0,0.07526592,-25.255772
21,-20.825966,0.06,0.2,0.061354633,0.2013877,440.0,0.83849365,2200.0,0.075134285,-24.270987
22,-24.309347,0.05,0.1,0.06155055,0.20118545,460.0,0.83805627,2300.0,0.07501365,-25.259758
23,-23.18225,0.12,0.15,0.062494736,0.20102133,480.0,0.83771443,2400.0,0.07575081,-24.507963
24,-24.253494,0.09,0.05,0.06330406,0.20105003,500.0,0.8375852,2500.0,0.07637011,-25.504734
25,-25.71098,0.04,0.1,0.06294704,0.20111498,520.0,0.8377302,2600.0,0.07615753,-27.207796
26,-32.642143,0.16,0.0,0.06292373,0.2011365,540.0,0.83768576,2700.0,0.07618803,-23.524426
27,-26.033178,0.06,0.05,0.06278086,0.20108473,560.0,0.83756596,2800.0,0.076065496,-25.582632
28,-26.605762,0.04,0.1,0.062645264,0.20097551,580.0,0.8374576,2900.0,0.075902775,-28.781204
29,-31.205389,0.07,0.05,0.0624748,0.20094414,600.0,0.8374858,3000.0,0.07587541,-29.392677
30,-25.532469,0.07,0.05,0.062500045,0.20091955,620.0,0.8373687,3100.0,0.07611758,-27.972927
31,-32.699432,0.06,0.1,0.06256803,0.20092373,640.0,0.837519,3200.0,0.07607918,-29.055471
32,-28.658802,0.09,0.05,0.06287856,0.20098361,660.0,0.8377354,3300.0,0.0761494,-27.176153
33,-28.01247,0.07,0.15,0.0628908,0.20107843,680.0,0.8379409,3400.0,0.076236665,-29.572683
34,-29.758142,0.08,0.05,0.06287442,0.20107347,700.0,0.83788604,3500.0,0.07622872,-30.25761
35,-24.057087,0.07,0.2,0.06312146,0.20112145,720.0,0.83805126,3600.0,0.07622618,-29.39718
36,-32.29455,0.09,0.0,0.062927276,0.20114318,740.0,0.8381099,3700.0,0.076127164,-29.268383
37,-26.229328,0.04,0.2,0.062711775,0.20118098,760.0,0.8381705,3800.0,0.07606921,-32.789932
38,-24.436703,0.07,0.2,0.06254337,0.20117569,780.0,0.8381811,3900.0,0.075922936,-30.05149
39,-26.14393,0.02,0.05,0.06265159,0.20113327,800.0,0.8380651,4000.0,0.07584859,-30.30803
40,-26.907421,0.1,0.1,0.062708184,0.20107543,820.0,0.83795315,4100.0,0.07574532,-29.16143
41,-29.356403,0.05,0.1,0.06382325,0.20108521,840.0,0.83786494,4200.0,0.07621832,-29.172314
42,-27.27042,0.05,0.15,0.06413466,0.20111485,860.0,0.8378928,4300.0,0.07613043,-27.89922
43,-30.914429,0.09,0.05,0.0646939,0.20110603,880.0,0.837898,4400.0,0.07616641,-26.66156
44,-28.509068,0.05,0.05,0.06552843,0.20110984,900.0,0.8378782,4500.0,0.076466344,-27.548965
45,-25.240793,0.09,0.1,0.06610341,0.20115477,920.0,0.83798426,4600.0,0.07695187,-26.886307
46,-26.179113,0.1,0.0,0.0667153,0.20115948,940.0,0.8379755,4700.0,0.07686445,-27.392279
47,-23.175657,0.06,0.15,0.06740314,0.20113733,960.0,0.8378971,4800.0,0.07696392,-27.116816
48,-22.530514,0.11,0.05,0.06760313,0.20111318,980.0,0.8378137,4900.0,0.07684003,-22.358946
49,-21.319487,0.11,0.15,0.068051875,0.20111899,1000.0,0.8378272,5000.0,0.07714475,-24.641668
