epoch,train/episode,stats_g/std,stats_o/mean,test/success_rate,stats_g/mean,test/mean_Q,test/episode,train/success_rate,stats_o/std,train/mean_Q
0,100.0,0.07258129,0.20085347,0.1,0.8378547,-2.511538,20.0,0.05,0.038529027,-1.4477377
1,200.0,0.071804166,0.20010987,0.0,0.837143,-4.754798,40.0,0.11,0.04561834,-3.1311853
2,300.0,0.07187332,0.20037468,0.1,0.8365357,-5.495429,60.0,0.05,0.04497843,-4.981909
3,400.0,0.07209422,0.200763,0.05,0.83841443,-7.844561,80.0,0.09,0.047206793,-6.4248214
4,500.0,0.072058715,0.20137148,0.0,0.8400128,-10.192854,100.0,0.06,0.046771303,-8.549065
5,600.0,0.071998775,0.20098932,0.1,0.839905,-10.235622,120.0,0.04,0.049624156,-10.765234
6,700.0,0.07180123,0.2009377,0.2,0.8392288,-10.316919,140.0,0.04,0.050928384,-11.477817
7,800.0,0.072005086,0.20081386,0.1,0.83897734,-12.790288,160.0,0.09,0.054274913,-12.329129
8,900.0,0.07397496,0.20091185,0.1,0.83845234,-15.413086,180.0,0.08,0.055561513,-14.497558
9,1000.0,0.074207,0.20090735,0.05,0.8378745,-15.860147,200.0,0.11,0.05580148,-15.191819
10,1100.0,0.07549586,0.20098536,0.2,0.8381018,-12.866086,220.0,0.07,0.056954347,-16.521906
11,1200.0,0.07717856,0.2009177,0.0,0.8375446,-18.743618,240.0,0.08,0.05906761,-17.742708
12,1300.0,0.079561695,0.20105717,0.0,0.83759886,-19.207592,260.0,0.06,0.0608387,-19.444107
13,1400.0,0.08053834,0.20089218,0.05,0.83734196,-20.629099,280.0,0.05,0.062455438,-20.836065
14,1500.0,0.08056239,0.20084612,0.05,0.8372361,-20.742085,300.0,0.05,0.062400065,-21.193367
15,1600.0,0.08131538,0.20094648,0.05,0.83753353,-24.616364,320.0,0.04,0.06340684,-21.372719
16,1700.0,0.08229423,0.20112704,0.1,0.8379111,-19.98363,340.0,0.05,0.064890206,-23.234446
17,1800.0,0.08341222,0.2011716,0.1,0.83791274,-22.526913,360.0,0.12,0.06586955,-22.132788
18,1900.0,0.08334404,0.2011163,0.15,0.83762836,-20.703861,380.0,0.09,0.0659808,-22.263544
19,2000.0,0.082970075,0.20110966,0.15,0.8375012,-19.695179,400.0,0.1,0.06632631,-24.004982
20,2100.0,0.08319939,0.20118639,0.0,0.83775276,-26.174536,420.0,0.01,0.066415794,-26.06255
21,2200.0,0.08358247,0.20119795,0.15,0.83767575,-20.49162,440.0,0.07,0.06682595,-25.016438
22,2300.0,0.08335551,0.20103967,0.1,0.8372287,-21.489775,460.0,0.06,0.06680794,-24.637487
23,2400.0,0.083395414,0.20086136,0.15,0.8368493,-23.872707,480.0,0.11,0.06749851,-24.346786
24,2500.0,0.083258174,0.2008675,0.05,0.8368802,-20.901821,500.0,0.1,0.06798493,-24.678936
25,2600.0,0.0830449,0.20087898,0.1,0.8370691,-22.889675,520.0,0.06,0.06804009,-25.087095
26,2700.0,0.08296292,0.20097254,0.0,0.83709335,-29.71413,540.0,0.17,0.068500966,-20.894142
