stats_g/mean,test/success_rate,stats_o/std,epoch,stats_g/std,stats_o/mean,train/mean_Q,train/success_rate,test/episode,train/episode,test/mean_Q
0.8393561,0.1,0.04057871,0,0.076870225,0.20123777,-1.4514756,0.05,20.0,100.0,-2.5417686
0.83755606,0.0,0.042243738,1,0.07495825,0.20128559,-3.1870708,0.11,40.0,200.0,-4.71774
0.8375744,0.1,0.04197191,2,0.072840914,0.20115022,-5.114086,0.05,60.0,300.0,-5.737858
0.8392601,0.05,0.04316344,3,0.07252864,0.2016522,-6.4905853,0.09,80.0,400.0,-7.6809626
0.84089917,0.0,0.044891156,4,0.07223691,0.20207104,-8.288399,0.04,100.0,500.0,-10.067769
0.8405028,0.1,0.048292484,5,0.07362892,0.20216703,-10.478194,0.04,120.0,600.0,-10.724169
0.83983785,0.2,0.05048292,6,0.07311608,0.20173183,-11.32761,0.06,140.0,700.0,-9.952033
0.83960104,0.15,0.05420341,7,0.07697269,0.20195602,-12.133659,0.08,160.0,800.0,-12.525658
0.83911735,0.1,0.056552183,8,0.07774506,0.20162767,-14.476008,0.08,180.0,900.0,-14.768278
0.83858395,0.1,0.05710106,9,0.07846317,0.20160861,-14.911685,0.09,200.0,1000.0,-15.546808
0.8390196,0.15,0.05816206,10,0.078949146,0.20169394,-15.997307,0.1,220.0,1100.0,-13.497052
0.8386734,0.0,0.058732223,11,0.078403145,0.20165424,-17.375776,0.09,240.0,1200.0,-19.204695
0.8388543,0.0,0.059134625,12,0.0786401,0.20166136,-18.834,0.07,260.0,1300.0,-18.231941
0.8387019,0.05,0.0589655,13,0.07817838,0.20161399,-19.68251,0.06,280.0,1400.0,-19.011791
0.8385198,0.05,0.06045576,14,0.0786613,0.20152628,-20.230026,0.05,300.0,1500.0,-20.647272
0.83877516,0.1,0.061449457,15,0.079424866,0.20159039,-20.450699,0.08,320.0,1600.0,-22.662455
0.83926797,0.1,0.061701134,16,0.07918992,0.20169567,-22.10333,0.05,340.0,1700.0,-18.391825
0.8392556,0.1,0.062338334,17,0.07939782,0.2015711,-20.961967,0.12,360.0,1800.0,-22.557604
0.8388756,0.15,0.063296616,18,0.07965148,0.20151757,-21.65473,0.09,380.0,1900.0,-20.149084
0.8386504,0.15,0.06321058,19,0.07947435,0.20149489,-22.825085,0.1,400.0,2000.0,-18.901339
0.8389192,0.05,0.06502052,20,0.081010014,0.20153266,-24.441622,0.07,420.0,2100.0,-23.917814
0.838659,0.1,0.065845475,21,0.081764214,0.20152284,-22.55745,0.09,440.0,2200.0,-19.753843
0.83821845,0.15,0.065945685,22,0.08183525,0.20138794,-23.345112,0.07,460.0,2300.0,-18.91545
0.837881,0.15,0.06602311,23,0.08157352,0.20125681,-21.237417,0.12,480.0,2400.0,-20.65669
0.8377716,0.1,0.066042565,24,0.0816497,0.20123911,-21.621967,0.1,500.0,2500.0,-17.774225
0.8379875,0.1,0.06666075,25,0.081727855,0.20129175,-23.014633,0.08,520.0,2600.0,-19.15472
0.8379051,0.0,0.06747445,26,0.08188964,0.2013222,-19.497938,0.16,540.0,2700.0,-27.526428
0.8377719,0.0,0.067858994,27,0.0821084,0.2012681,-21.160303,0.07,560.0,2800.0,-20.922031
0.83754516,0.1,0.068040445,28,0.082074516,0.20116185,-23.331953,0.04,580.0,2900.0,-19.475292
0.83756137,0.0,0.06823307,29,0.082064986,0.20110685,-21.948462,0.09,600.0,3000.0,-24.335655
0.8374813,0.05,0.068313256,30,0.08210441,0.20112199,-20.960464,0.12,620.0,3100.0,-17.379848
