train/mean_Q,stats_o/mean,epoch,stats_g/std,test/mean_Q,test/success_rate,stats_o/std,train/episode,stats_g/mean,train/success_rate,test/episode
-1.4516857,0.20110703,0,0.07099165,-2.5309942,0.1,0.043119203,100.0,0.83821887,0.04,20.0
-3.245844,0.20099406,1,0.07103237,-4.824038,0.0,0.042932633,200.0,0.8379623,0.09,40.0
-5.19789,0.20081611,2,0.070534445,-5.780279,0.1,0.042416744,300.0,0.8377592,0.06,60.0
-6.499165,0.20139468,3,0.07061576,-8.069203,0.05,0.043039028,400.0,0.8390855,0.1,80.0
-8.49754,0.20177178,4,0.07131297,-10.372152,0.05,0.046558417,500.0,0.84062576,0.07,100.0
-10.727242,0.20162031,5,0.073079415,-10.90523,0.1,0.048891753,600.0,0.8402195,0.04,120.0
-11.878785,0.2014346,6,0.07364172,-10.565308,0.2,0.05098212,700.0,0.83958536,0.06,140.0
-12.06619,0.20134246,7,0.073085226,-12.784335,0.1,0.05050355,800.0,0.83946866,0.11,160.0
-14.384071,0.2010586,8,0.07393665,-15.180677,0.1,0.052540746,900.0,0.83910245,0.09,180.0
-15.288827,0.2009394,9,0.074225836,-16.249218,0.05,0.05353762,1000.0,0.838677,0.07,200.0
-16.459236,0.20113774,10,0.07416117,-13.889574,0.15,0.053757135,1100.0,0.83889556,0.06,220.0
-17.781239,0.20108986,11,0.07461456,-19.163914,0.0,0.054780982,1200.0,0.8385558,0.07,240.0
-18.90886,0.20111144,12,0.074173994,-19.22063,0.05,0.055084772,1300.0,0.83863646,0.07,260.0
-20.67309,0.20094416,13,0.07389342,-20.453983,0.05,0.05506814,1400.0,0.8383703,0.05,280.0
-21.333113,0.2009122,14,0.07374639,-21.044659,0.05,0.0547344,1500.0,0.838123,0.05,300.0
-21.440945,0.20105961,15,0.07371436,-23.66141,0.05,0.05522977,1600.0,0.8383146,0.06,320.0
-23.715097,0.20121479,16,0.07393027,-19.691177,0.1,0.055465423,1700.0,0.8386147,0.04,340.0
-22.139826,0.20122357,17,0.07381626,-24.213703,0.05,0.055391572,1800.0,0.83856416,0.11,360.0
-22.4621,0.20115921,18,0.07360316,-20.888695,0.15,0.056064893,1900.0,0.838273,0.1,380.0
-24.0081,0.20111321,19,0.07382193,-20.052328,0.2,0.055953756,2000.0,0.8381061,0.11,400.0
-27.188145,0.20118079,20,0.07420235,-26.313908,0.0,0.056343783,2100.0,0.8383178,0.02,420.0
-26.576815,0.2011364,21,0.07544973,-23.60206,0.15,0.0575204,2200.0,0.83825225,0.07,440.0
-26.62292,0.20106432,22,0.075305484,-24.568285,0.1,0.057587452,2300.0,0.8378523,0.05,460.0
