stats_g/mean,stats_o/std,stats_g/std,test/mean_Q,train/mean_Q,stats_o/mean,epoch,train/episode,train/success_rate,test/success_rate,test/episode
0.83801013,0.048055008,0.07476194,-2.3879771,-1.4074315,0.19991875,0,100.0,0.03,0.1,20.0
0.83785105,0.054998342,0.07282365,-4.570039,-3.080746,0.19984075,1,200.0,0.08,0.0,40.0
0.8369629,0.05482556,0.07169652,-5.524006,-5.0414863,0.19959308,2,300.0,0.05,0.1,60.0
0.8388656,0.053170327,0.07182779,-7.67106,-6.2469807,0.20045276,3,400.0,0.09,0.05,80.0
0.8403916,0.05417643,0.0719968,-9.78562,-8.228258,0.20129263,4,500.0,0.08,0.0,100.0
0.8400507,0.05594184,0.075981826,-10.871826,-10.377523,0.20143256,5,600.0,0.03,0.1,120.0
0.8396298,0.054967154,0.07541078,-9.717945,-11.240756,0.20145828,6,700.0,0.06,0.15,140.0
0.8391113,0.05848573,0.077555366,-12.787731,-11.880771,0.20150323,7,800.0,0.11,0.1,160.0
0.83857995,0.05931376,0.07890264,-14.849047,-14.195204,0.20161007,8,900.0,0.08,0.1,180.0
0.8379505,0.060079727,0.08024654,-15.700636,-14.875693,0.20128994,9,1000.0,0.09,0.1,200.0
0.83822495,0.06043928,0.07951847,-14.020912,-16.071972,0.20142975,10,1100.0,0.08,0.15,220.0
0.8376886,0.06068449,0.07960483,-18.782412,-17.383352,0.20132548,11,1200.0,0.08,0.0,240.0
0.8377436,0.06150073,0.07963308,-19.592402,-18.887447,0.20143373,12,1300.0,0.07,0.05,260.0
0.8374426,0.06293051,0.08031082,-20.138819,-20.35256,0.20124917,13,1400.0,0.06,0.05,280.0
0.8371573,0.064353675,0.08059474,-21.002415,-20.919582,0.2010583,14,1500.0,0.04,0.05,300.0
0.83721906,0.06616227,0.08265237,-21.629522,-20.869612,0.20121689,15,1600.0,0.07,0.1,320.0
0.8377149,0.0660903,0.08258444,-19.749575,-22.58394,0.2013194,16,1700.0,0.05,0.1,340.0
0.8377881,0.06608998,0.08244407,-23.13556,-21.48794,0.20135349,17,1800.0,0.13,0.1,360.0
0.8375527,0.06670597,0.08244618,-20.323822,-21.715246,0.20118071,18,1900.0,0.1,0.2,380.0
0.8373837,0.06693092,0.082109295,-19.869778,-23.180597,0.20118159,19,2000.0,0.09,0.15,400.0
0.8376572,0.06785073,0.082121864,-25.45248,-25.776316,0.20117873,20,2100.0,0.01,0.0,420.0
0.8375717,0.06777089,0.08189023,-22.511028,-25.225096,0.20114775,21,2200.0,0.05,0.1,440.0
0.8371666,0.068117574,0.08194717,-23.159557,-24.510464,0.20106567,22,2300.0,0.04,0.1,460.0
0.8366756,0.06860261,0.082397915,-22.412357,-23.674517,0.20090503,23,2400.0,0.11,0.15,480.0
0.83664864,0.06861612,0.08227858,-22.603735,-24.459248,0.20092587,24,2500.0,0.08,0.05,500.0
0.83673143,0.06881819,0.082191356,-20.599266,-24.893972,0.20099345,25,2600.0,0.07,0.15,520.0
0.8366851,0.069165416,0.08220186,-31.11742,-21.601896,0.20096378,26,2700.0,0.18,0.0,540.0
0.83643144,0.07029941,0.0825332,-20.646542,-22.889874,0.2009938,27,2800.0,0.08,0.0,560.0
0.83626103,0.07024104,0.08230777,-23.370872,-26.508657,0.20095974,28,2900.0,0.03,0.1,580.0
0.8363343,0.07019073,0.08206966,-25.367031,-24.978508,0.20101742,29,3000.0,0.1,0.05,600.0
0.83622307,0.07040835,0.082065724,-19.224506,-22.228472,0.20097671,30,3100.0,0.11,0.1,620.0
0.83629775,0.07090649,0.0822468,-23.318005,-22.487032,0.20099363,31,3200.0,0.11,0.1,640.0
0.83651465,0.071755454,0.08266904,-20.701395,-20.159548,0.20109129,32,3300.0,0.15,0.2,660.0
0.8368492,0.072321385,0.0825139,-18.313854,-20.715454,0.2012363,33,3400.0,0.15,0.15,680.0
0.83690166,0.07311967,0.08232808,-14.956632,-21.023186,0.20123352,34,3500.0,0.13,0.05,700.0
