train/episode,test/success_rate,stats_o/mean,test/mean_Q,test/episode,epoch,stats_g/mean,train/mean_Q,train/success_rate,stats_g/std,stats_o/std
100.0,0.1,0.20168854,-1.7045906,20.0,0,0.838353,-1.4193987,0.05,0.07218041,0.042071007
200.0,0.0,0.20082146,-3.8925877,40.0,1,0.8373279,-3.1310883,0.1,0.07154306,0.045355044
300.0,0.1,0.20106472,-4.8684745,60.0,2,0.8368208,-4.9758086,0.05,0.07140977,0.04919129
400.0,0.05,0.2018176,-6.922741,80.0,3,0.838564,-6.3679657,0.08,0.07533395,0.05237879
500.0,0.0,0.20220226,-9.343175,100.0,4,0.84008175,-8.357793,0.05,0.07464424,0.051672183
600.0,0.1,0.20206717,-10.171479,120.0,5,0.83990663,-10.469699,0.04,0.07432074,0.052067414
700.0,0.2,0.20176426,-9.81547,140.0,6,0.8391135,-11.45143,0.06,0.07390479,0.051917896
800.0,0.1,0.20164259,-12.231928,160.0,7,0.8383836,-12.149688,0.09,0.07803081,0.056259535
900.0,0.1,0.20149396,-13.91427,180.0,8,0.8380635,-14.284929,0.1,0.078414164,0.056945335
1000.0,0.05,0.20129919,-15.121559,200.0,9,0.8375043,-14.751617,0.09,0.07790203,0.05688345
1100.0,0.15,0.20136397,-13.135941,220.0,10,0.83783364,-15.932311,0.1,0.07748025,0.056450713
1200.0,0.0,0.20126577,-17.974222,240.0,11,0.83742315,-17.46873,0.06,0.078846514,0.05737642
1300.0,0.05,0.20122895,-18.25592,260.0,12,0.8375601,-18.194138,0.09,0.07862959,0.057722263
1400.0,0.05,0.20121165,-19.803434,280.0,13,0.8374338,-19.693394,0.06,0.079602174,0.05809476
1500.0,0.1,0.20107536,-20.605465,300.0,14,0.8371776,-20.067022,0.06,0.080808155,0.061070256
1600.0,0.05,0.20107758,-21.686186,320.0,15,0.83755463,-19.621511,0.11,0.08211267,0.062941335
1700.0,0.1,0.2011536,-17.873905,340.0,16,0.83809036,-21.251953,0.07,0.08313628,0.065184325
1800.0,0.15,0.20113944,-21.705597,360.0,17,0.83815384,-20.045874,0.13,0.083249554,0.06574234
1900.0,0.25,0.2009424,-18.363365,380.0,18,0.8378641,-20.614475,0.11,0.08329732,0.067052215
2000.0,0.15,0.20087813,-17.526722,400.0,19,0.83772945,-20.865932,0.15,0.08281941,0.06720424
2100.0,0.1,0.20098034,-20.04921,420.0,20,0.83796376,-21.680508,0.02,0.08388709,0.069198884
