test/episode,train/mean_Q,stats_o/mean,test/success_rate,stats_g/mean,epoch,train/episode,stats_o/std,stats_g/std,test/mean_Q,train/success_rate
20.0,-1.4605135,0.2011228,0.1,0.837352,0,100.0,0.03904639,0.072239175,-1.8194754,0.05
40.0,-3.2470467,0.2011444,0.0,0.8372796,1,200.0,0.041305855,0.07121815,-4.0402994,0.11
60.0,-5.050502,0.20083204,0.15,0.83703876,2,300.0,0.043748364,0.07097346,-4.981477,0.08
80.0,-6.581877,0.20135176,0.05,0.83891535,3,400.0,0.04754627,0.07148219,-7.304412,0.08
100.0,-8.658777,0.20221637,0.0,0.84049684,4,500.0,0.05186938,0.072313115,-9.576485,0.07
120.0,-10.519587,0.2021013,0.1,0.8405096,5,600.0,0.0526204,0.07279259,-9.767933,0.04
140.0,-11.553988,0.20173773,0.2,0.8395507,6,700.0,0.053892408,0.074364215,-9.691362,0.05
160.0,-11.89354,0.20132418,0.15,0.8390309,7,800.0,0.055288572,0.0742521,-11.824846,0.08
180.0,-14.325817,0.20121622,0.1,0.8383475,8,900.0,0.056388076,0.07696662,-13.358027,0.06
200.0,-14.518316,0.20099066,0.05,0.8377642,9,1000.0,0.05656762,0.07740355,-14.741526,0.09
220.0,-15.841837,0.20099925,0.2,0.83795065,10,1100.0,0.05917635,0.078768216,-12.702591,0.07
240.0,-17.167585,0.20099825,0.0,0.8375089,11,1200.0,0.059049655,0.078242995,-17.90528,0.05
260.0,-18.329374,0.20113906,0.05,0.83778185,12,1300.0,0.059249498,0.07842803,-18.332727,0.06
280.0,-19.910814,0.20111413,0.05,0.8373525,13,1400.0,0.06145555,0.08052106,-18.65632,0.07
300.0,-20.322905,0.20098011,0.05,0.83713365,14,1500.0,0.06357546,0.08198167,-18.748028,0.06
320.0,-20.41264,0.20098251,0.1,0.83747673,15,1600.0,0.06321202,0.081555136,-21.316465,0.05
340.0,-22.771536,0.2011252,0.1,0.8379645,16,1700.0,0.06350787,0.08167959,-18.343315,0.04
360.0,-20.468977,0.2011496,0.1,0.8380039,17,1800.0,0.06330592,0.08154878,-22.549942,0.12
380.0,-21.861578,0.20094971,0.15,0.8376508,18,1900.0,0.06357737,0.081207864,-20.07147,0.09
400.0,-22.799263,0.20101513,0.1,0.83756185,19,2000.0,0.063831955,0.08095732,-19.17206,0.11
420.0,-25.0448,0.20110941,0.05,0.8379047,20,2100.0,0.06408821,0.08102425,-24.686321,0.03
440.0,-24.008179,0.201174,0.2,0.83789843,21,2200.0,0.06405155,0.08095658,-20.910828,0.06
460.0,-22.780457,0.20105307,0.15,0.83747977,22,2300.0,0.06441133,0.0809618,-20.835289,0.09
480.0,-21.264002,0.20098807,0.15,0.83714277,23,2400.0,0.064179406,0.080810174,-22.216099,0.15
500.0,-22.709475,0.20094737,0.1,0.8370519,24,2500.0,0.0652861,0.08129655,-21.478392,0.13
520.0,-22.704971,0.20087902,0.2,0.8372624,25,2600.0,0.06518947,0.08110174,-19.62346,0.1
540.0,-19.947678,0.20084602,0.05,0.8371392,26,2700.0,0.065423556,0.08108041,-29.647045,0.23
560.0,-22.638515,0.20089708,0.1,0.83703995,27,2800.0,0.06571753,0.080869876,-21.772888,0.14
580.0,-24.050415,0.20086876,0.1,0.83681536,28,2900.0,0.0664821,0.081212714,-21.46272,0.07
600.0,-23.79752,0.20084749,0.05,0.83685523,29,3000.0,0.066789545,0.08091019,-25.84557,0.15
620.0,-19.408157,0.2008135,0.2,0.83678585,30,3100.0,0.066952765,0.08090248,-15.36717,0.13
640.0,-22.07066,0.20080727,0.15,0.8369546,31,3200.0,0.06805875,0.08156565,-23.607412,0.11
660.0,-18.059874,0.20089968,0.1,0.8372748,32,3300.0,0.06808291,0.081356324,-17.764507,0.15
680.0,-22.263515,0.2009658,0.15,0.83746046,33,3400.0,0.068937354,0.08185203,-18.954494,0.1
700.0,-19.732256,0.20103319,0.15,0.83750504,34,3500.0,0.069922104,0.08188913,-17.758848,0.14
720.0,-20.529228,0.20106909,0.25,0.8376395,35,3600.0,0.070578024,0.0820896,-16.266054,0.11
740.0,-19.811373,0.20105244,0.2,0.8377356,36,3700.0,0.07115232,0.08231975,-16.203312,0.17
760.0,-21.214157,0.2011471,0.2,0.8379545,37,3800.0,0.07148311,0.082313046,-15.266063,0.09
780.0,-19.397104,0.20117898,0.25,0.8381529,38,3900.0,0.071663015,0.082315914,-15.006363,0.12
800.0,-17.813248,0.20115425,0.2,0.83827525,39,4000.0,0.07281303,0.08239084,-14.615634,0.19
820.0,-18.007315,0.20113693,0.05,0.8383271,40,4100.0,0.07312791,0.08228988,-14.616728,0.14
840.0,-18.66222,0.2011847,0.15,0.83848405,41,4200.0,0.074345596,0.08246747,-20.805271,0.14
860.0,-18.111372,0.20120071,0.35,0.83869433,42,4300.0,0.074818775,0.082404114,-14.539645,0.14
880.0,-15.463085,0.201337,0.2,0.83890635,43,4400.0,0.075266026,0.08239872,-20.391464,0.26
900.0,-16.603197,0.20143062,0.2,0.83902955,44,4500.0,0.07607148,0.08237418,-11.926939,0.14
920.0,-16.537941,0.20137216,0.55,0.83920574,45,4600.0,0.07688322,0.08232007,-11.947602,0.23
940.0,-18.389305,0.20132378,0.35,0.8392275,46,4700.0,0.07768043,0.082584694,-13.229299,0.19
960.0,-15.386,0.20140316,0.5,0.8392594,47,4800.0,0.078632146,0.08255699,-11.491976,0.26
980.0,-10.9744835,0.20146944,0.45,0.8392828,48,4900.0,0.07937564,0.08248091,-8.867087,0.39
1000.0,-12.023054,0.20139232,0.55,0.8393546,49,5000.0,0.08017399,0.08226875,-9.413432,0.32
1020.0,-13.141829,0.20143238,0.3,0.83953613,50,5100.0,0.081166565,0.08250229,-12.168675,0.31
1040.0,-10.931633,0.20142083,0.45,0.8394339,51,5200.0,0.08231039,0.0828562,-10.734179,0.41
1060.0,-11.3325615,0.20138209,0.75,0.83932465,52,5300.0,0.083172426,0.08311958,-7.099509,0.45
1080.0,-10.409414,0.20134115,0.6,0.83945256,53,5400.0,0.084172636,0.0828831,-8.104917,0.43
1100.0,-8.643525,0.2013982,0.65,0.83936983,54,5500.0,0.08505225,0.082707144,-5.694631,0.56
1120.0,-7.996335,0.20139955,0.75,0.8393981,55,5600.0,0.086089246,0.08264622,-4.8175783,0.53
1140.0,-7.5713196,0.20131163,0.65,0.8393397,56,5700.0,0.087227084,0.08250165,-6.1782403,0.55
1160.0,-8.48522,0.20144528,0.65,0.8393657,57,5800.0,0.08851311,0.08265787,-5.404748,0.53
1180.0,-7.5047626,0.20134304,0.8,0.8392264,58,5900.0,0.089792244,0.082760684,-4.4096823,0.59
1200.0,-7.677741,0.20135745,0.8,0.83908874,59,6000.0,0.09091248,0.08275795,-3.4836533,0.54
1220.0,-6.6223536,0.20132928,0.75,0.83911794,60,6100.0,0.0918922,0.08292273,-5.272349,0.55
1240.0,-6.645268,0.20148326,0.75,0.83917624,61,6200.0,0.092811376,0.08301885,-5.0112343,0.6
1260.0,-6.6683006,0.20151839,0.75,0.8391476,62,6300.0,0.0936753,0.08296654,-3.2944977,0.58
1280.0,-5.176908,0.20152223,0.9,0.8390897,63,6400.0,0.09432721,0.08289819,-3.5371947,0.74
1300.0,-5.5147448,0.20143475,0.8,0.83904546,64,6500.0,0.09521243,0.08278618,-3.6629913,0.73
1320.0,-6.0979576,0.20158234,0.85,0.83902216,65,6600.0,0.096254915,0.0827609,-3.968309,0.68
1340.0,-5.5888405,0.20147446,0.95,0.83903366,66,6700.0,0.097034045,0.08257001,-2.9394126,0.6
