train/episode,stats_o/mean,train/success_rate,test/episode,train/mean_Q,epoch,stats_o/std,stats_g/std,stats_g/mean,test/mean_Q,test/success_rate
100.0,0.20195049,0.05,20.0,-1.3960193,0,0.056846924,0.07271319,0.83768564,-1.7134444,0.1
200.0,0.20158064,0.12,40.0,-3.1027386,1,0.052612327,0.0718872,0.83721536,-3.854651,0.0
300.0,0.20128016,0.05,60.0,-5.022723,2,0.049210314,0.07124891,0.836853,-4.982157,0.1
400.0,0.20186362,0.08,80.0,-6.4159966,3,0.052003287,0.073882975,0.83877134,-7.061953,0.05
500.0,0.20245838,0.09,100.0,-8.282953,4,0.05263454,0.07369564,0.84048986,-9.28766,0.0
600.0,0.20216882,0.04,120.0,-10.600256,5,0.053503193,0.075362064,0.839971,-9.986073,0.1
700.0,0.20202021,0.05,140.0,-11.353794,6,0.053623904,0.0754556,0.8393437,-9.532918,0.2
800.0,0.20196266,0.09,160.0,-11.889514,7,0.054214098,0.076439545,0.8390389,-11.513599,0.15
900.0,0.20161791,0.09,180.0,-14.186965,8,0.0559514,0.07729963,0.83841276,-14.353819,0.1
1000.0,0.20143582,0.11,200.0,-14.715859,9,0.05660966,0.07716006,0.8378506,-15.088165,0.05
1100.0,0.20150061,0.08,220.0,-15.567247,10,0.056947384,0.07691042,0.8381901,-12.810246,0.15
1200.0,0.2013442,0.11,240.0,-16.863722,11,0.0572125,0.07637153,0.8378361,-17.9917,0.0
1300.0,0.20137922,0.06,260.0,-18.550554,12,0.057550155,0.07587833,0.83809406,-17.908398,0.05
1400.0,0.20130041,0.08,280.0,-19.569862,13,0.057144772,0.075548165,0.8378894,-18.831202,0.1
1500.0,0.20125158,0.07,300.0,-20.411346,14,0.05725333,0.07563093,0.8377404,-18.61118,0.05
1600.0,0.201337,0.06,320.0,-20.692898,15,0.058232855,0.076372094,0.83799386,-21.970728,0.05
1700.0,0.2014291,0.06,340.0,-21.96751,16,0.058922272,0.076209046,0.83841354,-17.617811,0.15
