train/episode,test/mean_Q,stats_o/std,train/success_rate,test/episode,stats_o/mean,test/success_rate,stats_g/mean,stats_g/std,train/mean_Q,epoch
100.0,-1.7214721,0.041072577,0.04,20.0,0.20138565,0.1,0.83819073,0.07160589,-1.4773184,0
200.0,-3.9606857,0.040001824,0.11,40.0,0.20118123,0.0,0.837753,0.07105765,-3.1583025,1
300.0,-4.999589,0.048848577,0.05,60.0,0.20088993,0.1,0.836862,0.07106846,-5.2457237,2
400.0,-7.268762,0.04861811,0.11,80.0,0.20137875,0.05,0.8388482,0.07138177,-6.418097,3
500.0,-9.496137,0.050673615,0.08,100.0,0.20168243,0.0,0.8402211,0.071749344,-8.365512,4
600.0,-9.784534,0.05042798,0.02,120.0,0.20156509,0.05,0.83991355,0.071998335,-10.574248,5
700.0,-9.74993,0.052689496,0.05,140.0,0.20138058,0.2,0.8391724,0.07166247,-11.319867,6
800.0,-11.369061,0.053805504,0.12,160.0,0.20139626,0.15,0.8389263,0.071852036,-12.003287,7
900.0,-14.396762,0.05381669,0.09,180.0,0.20131202,0.1,0.8384535,0.0719508,-14.358019,8
1000.0,-15.1687975,0.05435275,0.09,200.0,0.20114808,0.05,0.83775324,0.07222803,-14.936937,9
1100.0,-13.37746,0.05455842,0.08,220.0,0.20114383,0.15,0.8380385,0.072160676,-16.235834,10
1200.0,-18.67846,0.05575035,0.07,240.0,0.20118283,0.0,0.83757514,0.072195224,-17.695799,11
1300.0,-18.966076,0.05755023,0.06,260.0,0.20121773,0.05,0.8377943,0.073397376,-19.03013,12
1400.0,-20.23576,0.0581583,0.05,280.0,0.20124495,0.05,0.83765143,0.073181875,-20.622942,13
1500.0,-20.40572,0.05840026,0.05,300.0,0.20124382,0.05,0.8375068,0.073483475,-21.19404,14
1600.0,-22.435938,0.058439158,0.06,320.0,0.20136079,0.05,0.83767134,0.07359653,-21.270725,15
1700.0,-20.011013,0.05837357,0.03,340.0,0.20146716,0.1,0.838072,0.07382836,-23.441818,16
1800.0,-23.67135,0.058846444,0.11,360.0,0.20150793,0.1,0.8381314,0.07370975,-22.367449,17
1900.0,-21.10562,0.05863951,0.11,380.0,0.20142153,0.15,0.8378883,0.07345378,-22.564783,18
2000.0,-20.513962,0.058672417,0.11,400.0,0.20134372,0.1,0.8377071,0.07397073,-23.787989,19
2100.0,-25.778427,0.058795985,0.04,420.0,0.20144373,0.0,0.838064,0.074072964,-27.211313,20
2200.0,-23.858791,0.05915463,0.05,440.0,0.20146242,0.15,0.838012,0.07472651,-27.22003,21
2300.0,-26.2338,0.059796996,0.05,460.0,0.20133682,0.1,0.83750623,0.07560573,-27.877989,22
2400.0,-25.998037,0.060866967,0.12,480.0,0.20124032,0.15,0.8371442,0.07682871,-26.426847,23
2500.0,-27.329914,0.060606126,0.07,500.0,0.20121703,0.05,0.83714694,0.076745115,-26.936213,24
2600.0,-25.936558,0.060542088,0.05,520.0,0.20120265,0.05,0.83732724,0.07660136,-28.922476,25
2700.0,-34.879234,0.06158269,0.15,540.0,0.20124519,0.0,0.8373199,0.076807626,-25.507732,26
2800.0,-26.214045,0.06170417,0.05,560.0,0.20122276,0.0,0.8372147,0.07661333,-27.357126,27
2900.0,-28.344687,0.061714202,0.05,580.0,0.20116219,0.1,0.8370624,0.07648997,-29.931507,28
3000.0,-32.24894,0.06195462,0.07,600.0,0.2011693,0.0,0.83708507,0.076770894,-29.908415,29
3100.0,-22.929958,0.06227025,0.12,620.0,0.20115739,0.1,0.8369215,0.07662624,-27.274683,30
3200.0,-30.436335,0.06278456,0.06,640.0,0.20113888,0.1,0.83706063,0.076524965,-28.286749,31
3300.0,-27.648243,0.06274254,0.1,660.0,0.201187,0.05,0.83729887,0.0763894,-24.786842,32
3400.0,-26.914816,0.063121535,0.07,680.0,0.20130394,0.1,0.83751506,0.076521225,-28.109385,33
3500.0,-23.973946,0.06307654,0.09,700.0,0.20123838,0.1,0.8374942,0.07646874,-28.056082,34
3600.0,-24.561909,0.06387437,0.12,720.0,0.2012223,0.2,0.83761,0.07678247,-27.40576,35
3700.0,-27.766193,0.06418066,0.13,740.0,0.20125633,0.1,0.83762497,0.07705311,-27.065845,36
3800.0,-22.453003,0.064927466,0.05,760.0,0.20124955,0.25,0.83766526,0.077253446,-29.742443,37
3900.0,-22.064493,0.06553675,0.09,780.0,0.20123555,0.2,0.83774954,0.07748581,-26.967724,38
4000.0,-24.4882,0.06597862,0.07,800.0,0.20118998,0.1,0.8375647,0.077877514,-27.028322,39
4100.0,-23.049047,0.06684889,0.17,820.0,0.20107454,0.1,0.8373526,0.07806306,-24.21737,40
4200.0,-24.180418,0.06755664,0.08,840.0,0.2010032,0.15,0.8373235,0.07793659,-23.541922,41
4300.0,-21.87006,0.06847132,0.08,860.0,0.20097561,0.2,0.8373546,0.07830365,-20.679853,42
4400.0,-22.11582,0.069924824,0.14,880.0,0.20097043,0.1,0.83723325,0.07873822,-20.967617,43
4500.0,-18.229893,0.07079883,0.12,900.0,0.20092972,0.1,0.8370972,0.07871159,-20.54594,44
4600.0,-19.525917,0.071409166,0.16,920.0,0.20102282,0.15,0.8371925,0.078799315,-18.894264,45
4700.0,-20.526585,0.072009824,0.13,940.0,0.20102207,0.15,0.8370784,0.07896859,-20.60761,46
4800.0,-15.728681,0.07256686,0.12,960.0,0.20096317,0.25,0.8369641,0.07913469,-19.673666,47
4900.0,-15.606143,0.07325897,0.22,980.0,0.2009251,0.25,0.83679986,0.07929722,-17.754326,48
5000.0,-15.45753,0.07426786,0.24,1000.0,0.2008522,0.35,0.8367796,0.07942528,-16.933155,49
5100.0,-11.307248,0.07576385,0.19,1020.0,0.2010095,0.4,0.8368397,0.079351224,-17.004131,50
5200.0,-12.675138,0.07697502,0.25,1040.0,0.20096304,0.45,0.8367529,0.0794696,-16.132753,51
5300.0,-12.801717,0.077969484,0.23,1060.0,0.20088722,0.4,0.83666015,0.07965106,-16.478031,52
5400.0,-13.187442,0.07938847,0.18,1080.0,0.20086926,0.25,0.83662945,0.07998195,-15.266311,53
5500.0,-8.058415,0.0801283,0.34,1100.0,0.20084897,0.4,0.8365367,0.07985472,-12.678924,54
5600.0,-10.985506,0.081148446,0.33,1120.0,0.20090848,0.4,0.8366852,0.07976354,-12.452095,55
5700.0,-10.05459,0.08235026,0.34,1140.0,0.20090532,0.4,0.8366888,0.0796101,-11.406293,56
5800.0,-9.820657,0.08324365,0.28,1160.0,0.20098898,0.4,0.83681196,0.07946295,-11.132382,57
5900.0,-9.667468,0.083997145,0.4,1180.0,0.20090309,0.4,0.8367014,0.079319514,-9.958928,58
6000.0,-6.70387,0.08471774,0.29,1200.0,0.2008774,0.5,0.8366707,0.079329096,-11.500898,59
6100.0,-7.687892,0.08539771,0.42,1220.0,0.20100614,0.55,0.8367362,0.079378344,-9.728623,60
6200.0,-5.3009233,0.08654669,0.38,1240.0,0.20110096,0.65,0.83680564,0.07922206,-9.595433,61
6300.0,-5.4847474,0.087515585,0.41,1260.0,0.20111077,0.7,0.83672523,0.07928748,-9.234577,62
