test/success_rate,stats_g/mean,test/mean_Q,train/success_rate,train/episode,train/mean_Q,test/episode,epoch,stats_g/std,stats_o/mean,stats_o/std
0.0,0.74363667,-3.0356302,0.01,100.0,-1.9718622,20.0,0,0.1228307,0.17844187,0.061150417
0.0,0.7449331,-4.9263086,0.0,200.0,-4.0145245,40.0,1,0.11729771,0.1773898,0.058938917
0.0,0.74769855,-6.937214,0.01,300.0,-5.983909,60.0,2,0.11370177,0.1788356,0.059418965
0.0,0.74697,-9.120456,0.01,400.0,-8.037402,80.0,3,0.112378396,0.17857951,0.059040993
0.05,0.74847895,-10.662532,0.02,500.0,-9.543202,100.0,4,0.1116441,0.17955638,0.05814024
0.0,0.74739295,-12.347524,0.0,600.0,-11.771406,120.0,5,0.114040844,0.1788457,0.060112394
0.0,0.7481099,-14.324774,0.01,700.0,-13.156397,140.0,6,0.11455735,0.17922144,0.060266882
0.0,0.7488515,-14.952723,0.0,800.0,-14.785706,160.0,7,0.11764315,0.17919049,0.060700048
0.0,0.74769694,-16.597359,0.01,900.0,-16.467163,180.0,8,0.12187591,0.17918272,0.061911553
0.0,0.7480755,-19.224392,0.01,1000.0,-17.86348,200.0,9,0.12526774,0.1794743,0.06439714
0.0,0.7485807,-19.084427,0.0,1100.0,-18.727018,220.0,10,0.12911142,0.17944227,0.06631379
0.05,0.7492857,-18.195812,0.0,1200.0,-20.17886,240.0,11,0.13327026,0.1794724,0.06857248
0.0,0.7509435,-20.730127,0.02,1300.0,-19.546486,260.0,12,0.13714994,0.17945564,0.070357405
0.0,0.7517751,-19.548733,0.02,1400.0,-20.477043,280.0,13,0.1404062,0.1797196,0.07186858
0.0,0.75182015,-19.550234,0.03,1500.0,-21.822638,300.0,14,0.14104883,0.1795541,0.07214871
0.0,0.75275016,-21.32496,0.01,1600.0,-21.432634,320.0,15,0.14178112,0.17966396,0.07300946
0.1,0.7535344,-18.799587,0.02,1700.0,-21.823135,340.0,16,0.14298299,0.17985079,0.07381627
0.05,0.7543817,-24.550116,0.0,1800.0,-23.12772,360.0,17,0.14510353,0.17985587,0.075169906
0.0,0.75445414,-22.34656,0.02,1900.0,-24.181248,380.0,18,0.14770025,0.17985438,0.07670162
0.0,0.75424606,-23.172552,0.02,2000.0,-24.475964,400.0,19,0.14973173,0.17978626,0.07751791
0.05,0.75488883,-20.744665,0.05,2100.0,-25.261742,420.0,20,0.15148747,0.17992742,0.0793874
0.0,0.755076,-23.521439,0.02,2200.0,-25.15548,440.0,21,0.1539801,0.17997187,0.081379354
0.15,0.75629693,-19.988178,0.05,2300.0,-23.5928,460.0,22,0.15488975,0.18026143,0.08201415
0.05,0.75682735,-21.74091,0.05,2400.0,-24.235342,480.0,23,0.15647347,0.18047673,0.08400323
0.05,0.757864,-19.338617,0.06,2500.0,-21.692287,500.0,24,0.15688059,0.18062542,0.0852653
0.05,0.75851065,-21.068348,0.03,2600.0,-22.740023,520.0,25,0.15735544,0.1806275,0.08632507
0.05,0.76005214,-20.759914,0.03,2700.0,-21.813854,540.0,26,0.15800987,0.18091033,0.08709808
0.05,0.7611957,-16.766346,0.04,2800.0,-20.241693,560.0,27,0.15775439,0.18114172,0.08742856
0.0,0.7625125,-20.587904,0.04,2900.0,-20.170332,580.0,28,0.15740131,0.1813328,0.08768181
0.0,0.76338935,-19.911184,0.07,3000.0,-20.421259,600.0,29,0.15695085,0.18149853,0.08754511
0.15,0.76418036,-18.267673,0.1,3100.0,-22.005505,620.0,30,0.15737481,0.18155111,0.08845982
0.2,0.76529473,-16.552998,0.09,3200.0,-21.292883,640.0,31,0.15749027,0.18180352,0.088852145
0.2,0.7663698,-14.633143,0.1,3300.0,-21.844658,660.0,32,0.15734865,0.18218704,0.08941324
0.05,0.767467,-17.52984,0.05,3400.0,-22.039541,680.0,33,0.15695642,0.18248893,0.089371145
0.15,0.76843166,-18.104422,0.12,3500.0,-21.122082,700.0,34,0.15728249,0.18268158,0.08968434
0.0,0.76962256,-20.595318,0.1,3600.0,-20.784039,720.0,35,0.15739018,0.1829562,0.090085335
