test/mean_Q,stats_o/mean,stats_g/mean,train/success_rate,test/episode,train/mean_Q,stats_o/std,train/episode,epoch,test/success_rate,stats_g/std
-3.1234553,0.17833401,0.743423,0.0,20.0,-2.0501487,0.05183492,100.0,0,0.0,0.10743845
-4.761513,0.1773454,0.7427187,0.0,40.0,-4.0120234,0.05059476,200.0,1,0.05,0.112287275
-6.701785,0.17880142,0.7449143,0.01,60.0,-5.907576,0.051662322,300.0,2,0.0,0.11084051
-9.023274,0.17831126,0.7449734,0.0,80.0,-7.968159,0.050399285,400.0,3,0.0,0.10890264
-10.773056,0.17855915,0.7464109,0.02,100.0,-9.636055,0.05160258,500.0,4,0.0,0.10824237
-12.467594,0.17822188,0.7457842,0.0,120.0,-11.7339525,0.053669434,600.0,5,0.0,0.11072672
-13.281529,0.17820562,0.746191,0.0,140.0,-13.03192,0.05374099,700.0,6,0.05,0.11002491
-14.398392,0.17852354,0.74712753,0.0,160.0,-14.850149,0.056932624,800.0,7,0.05,0.11216819
-16.401663,0.17849627,0.7468117,0.0,180.0,-16.437878,0.058208995,900.0,8,0.0,0.11348968
-19.157625,0.17876299,0.7471219,0.0,200.0,-17.599028,0.058416262,1000.0,9,0.0,0.11367526
-19.050274,0.17856066,0.7465899,0.03,220.0,-18.78492,0.059482,1100.0,10,0.0,0.11637074
-18.737,0.17865407,0.746788,0.02,240.0,-20.29338,0.060656775,1200.0,11,0.05,0.11778887
-21.405828,0.17868254,0.74677205,0.0,260.0,-20.771887,0.06177783,1300.0,12,0.0,0.119711995
-21.102142,0.17912407,0.74740505,0.02,280.0,-20.862103,0.06306007,1400.0,13,0.0,0.12121763
-20.936514,0.17902054,0.74760956,0.02,300.0,-22.74085,0.06403213,1500.0,14,0.0,0.12223754
-22.322891,0.17940119,0.7489774,0.01,320.0,-22.284052,0.06539337,1600.0,15,0.0,0.12420691
-21.137135,0.17955807,0.7495834,0.04,340.0,-23.034492,0.06571858,1700.0,16,0.0,0.124914706
-24.228586,0.17950581,0.75014025,0.03,360.0,-22.747683,0.066639654,1800.0,17,0.0,0.12664352
-23.244661,0.17943646,0.75010186,0.0,380.0,-23.508326,0.06789894,1900.0,18,0.0,0.1282264
-22.614918,0.17930733,0.74991703,0.03,400.0,-23.56626,0.06904015,2000.0,19,0.05,0.12991478
-19.119858,0.17931937,0.74984676,0.02,420.0,-25.763123,0.07005011,2100.0,20,0.05,0.13103832
-24.491175,0.179396,0.75006217,0.05,440.0,-24.380875,0.0719421,2200.0,21,0.05,0.1320631
-21.458736,0.17949188,0.75043416,0.01,460.0,-24.35993,0.07224689,2300.0,22,0.1,0.13207807
-21.67441,0.17954761,0.7504465,0.06,480.0,-23.657883,0.073265426,2400.0,23,0.15,0.1321864
-19.48614,0.17963886,0.75084347,0.04,500.0,-23.509272,0.07472067,2500.0,24,0.15,0.13254757
-21.94564,0.17965785,0.75109583,0.03,520.0,-25.170753,0.075342946,2600.0,25,0.0,0.13246109
-23.708548,0.17981277,0.7519924,0.04,540.0,-24.457405,0.076172456,2700.0,26,0.05,0.13344975
-20.14582,0.18005247,0.7529548,0.03,560.0,-23.444084,0.0780035,2800.0,27,0.15,0.13446952
-19.29815,0.180206,0.7536349,0.04,580.0,-24.154451,0.08021873,2900.0,28,0.15,0.1356966
-20.340454,0.18048924,0.7544873,0.06,600.0,-23.723797,0.08078721,3000.0,29,0.1,0.13640113
-22.33736,0.18068866,0.7551379,0.07,620.0,-22.60592,0.08139167,3100.0,30,0.0,0.13640067
-17.506405,0.1807678,0.75557137,0.02,640.0,-24.01861,0.082187764,3200.0,31,0.2,0.137415
-19.703312,0.18095222,0.7562298,0.04,660.0,-23.554224,0.083098516,3300.0,32,0.15,0.13834888
-15.309259,0.18129328,0.7573273,0.04,680.0,-22.690725,0.08327649,3400.0,33,0.15,0.13872059
-18.210361,0.18147857,0.7574881,0.08,700.0,-22.715147,0.08418532,3500.0,34,0.15,0.13964194
-20.220753,0.18187457,0.75863814,0.07,720.0,-24.610832,0.08479249,3600.0,35,0.15,0.14117767
-21.168072,0.18210077,0.7594388,0.04,740.0,-24.477818,0.085559435,3700.0,36,0.05,0.14180927
-20.641306,0.18235648,0.76036733,0.08,760.0,-22.978888,0.08626744,3800.0,37,0.05,0.1426802
-17.149408,0.1824838,0.7612061,0.06,780.0,-23.434423,0.08634976,3900.0,38,0.2,0.14281546
-20.174856,0.18271372,0.7618223,0.09,800.0,-22.66591,0.086427495,4000.0,39,0.15,0.14313114
