test/success_rate,epoch,stats_g/std,stats_o/mean,stats_o/std,train/episode,test/episode,test/mean_Q,train/success_rate,train/mean_Q,stats_g/mean
0.0,0,0.11116594,0.17834078,0.052107316,100.0,20.0,-3.1213012,0.0,-1.9532934,0.74763805
0.0,1,0.1123558,0.17716049,0.0502631,200.0,40.0,-5.1116576,0.0,-4.0095,0.74608326
0.05,2,0.10970095,0.17888333,0.04933441,300.0,60.0,-6.8043265,0.01,-5.975264,0.7485482
0.0,3,0.11282953,0.1782741,0.04918377,400.0,80.0,-9.100415,0.0,-8.064176,0.7471152
0.0,4,0.11316809,0.17887639,0.04895689,500.0,100.0,-10.545791,0.0,-9.709502,0.74765855
0.0,5,0.114260286,0.17868178,0.050649833,600.0,120.0,-12.268751,0.0,-11.608816,0.74729633
0.05,6,0.12183872,0.17866483,0.05563986,700.0,140.0,-13.702336,0.0,-13.257959,0.7471705
0.0,7,0.12598221,0.17916411,0.05763419,800.0,160.0,-14.794644,0.0,-14.507818,0.74855304
0.05,8,0.13028757,0.17897122,0.060383026,900.0,180.0,-16.340704,0.0,-16.403776,0.74878407
0.0,9,0.13194601,0.1790328,0.061328575,1000.0,200.0,-18.418596,0.01,-17.038843,0.7489154
0.05,10,0.13300838,0.17885529,0.061540708,1100.0,220.0,-18.247711,0.02,-18.427357,0.74904186
0.1,11,0.1342586,0.17892252,0.062858276,1200.0,240.0,-17.891203,0.02,-19.988045,0.7493294
0.05,12,0.14006816,0.1788682,0.06662678,1300.0,260.0,-20.533684,0.01,-19.619291,0.7500157
0.05,13,0.14235075,0.17894533,0.06804378,1400.0,280.0,-19.264439,0.01,-20.503147,0.7501731
0.0,14,0.1447916,0.17872341,0.06885507,1500.0,300.0,-19.016607,0.01,-21.855415,0.7491765
0.05,15,0.14595829,0.1789472,0.06975918,1600.0,320.0,-20.482233,0.04,-20.77449,0.75014853
0.0,16,0.14876728,0.17913784,0.07240707,1700.0,340.0,-19.22983,0.03,-21.47923,0.7516479
0.05,17,0.15188853,0.1794168,0.074231416,1800.0,360.0,-22.854313,0.02,-21.944237,0.75325966
0.05,18,0.15578558,0.17923698,0.07621268,1900.0,380.0,-20.200016,0.01,-22.837202,0.7543066
0.05,19,0.15876941,0.17901558,0.077470854,2000.0,400.0,-22.660267,0.07,-22.078176,0.7542746
0.05,20,0.16129662,0.17903799,0.07933173,2100.0,420.0,-20.336847,0.07,-22.889856,0.7555087
0.05,21,0.16381496,0.17917815,0.08088823,2200.0,440.0,-21.164465,0.01,-22.725801,0.7569254
0.15,22,0.16459028,0.17926702,0.08166441,2300.0,460.0,-15.911138,0.07,-20.297016,0.7579946
0.15,23,0.16448393,0.17944321,0.08176122,2400.0,480.0,-14.795705,0.08,-20.0219,0.75908643
0.0,24,0.1641409,0.17970714,0.08176864,2500.0,500.0,-18.856272,0.07,-19.776804,0.7609179
0.05,25,0.16434234,0.18017542,0.08223112,2600.0,520.0,-18.002155,0.03,-21.29963,0.7627091
0.1,26,0.16448748,0.18050453,0.082449496,2700.0,540.0,-15.865642,0.09,-20.442545,0.7646141
0.15,27,0.1643583,0.18082994,0.08314204,2800.0,560.0,-16.424463,0.08,-19.237158,0.7660901
0.1,28,0.16476901,0.18110341,0.083409265,2900.0,580.0,-18.442158,0.02,-20.879332,0.7674043
0.05,29,0.16541232,0.18146262,0.08386621,3000.0,600.0,-16.876675,0.08,-21.001926,0.7687962
0.5,30,0.16472125,0.18169908,0.08360087,3100.0,620.0,-14.199579,0.09,-20.127926,0.7703847
0.25,31,0.16425304,0.1820231,0.08360352,3200.0,640.0,-14.939657,0.05,-20.526,0.77161855
0.25,32,0.16438594,0.18234302,0.08383685,3300.0,660.0,-15.247127,0.08,-20.712666,0.773132
0.1,33,0.16425818,0.18259029,0.0840187,3400.0,680.0,-16.279669,0.1,-20.797369,0.7741539
0.25,34,0.16410965,0.18272147,0.08391142,3500.0,700.0,-13.410772,0.12,-21.03079,0.77476287
0.25,35,0.16461636,0.18300357,0.08420572,3600.0,720.0,-16.341095,0.09,-21.381166,0.77596384
0.15,36,0.16460496,0.18319227,0.085027754,3700.0,740.0,-14.736041,0.08,-21.675024,0.7770274
0.2,37,0.16419174,0.18336573,0.08518796,3800.0,760.0,-16.193676,0.12,-20.225222,0.7779054
0.3,38,0.164038,0.18338306,0.085655645,3900.0,780.0,-14.598137,0.1,-20.219929,0.7785894
0.1,39,0.16350435,0.18336366,0.08554596,4000.0,800.0,-18.781412,0.12,-20.38563,0.7790491
0.2,40,0.16312844,0.18345098,0.085393675,4100.0,820.0,-16.953426,0.12,-21.149439,0.77970976
0.05,41,0.16283043,0.18356675,0.085479215,4200.0,840.0,-17.733576,0.11,-22.539839,0.7803255
0.25,42,0.1627248,0.18369074,0.085560806,4300.0,860.0,-16.435127,0.18,-21.59375,0.78110415
0.2,43,0.16246949,0.18385154,0.08566115,4400.0,880.0,-15.910658,0.13,-22.818596,0.7817438
0.15,44,0.16227436,0.18404245,0.0855968,4500.0,900.0,-17.131805,0.09,-23.403156,0.78231925
0.4,45,0.16239133,0.18416376,0.08603746,4600.0,920.0,-17.289536,0.14,-23.317581,0.7827492
0.05,46,0.16224149,0.18433484,0.08630445,4700.0,940.0,-20.099493,0.16,-21.890486,0.7833926
0.15,47,0.16196536,0.18451561,0.08634593,4800.0,960.0,-16.608553,0.15,-22.889511,0.7841985
0.3,48,0.16175203,0.1846962,0.086877234,4900.0,980.0,-14.611545,0.12,-22.72689,0.78490597
0.15,49,0.16168503,0.18478769,0.086908296,5000.0,1000.0,-21.932053,0.09,-23.973356,0.78557587
0.35,50,0.16180848,0.1849456,0.08704332,5100.0,1020.0,-15.052785,0.12,-23.6478,0.78618747
0.3,51,0.16183849,0.18500857,0.087193936,5200.0,1040.0,-15.813028,0.11,-23.684551,0.7868294
0.2,52,0.1620497,0.18505538,0.087387286,5300.0,1060.0,-17.139614,0.15,-24.088335,0.78720903
0.25,53,0.16213906,0.18507095,0.08766148,5400.0,1080.0,-17.622814,0.09,-24.539778,0.78779596
0.45,54,0.16183287,0.18519135,0.087837555,5500.0,1100.0,-15.203107,0.14,-23.802654,0.7883305
0.3,55,0.16173296,0.18526621,0.08800572,5600.0,1120.0,-17.136818,0.15,-24.55799,0.7886388
0.25,56,0.16177568,0.1853624,0.08808374,5700.0,1140.0,-19.32545,0.13,-24.321331,0.7891209
0.25,57,0.16199492,0.18541032,0.08828475,5800.0,1160.0,-19.306795,0.14,-24.25335,0.78962237
0.4,58,0.16177614,0.18547834,0.08837846,5900.0,1180.0,-14.140925,0.2,-22.732895,0.78999776
0.4,59,0.16148573,0.18559267,0.08848717,6000.0,1200.0,-16.819302,0.11,-24.189669,0.7904947
0.4,60,0.16149934,0.18564123,0.088469416,6100.0,1220.0,-15.743103,0.16,-24.73319,0.7909858
0.3,61,0.16144802,0.18567936,0.088678114,6200.0,1240.0,-18.664047,0.13,-24.8059,0.7912154
0.45,62,0.16136967,0.18579394,0.08898327,6300.0,1260.0,-16.222937,0.14,-23.987495,0.79183966
0.5,63,0.16099513,0.18587084,0.08911098,6400.0,1280.0,-13.537794,0.19,-22.492786,0.79233533
0.35,64,0.16120991,0.18593593,0.089394525,6500.0,1300.0,-13.36597,0.09,-27.18836,0.7927999
0.3,65,0.16110054,0.18603319,0.0894053,6600.0,1320.0,-16.975748,0.19,-24.583641,0.7932792
0.35,66,0.16114272,0.18616302,0.08959603,6700.0,1340.0,-15.5780945,0.16,-24.816153,0.79374737
0.25,67,0.16098773,0.18631044,0.08961183,6800.0,1360.0,-18.601625,0.15,-25.218634,0.7941155
0.3,68,0.16087653,0.18642443,0.089512385,6900.0,1380.0,-14.525078,0.18,-25.60432,0.7946431
0.35,69,0.16072051,0.186566,0.08967766,7000.0,1400.0,-15.694572,0.2,-24.494936,0.79511017
0.2,70,0.16056742,0.18660912,0.08961108,7100.0,1420.0,-20.31354,0.12,-24.535044,0.7950724
0.2,71,0.16066144,0.18672232,0.08978099,7200.0,1440.0,-20.07606,0.16,-25.229748,0.7954023
0.25,72,0.16074856,0.18681549,0.08986927,7300.0,1460.0,-18.73518,0.1,-27.253742,0.795795
0.2,73,0.16066201,0.18688792,0.08988793,7400.0,1480.0,-17.064404,0.16,-25.049936,0.7959884
0.4,74,0.16050653,0.18696682,0.08989301,7500.0,1500.0,-15.3754635,0.13,-25.011375,0.7962034
0.3,75,0.1604137,0.18702185,0.08988772,7600.0,1520.0,-20.23341,0.1,-26.119793,0.79641336
0.25,76,0.16030008,0.18708032,0.089761995,7700.0,1540.0,-19.070179,0.15,-25.05134,0.7967897
0.5,77,0.16023915,0.18711251,0.089719646,7800.0,1560.0,-15.266756,0.17,-25.37854,0.7969826
0.35,78,0.16011326,0.18719436,0.08958879,7900.0,1580.0,-18.125154,0.1,-27.544378,0.79727864
0.4,79,0.1601051,0.18729992,0.0897774,8000.0,1600.0,-14.482855,0.16,-26.065716,0.7975339
0.35,80,0.15993358,0.18737221,0.08969149,8100.0,1620.0,-19.891514,0.12,-25.73333,0.7977727
0.4,81,0.1598996,0.18750052,0.0896619,8200.0,1640.0,-15.90798,0.2,-25.147388,0.7980654
0.4,82,0.15990284,0.18757527,0.08957656,8300.0,1660.0,-19.028454,0.15,-26.551619,0.7982726
0.15,83,0.15977554,0.1876346,0.08945533,8400.0,1680.0,-20.34183,0.13,-27.376074,0.7984167
0.25,84,0.15980218,0.18772057,0.08959367,8500.0,1700.0,-18.764652,0.14,-28.367775,0.79865724
0.25,85,0.15961894,0.1877797,0.08964264,8600.0,1720.0,-18.776146,0.14,-25.763159,0.79882306
0.25,86,0.1594593,0.1878684,0.08971456,8700.0,1740.0,-21.450926,0.07,-26.59325,0.7991597
0.35,87,0.15940246,0.18793432,0.089648984,8800.0,1760.0,-13.89057,0.1,-26.374313,0.79931813
0.25,88,0.15921529,0.1879693,0.08954977,8900.0,1780.0,-16.172815,0.19,-26.760733,0.79952717
0.4,89,0.15928829,0.18808264,0.08971037,9000.0,1800.0,-15.643766,0.2,-27.87307,0.79979056
0.35,90,0.15924822,0.18811668,0.08970147,9100.0,1820.0,-15.018183,0.12,-28.56699,0.8000896
0.05,91,0.15908818,0.18814789,0.089642465,9200.0,1840.0,-20.729023,0.2,-25.851797,0.8001673
0.3,92,0.15895312,0.18821841,0.08958552,9300.0,1860.0,-18.999844,0.13,-27.737673,0.80046153
0.5,93,0.15894318,0.1882393,0.089542285,9400.0,1880.0,-19.56542,0.16,-28.660517,0.80062395
0.4,94,0.15888052,0.18825571,0.08942981,9500.0,1900.0,-18.669666,0.17,-27.274565,0.8006916
0.4,95,0.15879816,0.18823263,0.08934354,9600.0,1920.0,-20.31637,0.21,-26.547728,0.80067086
0.45,96,0.15872078,0.18823506,0.08936075,9700.0,1940.0,-17.15027,0.12,-28.204031,0.8006878
0.7,97,0.15857615,0.18820658,0.08933606,9800.0,1960.0,-12.878473,0.16,-26.53691,0.80059844
0.55,98,0.15839554,0.18820783,0.08922469,9900.0,1980.0,-17.52367,0.16,-26.049246,0.8006397
0.35,99,0.15836622,0.18825768,0.08923179,10000.0,2000.0,-18.71117,0.16,-27.75481,0.80079126
0.2,100,0.15838338,0.18829225,0.0894666,10100.0,2020.0,-19.304619,0.13,-29.949146,0.8008637
0.35,101,0.1583589,0.18827465,0.08956302,10200.0,2040.0,-15.240904,0.16,-26.867495,0.8008309
