test/episode,train/mean_Q,epoch,stats_g/std,test/success_rate,test/mean_Q,stats_g/mean,train/episode,stats_o/mean,train/success_rate,stats_o/std
20.0,-1.983223,0,0.11448717,0.0,-3.143803,0.7452745,100.0,0.17934,0.0,0.056297615
40.0,-3.989791,1,0.12035548,0.0,-4.952562,0.7428325,200.0,0.17742646,0.0,0.060658187
60.0,-5.9125214,2,0.11931532,0.0,-6.872899,0.74771357,300.0,0.17910004,0.01,0.05789842
80.0,-7.9427032,3,0.121716164,0.0,-8.949148,0.7463898,400.0,0.17855601,0.0,0.058613356
100.0,-9.567867,4,0.12060067,0.0,-10.633768,0.7470904,500.0,0.17884068,0.02,0.06004384
120.0,-11.668938,5,0.12065488,0.05,-11.715469,0.7467678,600.0,0.17869303,0.0,0.059230994
140.0,-12.932331,6,0.12533231,0.0,-13.611081,0.7482552,700.0,0.179054,0.0,0.060774207
160.0,-14.136648,7,0.13184007,0.0,-14.620357,0.7485836,800.0,0.17877424,0.01,0.06329312
180.0,-15.627712,8,0.13738918,0.0,-15.416388,0.748967,900.0,0.1787484,0.01,0.064801276
200.0,-16.769424,9,0.14018342,0.0,-17.671192,0.74961287,1000.0,0.17903228,0.01,0.0653338
220.0,-17.843317,10,0.14276657,0.0,-17.764408,0.7486243,1100.0,0.17862406,0.01,0.06647287
240.0,-19.171825,11,0.14461833,0.05,-18.313839,0.74902135,1200.0,0.17880554,0.0,0.06752655
260.0,-18.974434,12,0.14835553,0.0,-20.139679,0.7499151,1300.0,0.17898484,0.02,0.06826179
280.0,-19.34872,13,0.15012158,0.05,-18.590399,0.7502745,1400.0,0.17915422,0.02,0.069457434
300.0,-21.989021,14,0.15310879,0.0,-19.597004,0.75097305,1500.0,0.17928539,0.01,0.07165106
320.0,-20.582598,15,0.15471688,0.0,-21.87489,0.75281733,1600.0,0.17966384,0.01,0.07367864
340.0,-20.728891,16,0.15759389,0.05,-16.660406,0.7543737,1700.0,0.18003039,0.07,0.07514956
360.0,-20.005156,17,0.16033667,0.0,-20.843578,0.7569063,1800.0,0.18064256,0.05,0.07752323
380.0,-19.805431,18,0.16323483,0.0,-17.380857,0.7578878,1900.0,0.18100439,0.03,0.07917168
400.0,-19.734522,19,0.16517138,0.0,-19.333616,0.7586024,2000.0,0.18129143,0.05,0.08123402
420.0,-20.818901,20,0.16756576,0.05,-15.150108,0.7593948,2100.0,0.18139893,0.04,0.08347425
440.0,-19.5812,21,0.16800535,0.05,-17.842148,0.7606885,2200.0,0.1817407,0.04,0.08416679
460.0,-19.98767,22,0.16833891,0.0,-17.527393,0.7623034,2300.0,0.18209928,0.04,0.08512507
480.0,-19.566021,23,0.16823001,0.25,-15.08255,0.7636532,2400.0,0.18250954,0.07,0.08524214
500.0,-20.219336,24,0.16783762,0.15,-15.056775,0.7646435,2500.0,0.18268348,0.05,0.08598352
520.0,-21.008774,25,0.16787279,0.05,-17.407764,0.76624674,2600.0,0.18302324,0.06,0.08656611
540.0,-21.389362,26,0.16809493,0.05,-15.7856245,0.7678666,2700.0,0.18339227,0.05,0.08653257
560.0,-19.746222,27,0.16778417,0.15,-15.381314,0.7695706,2800.0,0.18372707,0.08,0.08674384
580.0,-20.640898,28,0.16815741,0.05,-18.880564,0.7708153,2900.0,0.18403202,0.07,0.08713185
600.0,-20.461754,29,0.1676208,0.15,-19.16185,0.7722526,3000.0,0.18439904,0.06,0.086940736
620.0,-21.8692,30,0.16799939,0.15,-17.8211,0.77338856,3100.0,0.18468596,0.04,0.08773129
640.0,-20.64149,31,0.16793776,0.25,-15.035767,0.77404594,3200.0,0.18491463,0.03,0.087968856
660.0,-21.564661,32,0.16816472,0.3,-12.046728,0.77505726,3300.0,0.1851197,0.05,0.08821166
680.0,-20.192638,33,0.16795988,0.2,-14.512421,0.77575904,3400.0,0.18528804,0.14,0.088871606
700.0,-21.15814,34,0.16759248,0.35,-14.61957,0.7763998,3500.0,0.18543693,0.05,0.08883286
720.0,-20.661528,35,0.16748776,0.2,-18.50123,0.77733725,3600.0,0.18562473,0.1,0.088682845
740.0,-22.216455,36,0.16776043,0.3,-15.041758,0.777896,3700.0,0.18563066,0.14,0.089000046
760.0,-21.018242,37,0.16754341,0.15,-19.598331,0.77881956,3800.0,0.18582645,0.16,0.089329846
780.0,-21.16303,38,0.16702662,0.15,-15.449056,0.7798442,3900.0,0.18595804,0.13,0.08948534
800.0,-23.322432,39,0.16685015,0.3,-18.692854,0.78046006,4000.0,0.1860763,0.05,0.08957311
820.0,-22.000938,40,0.1666786,0.1,-17.356121,0.7815724,4100.0,0.1863515,0.12,0.08972881
840.0,-21.930534,41,0.16642088,0.2,-18.024286,0.782347,4200.0,0.1865478,0.13,0.0899229
860.0,-23.19772,42,0.16669132,0.25,-16.170374,0.78331846,4300.0,0.18665408,0.11,0.09010055
880.0,-22.677963,43,0.16697425,0.25,-18.425793,0.7838421,4400.0,0.18676881,0.17,0.09049167
900.0,-23.119822,44,0.16705912,0.25,-18.014616,0.78447527,4500.0,0.187002,0.11,0.09044854
920.0,-23.850246,45,0.16707206,0.2,-17.749569,0.78533214,4600.0,0.18720527,0.06,0.09036724
940.0,-21.395805,46,0.1665944,0.3,-17.775986,0.7859301,4700.0,0.18730505,0.14,0.09020695
960.0,-24.113281,47,0.16696988,0.2,-17.234058,0.7864954,4800.0,0.18745682,0.09,0.09043316
980.0,-23.336493,48,0.16706641,0.3,-14.944656,0.7871149,4900.0,0.1876225,0.06,0.0908756
1000.0,-22.047016,49,0.16691226,0.15,-19.512743,0.7877546,5000.0,0.18770872,0.19,0.09112392
1020.0,-21.82646,50,0.16665748,0.25,-14.58658,0.7883308,5100.0,0.18779191,0.17,0.09111237
1040.0,-22.929844,51,0.16648932,0.15,-18.282404,0.78891164,5200.0,0.18791646,0.08,0.091271035
1060.0,-22.558765,52,0.16643979,0.2,-18.531734,0.7891539,5300.0,0.18786255,0.11,0.09160652
1080.0,-22.183218,53,0.16612186,0.25,-16.060379,0.7895706,5400.0,0.18779552,0.09,0.091842346
1100.0,-21.55603,54,0.16617501,0.3,-16.784729,0.7898705,5500.0,0.18787964,0.2,0.092107885
1120.0,-23.018406,55,0.1659757,0.2,-17.93693,0.79030794,5600.0,0.18785615,0.1,0.0922158
1140.0,-20.781794,56,0.16568695,0.25,-15.817889,0.7907863,5700.0,0.18790543,0.2,0.09233676
1160.0,-24.019485,57,0.16583635,0.1,-20.58824,0.7910909,5800.0,0.18793865,0.11,0.092940055
1180.0,-22.877932,58,0.16566324,0.35,-13.780734,0.79147416,5900.0,0.1879904,0.14,0.09298607
1200.0,-23.193537,59,0.165278,0.35,-16.113735,0.7919364,6000.0,0.18804932,0.09,0.09309637
1220.0,-23.791653,60,0.16517611,0.25,-17.832716,0.79229265,6100.0,0.18808214,0.13,0.09303605
1240.0,-22.240074,61,0.16500674,0.2,-18.582651,0.7926121,6200.0,0.18808785,0.2,0.093055986
1260.0,-21.18539,62,0.1644948,0.25,-19.708195,0.7931016,6300.0,0.18813862,0.15,0.09300838
1280.0,-23.792654,63,0.16446729,0.2,-19.252935,0.79347616,6400.0,0.18808562,0.12,0.09317842
1300.0,-24.806887,64,0.16442193,0.4,-12.016572,0.7939318,6500.0,0.1880427,0.14,0.09313474
1320.0,-25.319483,65,0.16458787,0.25,-17.189096,0.7942939,6600.0,0.18815166,0.13,0.093267396
1340.0,-25.008179,66,0.16454813,0.3,-16.553566,0.79468614,6700.0,0.1882175,0.09,0.09340226
1360.0,-25.562933,67,0.16445352,0.45,-15.930471,0.79485005,6800.0,0.18824674,0.15,0.09342709
1380.0,-24.720266,68,0.1642714,0.55,-13.566896,0.7951289,6900.0,0.18829596,0.14,0.09353501
1400.0,-24.961037,69,0.16417937,0.35,-14.4555435,0.79548925,7000.0,0.18835822,0.11,0.093568794
1420.0,-24.85083,70,0.16420057,0.4,-17.75342,0.7956159,7100.0,0.18839464,0.14,0.093559936
1440.0,-25.344023,71,0.16412236,0.45,-20.48801,0.7959397,7200.0,0.18842447,0.14,0.093641885
1460.0,-25.859367,72,0.16430469,0.2,-22.168955,0.796237,7300.0,0.18847345,0.14,0.093681835
1480.0,-24.905117,73,0.16448054,0.65,-12.833366,0.7963578,7400.0,0.18850476,0.2,0.093757905
1500.0,-24.88571,74,0.16425064,0.5,-13.253824,0.7967028,7500.0,0.18857674,0.16,0.09362929
1520.0,-22.869644,75,0.16402276,0.4,-16.408085,0.7968678,7600.0,0.18856248,0.21,0.09361758
1540.0,-26.570547,76,0.16402858,0.55,-11.807447,0.7972605,7700.0,0.18861753,0.15,0.09374203
1560.0,-24.22135,77,0.16394778,0.5,-15.369817,0.7975268,7800.0,0.1887009,0.21,0.09373389
1580.0,-25.935173,78,0.16374612,0.6,-15.604523,0.79798126,7900.0,0.18871544,0.12,0.09372275
1600.0,-25.996767,79,0.16368507,0.2,-18.24908,0.79811925,8000.0,0.18879527,0.13,0.09366963
1620.0,-24.717041,80,0.1633791,0.45,-16.412085,0.7984471,8100.0,0.18884736,0.25,0.09353802
1640.0,-27.668476,81,0.16357873,0.35,-18.521822,0.7986695,8200.0,0.18894038,0.12,0.093587466
1660.0,-25.392933,82,0.16351593,0.25,-20.88262,0.7989361,8300.0,0.18900497,0.2,0.09374036
1680.0,-25.653357,83,0.16355868,0.2,-18.329891,0.79907846,8400.0,0.18903476,0.19,0.09384658
1700.0,-24.899775,84,0.16362719,0.4,-15.945704,0.79933363,8500.0,0.18912275,0.2,0.09409818
1720.0,-25.848465,85,0.16365021,0.3,-16.659334,0.7995897,8600.0,0.18917519,0.13,0.09426879
1740.0,-24.325874,86,0.16361,0.35,-12.878923,0.79996496,8700.0,0.1892525,0.16,0.0944362
1760.0,-24.49089,87,0.16352297,0.5,-13.3808775,0.80017465,8800.0,0.18930504,0.2,0.094374664
1780.0,-24.281944,88,0.16347459,0.3,-16.582584,0.800432,8900.0,0.18934633,0.14,0.094416454
1800.0,-23.47002,89,0.16327347,0.5,-14.545917,0.80073434,9000.0,0.18943249,0.21,0.094396494
1820.0,-25.852087,90,0.16317172,0.5,-15.302785,0.800966,9100.0,0.18946292,0.11,0.09443732
1840.0,-24.55386,91,0.16326839,0.4,-15.295238,0.8010176,9200.0,0.18946272,0.19,0.09453122
1860.0,-23.594786,92,0.16309734,0.45,-15.509463,0.801244,9300.0,0.18954013,0.18,0.094451696
1880.0,-26.652626,93,0.16311367,0.3,-20.272198,0.8015395,9400.0,0.18960911,0.11,0.0944427
1900.0,-24.815056,94,0.16297382,0.4,-17.156864,0.8018422,9500.0,0.18965393,0.15,0.09447431
