test/mean_Q,train/mean_Q,epoch,train/episode,stats_o/std,test/success_rate,stats_o/mean,stats_g/mean,test/episode,train/success_rate,stats_g/std
-3.1274116,-2.047163,0,100.0,0.050500464,0.0,0.17951998,0.74693054,20.0,0.0,0.10973839
-5.148942,-4.0397677,1,200.0,0.052592512,0.0,0.17777231,0.7452211,40.0,0.0,0.11136094
-6.772368,-5.9996953,2,300.0,0.05847592,0.0,0.17911883,0.7473305,60.0,0.01,0.11415067
-9.29117,-8.022987,3,400.0,0.0561778,0.0,0.17855908,0.74701357,80.0,0.0,0.111400925
-10.904077,-9.705054,4,500.0,0.056091994,0.0,0.17901276,0.74808484,100.0,0.02,0.11155089
-11.833779,-11.720478,5,600.0,0.0561782,0.0,0.17888403,0.74780935,120.0,0.0,0.11385382
-13.776548,-13.237835,6,700.0,0.05794791,0.0,0.17867632,0.7486896,140.0,0.01,0.119321644
-14.135124,-14.507129,7,800.0,0.059851322,0.0,0.17888662,0.75011724,160.0,0.02,0.1242536
-16.016094,-16.298431,8,900.0,0.059944667,0.0,0.17876631,0.7493947,180.0,0.0,0.12707372
-19.343845,-17.551498,9,1000.0,0.06086217,0.0,0.1791863,0.7499425,200.0,0.0,0.13035683
-19.666471,-18.741465,10,1100.0,0.061053816,0.0,0.17920762,0.75044465,220.0,0.02,0.1316681
-18.639935,-20.178967,11,1200.0,0.06418144,0.05,0.17926854,0.75098395,240.0,0.0,0.133885
-20.45742,-20.43993,12,1300.0,0.06704088,0.0,0.17959692,0.7515802,260.0,0.0,0.13809569
-19.888422,-20.996088,13,1400.0,0.06877919,0.0,0.17996864,0.7526763,280.0,0.01,0.14167441
-19.771389,-21.83517,14,1500.0,0.069895,0.0,0.17964691,0.75138503,300.0,0.0,0.14618073
-18.000858,-20.196152,15,1600.0,0.07174299,0.1,0.18004933,0.75217175,320.0,0.01,0.14846908
-19.351635,-21.027847,16,1700.0,0.07546306,0.0,0.18020664,0.7526813,340.0,0.02,0.15158574
-24.154333,-21.101704,17,1800.0,0.07705662,0.0,0.18066779,0.75419253,360.0,0.01,0.15471376
-19.293415,-22.311464,18,1900.0,0.07910748,0.1,0.18061486,0.7544797,380.0,0.01,0.15946156
-19.223866,-20.608088,19,2000.0,0.08140703,0.15,0.18075222,0.75463873,400.0,0.07,0.16331711
-17.360695,-21.107271,20,2100.0,0.08273427,0.15,0.1809947,0.7552963,420.0,0.07,0.16558151
-19.576885,-19.801151,21,2200.0,0.08443608,0.0,0.1813328,0.7566588,440.0,0.06,0.16647588
-18.424398,-20.842545,22,2300.0,0.085842885,0.05,0.18183409,0.75838846,460.0,0.06,0.16828795
-19.225723,-20.360415,23,2400.0,0.087023266,0.15,0.18222453,0.75902075,480.0,0.06,0.16937621
-15.652069,-20.336063,24,2500.0,0.08741581,0.25,0.18272327,0.7613359,500.0,0.06,0.17014183
-17.585129,-21.031609,25,2600.0,0.08889975,0.1,0.18335874,0.7635835,520.0,0.05,0.17183737
-12.586419,-18.963669,26,2700.0,0.08901807,0.25,0.18405057,0.76579666,540.0,0.06,0.17229545
-16.477911,-19.984173,27,2800.0,0.08989903,0.05,0.1845821,0.7684596,560.0,0.15,0.1730545
-15.16508,-21.496565,28,2900.0,0.09019258,0.2,0.18508284,0.7707455,580.0,0.04,0.17387836
-17.865252,-20.096634,29,3000.0,0.09048132,0.2,0.18554237,0.77235264,600.0,0.13,0.1739778
-16.136665,-19.994814,30,3100.0,0.09040904,0.2,0.1858182,0.77354366,620.0,0.05,0.17356743
-13.028714,-20.893034,31,3200.0,0.090346344,0.25,0.18610144,0.7749663,640.0,0.1,0.17357038
-15.718491,-20.07413,32,3300.0,0.0902756,0.1,0.18629222,0.77598304,660.0,0.12,0.17335743
-16.610191,-20.109047,33,3400.0,0.09030728,0.15,0.18650486,0.7769928,680.0,0.16,0.17312056
-13.387642,-19.17537,34,3500.0,0.09003646,0.5,0.18669693,0.7780449,700.0,0.14,0.17241181
-17.396122,-21.8776,35,3600.0,0.09015777,0.2,0.18691961,0.7794756,720.0,0.13,0.17302144
-17.47761,-22.378878,36,3700.0,0.09019536,0.15,0.18700708,0.7806199,740.0,0.07,0.17303033
-16.664303,-21.049105,37,3800.0,0.09002351,0.05,0.1872348,0.7818125,760.0,0.13,0.1724418
-15.474599,-21.013155,38,3900.0,0.08990353,0.25,0.18735918,0.78293514,780.0,0.1,0.17203616
-18.18962,-22.142729,39,4000.0,0.0896614,0.05,0.1874714,0.78373486,800.0,0.09,0.17160755
-15.033635,-22.510052,40,4100.0,0.08961793,0.3,0.18754274,0.78445435,820.0,0.1,0.1713618
-17.329063,-21.83596,41,4200.0,0.08968046,0.2,0.18759914,0.7852049,840.0,0.11,0.17128986
-15.654266,-23.164412,42,4300.0,0.089656346,0.15,0.18772307,0.7862356,860.0,0.09,0.17112327
-17.226835,-23.043083,43,4400.0,0.089910395,0.1,0.18769914,0.78660274,880.0,0.1,0.17122601
-15.90534,-21.575947,44,4500.0,0.08974921,0.25,0.18779528,0.78702354,900.0,0.04,0.1709541
-19.464655,-21.914265,45,4600.0,0.08969985,0.05,0.1877916,0.7874884,920.0,0.1,0.17095238
-17.168818,-21.304739,46,4700.0,0.089535005,0.15,0.18785545,0.7877752,940.0,0.09,0.17059122
-15.240949,-21.910679,47,4800.0,0.08940222,0.1,0.1878116,0.7879694,960.0,0.11,0.17035182
-16.769907,-21.749573,48,4900.0,0.08922656,0.1,0.18784468,0.78841543,980.0,0.09,0.16985612
-18.512383,-20.83102,49,5000.0,0.08945885,0.15,0.18790102,0.78904575,1000.0,0.17,0.1693225
-14.402743,-24.108416,50,5100.0,0.089543216,0.25,0.18801084,0.78951806,1020.0,0.09,0.16932905
-14.547368,-22.13869,51,5200.0,0.08959559,0.3,0.1880138,0.7899766,1040.0,0.11,0.16916652
-18.33622,-21.441309,52,5300.0,0.08978048,0.2,0.18803293,0.790204,1060.0,0.13,0.16887897
-17.085323,-23.275734,53,5400.0,0.08975689,0.3,0.18802685,0.79076487,1080.0,0.09,0.16873884
-13.966646,-22.663458,54,5500.0,0.08988029,0.35,0.18810655,0.7912717,1100.0,0.14,0.16856605
-18.147577,-23.612469,55,5600.0,0.090025604,0.1,0.18809305,0.7916987,1120.0,0.14,0.16846032
-20.927362,-22.156221,56,5700.0,0.090260066,0.25,0.18817021,0.792222,1140.0,0.16,0.16842681
-17.262728,-23.961994,57,5800.0,0.09024549,0.35,0.18814427,0.7925532,1160.0,0.11,0.16825075
-17.443684,-22.910856,58,5900.0,0.09021129,0.2,0.18818419,0.79295295,1180.0,0.18,0.16810076
-17.647097,-22.864937,59,6000.0,0.0901748,0.2,0.18826123,0.79336023,1200.0,0.15,0.16787128
-15.830519,-24.331152,60,6100.0,0.09016716,0.3,0.18829311,0.7938461,1220.0,0.11,0.16795366
