test/episode,test/mean_Q,test/success_rate,stats_o/mean,train/success_rate,train/mean_Q,epoch,stats_g/std,stats_o/std,train/episode,stats_g/mean
20.0,-3.1289005,0.0,0.17694302,0.0,-2.0941136,0,0.10881195,0.06567952,100.0,0.74308294
40.0,-5.146497,0.05,0.17640248,0.0,-4.08954,1,0.10596734,0.060053606,200.0,0.74368733
60.0,-6.9356794,0.0,0.17805575,0.01,-5.9550323,2,0.104590505,0.05870926,300.0,0.74583846
80.0,-9.053846,0.0,0.17785905,0.0,-8.098382,3,0.104002535,0.057290856,400.0,0.74553055
100.0,-10.576728,0.0,0.17828608,0.02,-9.612843,4,0.105187505,0.05730631,500.0,0.74676627
120.0,-12.39652,0.0,0.17801379,0.0,-11.543422,5,0.10717044,0.05940425,600.0,0.74639994
140.0,-13.78994,0.0,0.17812036,0.0,-12.905665,6,0.10718208,0.0627926,700.0,0.7464378
160.0,-13.944429,0.0,0.1781407,0.01,-14.442453,7,0.10703213,0.06228219,800.0,0.7470098
180.0,-15.707502,0.0,0.17825197,0.0,-16.046766,8,0.10857082,0.064081684,900.0,0.74658203
200.0,-18.673178,0.0,0.17854255,0.01,-17.164272,9,0.1087476,0.06471291,1000.0,0.74650496
220.0,-18.752514,0.0,0.17829382,0.01,-17.906214,10,0.10895262,0.06526694,1100.0,0.7462766
240.0,-18.180088,0.05,0.17837755,0.01,-19.36344,11,0.109579824,0.06534437,1200.0,0.74659246
260.0,-19.972153,0.0,0.17858452,0.0,-19.217844,12,0.11018958,0.0665574,1300.0,0.7469136
280.0,-19.761906,0.0,0.17904156,0.04,-19.173372,13,0.10982221,0.06722783,1400.0,0.7471408
300.0,-18.667126,0.0,0.17905289,0.0,-21.475754,14,0.1102913,0.06807492,1500.0,0.7468737
320.0,-23.73647,0.0,0.17921707,0.0,-20.870228,15,0.110081226,0.06826293,1600.0,0.74732417
340.0,-20.94216,0.0,0.17932613,0.01,-21.523663,16,0.11065925,0.06877801,1700.0,0.74738437
360.0,-24.041748,0.0,0.17951122,0.03,-21.696575,17,0.110316664,0.06856641,1800.0,0.74770254
380.0,-23.125132,0.0,0.17949043,0.02,-23.078176,18,0.11064417,0.06862947,1900.0,0.74766564
400.0,-23.92073,0.0,0.1794721,0.01,-24.358372,19,0.11127249,0.069031805,2000.0,0.7475603
420.0,-21.190128,0.1,0.17952932,0.02,-24.159744,20,0.11183954,0.07001638,2100.0,0.7477471
440.0,-25.264772,0.0,0.17950615,0.0,-24.090569,21,0.11211333,0.07093276,2200.0,0.7476962
460.0,-23.181795,0.0,0.17965026,0.01,-24.07836,22,0.11231845,0.07110122,2300.0,0.7479152
480.0,-21.329916,0.05,0.1797191,0.04,-23.759764,23,0.11236472,0.07145244,2400.0,0.7477897
500.0,-21.935421,0.0,0.17977531,0.03,-24.157095,24,0.11246724,0.071694605,2500.0,0.74796754
520.0,-23.758808,0.0,0.17969893,0.02,-27.284203,25,0.11253855,0.07192628,2600.0,0.74790025
540.0,-22.896606,0.0,0.1797209,0.01,-24.90066,26,0.11290554,0.07203336,2700.0,0.74809533
560.0,-23.802559,0.0,0.1797818,0.02,-25.886345,27,0.113296025,0.07317229,2800.0,0.748224
580.0,-24.080229,0.05,0.17982656,0.01,-25.433832,28,0.11361369,0.07330258,2900.0,0.7481332
600.0,-26.472178,0.0,0.18008956,0.01,-26.189293,29,0.11360511,0.073607385,3000.0,0.74824184
620.0,-24.872034,0.05,0.18013224,0.05,-25.881512,30,0.11393032,0.07375061,3100.0,0.7481987
640.0,-22.270649,0.05,0.18029365,0.05,-25.56033,31,0.11419532,0.074193984,3200.0,0.7482516
660.0,-21.612982,0.05,0.18053941,0.03,-26.629063,32,0.114571154,0.07464248,3300.0,0.7484171
680.0,-19.34064,0.1,0.18081939,0.04,-25.82177,33,0.115048416,0.07519903,3400.0,0.74868363
700.0,-21.045238,0.1,0.18088202,0.08,-24.668726,34,0.115234196,0.075615585,3500.0,0.74866503
720.0,-21.967146,0.05,0.18098402,0.02,-25.975342,35,0.116054915,0.07622828,3600.0,0.74885416
740.0,-23.45516,0.1,0.18102033,0.06,-25.562204,36,0.11622261,0.07631661,3700.0,0.7489106
760.0,-20.239351,0.05,0.18121585,0.09,-25.675137,37,0.116460495,0.07671657,3800.0,0.7492266
780.0,-18.424038,0.15,0.181268,0.03,-24.760723,38,0.1167698,0.07718781,3900.0,0.7497013
800.0,-19.793081,0.0,0.18130718,0.06,-22.78307,39,0.11693584,0.07773482,4000.0,0.74978834
820.0,-18.465897,0.05,0.18122062,0.03,-22.891695,40,0.11706544,0.07779635,4100.0,0.74983805
840.0,-18.718245,0.05,0.18130337,0.03,-23.45155,41,0.1172614,0.078526214,4200.0,0.7499347
860.0,-20.378178,0.15,0.18122773,0.05,-23.68234,42,0.117539294,0.078847036,4300.0,0.7500251
880.0,-18.640394,0.1,0.18130797,0.01,-24.348915,43,0.11799425,0.079579905,4400.0,0.7500806
900.0,-20.7146,0.05,0.18134736,0.03,-25.00246,44,0.11809579,0.0801282,4500.0,0.75014406
920.0,-25.963312,0.1,0.18139401,0.05,-22.346392,45,0.11825041,0.08018294,4600.0,0.7502391
940.0,-19.691143,0.2,0.18153046,0.07,-22.197124,46,0.11820922,0.08054454,4700.0,0.75040215
960.0,-16.344168,0.0,0.18155836,0.06,-22.467937,47,0.118400574,0.08063195,4800.0,0.7506008
980.0,-18.017529,0.0,0.18177614,0.07,-21.169065,48,0.11842451,0.08069336,4900.0,0.7509928
