train/success_rate,epoch,test/mean_Q,stats_o/mean,test/success_rate,stats_g/std,stats_g/mean,train/mean_Q,test/episode,stats_o/std,train/episode
0.05,0,-1.9926541,0.20096059,0.1,0.08376468,0.8382349,-1.8711249,20.0,0.05526432,100.0
0.1,1,-4.2271147,0.20043482,0.0,0.084189616,0.83786756,-3.5807981,40.0,0.056274988,200.0
0.04,2,-5.4738955,0.20042019,0.1,0.08261783,0.83723575,-5.6308064,60.0,0.05465496,300.0
0.1,3,-7.873037,0.20102161,0.05,0.08177592,0.8388459,-7.0266237,80.0,0.051888734,400.0
0.09,4,-10.035322,0.20140405,0.0,0.081061505,0.84024924,-8.8224,100.0,0.051249065,500.0
0.04,5,-10.89635,0.20147534,0.1,0.08079875,0.8404732,-11.314143,120.0,0.050091688,600.0
0.05,6,-10.738913,0.20132372,0.2,0.08013838,0.8398239,-12.656532,140.0,0.049232136,700.0
0.1,7,-13.181989,0.20127025,0.15,0.080924906,0.8397328,-13.273959,160.0,0.050336827,800.0
0.09,8,-15.292356,0.20116097,0.1,0.08086177,0.8391997,-15.24929,180.0,0.04999897,900.0
0.08,9,-16.275959,0.2009741,0.05,0.081333645,0.838532,-15.883536,200.0,0.0512385,1000.0
0.06,10,-15.523114,0.2009848,0.15,0.081164576,0.8387119,-17.470858,220.0,0.052060947,1100.0
0.06,11,-19.356756,0.20082235,0.0,0.081254095,0.83809847,-18.391302,240.0,0.052206345,1200.0
0.07,12,-19.93334,0.20089686,0.0,0.08193467,0.8381445,-20.132326,260.0,0.053425055,1300.0
0.05,13,-21.356373,0.2008633,0.05,0.082274675,0.8377962,-21.263184,280.0,0.05400746,1400.0
0.05,14,-21.306534,0.20073868,0.05,0.08232563,0.8374322,-21.786064,300.0,0.055108357,1500.0
0.07,15,-24.455856,0.20076792,0.05,0.08297157,0.8374148,-22.483238,320.0,0.055402175,1600.0
0.04,16,-20.990108,0.20094086,0.1,0.08340634,0.8377897,-24.27411,340.0,0.05640727,1700.0
0.12,17,-25.031666,0.20105496,0.05,0.083435856,0.83792645,-23.060091,360.0,0.05773004,1800.0
0.07,18,-21.22481,0.2009882,0.15,0.08373404,0.8375631,-24.235489,380.0,0.058713168,1900.0
0.11,19,-22.94536,0.20097564,0.1,0.08361108,0.8373816,-24.775808,400.0,0.059188507,2000.0
0.03,20,-27.92577,0.20119223,0.0,0.084884785,0.8375521,-28.15748,420.0,0.060859464,2100.0
0.07,21,-23.275463,0.20128936,0.15,0.085373856,0.83742356,-27.248447,440.0,0.06157592,2200.0
0.05,22,-25.067577,0.2012757,0.15,0.08684912,0.8368146,-28.100042,460.0,0.06358607,2300.0
0.13,23,-26.15855,0.20126241,0.15,0.08808679,0.8363137,-25.802473,480.0,0.065767325,2400.0
0.09,24,-25.986938,0.20131594,0.05,0.089531966,0.83608866,-26.833857,500.0,0.06843236,2500.0
0.06,25,-27.125723,0.20143616,0.15,0.09074441,0.83627754,-28.673521,520.0,0.07068563,2600.0
0.18,26,-32.28677,0.20145026,0.0,0.09172615,0.8361335,-24.543951,540.0,0.07172677,2700.0
0.1,27,-30.322992,0.20145592,0.0,0.092559315,0.83601,-27.383656,560.0,0.07271601,2800.0
0.07,28,-25.64412,0.20133626,0.15,0.09322246,0.8357013,-28.410063,580.0,0.074481785,2900.0
0.09,29,-31.223713,0.20141862,0.05,0.093335606,0.83572483,-26.97325,600.0,0.07582444,3000.0
0.11,30,-25.434404,0.20133688,0.15,0.0937224,0.8357311,-26.694374,620.0,0.07685971,3100.0
0.1,31,-27.534595,0.20155762,0.15,0.09530782,0.83579224,-27.214062,640.0,0.07853314,3200.0
0.18,32,-27.354382,0.20162417,0.1,0.09678959,0.835979,-22.917492,660.0,0.0806838,3300.0
0.16,33,-21.350443,0.20167106,0.15,0.09794021,0.8360917,-22.62647,680.0,0.08218362,3400.0
0.2,34,-20.1756,0.201728,0.15,0.09792358,0.83612514,-18.631987,700.0,0.0830079,3500.0
0.24,35,-15.534869,0.20186545,0.25,0.097566344,0.836334,-18.142963,720.0,0.08355301,3600.0
0.26,36,-16.398548,0.20174135,0.25,0.097879656,0.8362234,-17.577356,740.0,0.08440267,3700.0
0.19,37,-16.460276,0.20177658,0.25,0.09765742,0.8363401,-17.639885,760.0,0.085111015,3800.0
0.23,38,-12.372334,0.2017083,0.45,0.09815962,0.83630866,-16.85581,780.0,0.08613498,3900.0
0.23,39,-15.576274,0.20143023,0.35,0.09829015,0.83613276,-16.529713,800.0,0.08703149,4000.0
0.33,40,-11.629667,0.20141518,0.55,0.09852472,0.8359478,-15.582368,820.0,0.088536456,4100.0
0.44,41,-12.747105,0.20143959,0.5,0.09827018,0.8360014,-12.212755,840.0,0.089290254,4200.0
0.48,42,-6.752794,0.20138429,0.7,0.09805467,0.83607936,-11.6765785,860.0,0.08964885,4300.0
0.52,43,-11.966652,0.20131168,0.5,0.09766946,0.83604,-10.152714,880.0,0.089798495,4400.0
0.42,44,-7.887545,0.20121223,0.7,0.09759229,0.83601165,-12.106179,900.0,0.09069728,4500.0
0.47,45,-9.598223,0.20121846,0.65,0.09753168,0.83605456,-10.929061,920.0,0.091101505,4600.0
0.5,46,-8.509886,0.20119701,0.75,0.097295046,0.8361716,-10.452354,940.0,0.091561735,4700.0
0.49,47,-6.978311,0.20117822,0.55,0.09709089,0.836251,-9.944267,960.0,0.092128,4800.0
0.56,48,-8.21392,0.20107615,0.4,0.09687942,0.83633727,-8.100063,980.0,0.09242354,4900.0
0.56,49,-7.15684,0.2011188,0.45,0.096672,0.836571,-8.298531,1000.0,0.092895724,5000.0
0.41,50,-9.053743,0.20115867,0.55,0.096443295,0.8367216,-10.1758375,1020.0,0.093427636,5100.0
