test/mean_Q,train/success_rate,train/episode,stats_o/std,stats_g/std,stats_o/mean,stats_g/mean,test/success_rate,train/mean_Q,epoch,test/episode
-2.0450454,0.05,100.0,0.036642037,0.078372106,0.2009248,0.8376932,0.1,-1.8694006,0,20.0
-4.2848597,0.11,200.0,0.040079664,0.07741645,0.20102778,0.83784384,0.0,-3.6133273,1,40.0
-5.5037,0.05,300.0,0.04339511,0.07701027,0.2011237,0.8374193,0.1,-5.608515,2,60.0
-7.8371553,0.1,400.0,0.04272153,0.07700623,0.20153905,0.83893126,0.05,-7.0955653,3,80.0
-10.148028,0.09,500.0,0.04357557,0.07695614,0.20193239,0.8406159,0.0,-8.982046,4,100.0
-10.981775,0.04,600.0,0.043003913,0.07697305,0.20189017,0.84047556,0.1,-11.324707,5,120.0
-10.863374,0.05,700.0,0.044814803,0.07672403,0.20153515,0.8395577,0.2,-12.448777,6,140.0
-13.762543,0.09,800.0,0.04498315,0.076582804,0.20148821,0.83912045,0.1,-13.054261,7,160.0
-15.035669,0.08,900.0,0.0486635,0.07898063,0.20156276,0.8384113,0.1,-15.094085,8,180.0
-16.7078,0.08,1000.0,0.04937845,0.07904949,0.201413,0.8379622,0.05,-15.890428,9,200.0
-13.490367,0.07,1100.0,0.052030634,0.0802258,0.20155513,0.83814454,0.15,-16.671974,10,220.0
-19.166553,0.06,1200.0,0.054003544,0.08099515,0.20144612,0.83766073,0.0,-17.985485,11,240.0
-20.510574,0.07,1300.0,0.05517013,0.08151622,0.2014923,0.8379925,0.0,-19.44369,12,260.0
-19.965948,0.05,1400.0,0.056060728,0.08219988,0.20144695,0.83783036,0.05,-21.29289,13,280.0
-22.08032,0.05,1500.0,0.05702982,0.082651116,0.20130458,0.8375461,0.05,-21.81084,14,300.0
-23.205006,0.05,1600.0,0.05686436,0.082536705,0.20135117,0.8378188,0.05,-22.412285,15,320.0
-21.732853,0.05,1700.0,0.058064803,0.08287687,0.2014887,0.83822995,0.1,-23.955032,16,340.0
-24.37682,0.13,1800.0,0.058889315,0.08325469,0.20152548,0.83827543,0.1,-22.816154,17,360.0
-22.397978,0.09,1900.0,0.059849307,0.083654396,0.20141505,0.83798885,0.15,-24.196995,18,380.0
-21.859495,0.11,2000.0,0.05981903,0.0834407,0.20132196,0.8378723,0.2,-24.549934,19,400.0
-28.663492,0.03,2100.0,0.059481755,0.0834288,0.2014085,0.83815366,0.0,-27.904512,20,420.0
-23.532225,0.05,2200.0,0.060962103,0.08422437,0.2013263,0.8381135,0.15,-27.332403,21,440.0
-26.237385,0.06,2300.0,0.062451426,0.08465936,0.20121475,0.8376224,0.15,-27.973083,22,460.0
-26.65885,0.12,2400.0,0.06370059,0.08509796,0.20107841,0.8372671,0.15,-26.81442,23,480.0
-27.005991,0.12,2500.0,0.06463987,0.08534906,0.20113747,0.837292,0.05,-27.507362,24,500.0
-29.37471,0.1,2600.0,0.06552295,0.08548016,0.20102632,0.8375094,0.1,-29.21046,25,520.0
-32.31791,0.22,2700.0,0.066803984,0.08593997,0.20090762,0.8375209,0.1,-25.67763,26,540.0
-24.747715,0.12,2800.0,0.06855819,0.087160826,0.2007889,0.8372442,0.1,-27.576797,27,560.0
-27.130362,0.1,2900.0,0.070038386,0.08747538,0.20064932,0.83708614,0.15,-28.662674,28,580.0
-31.362066,0.11,3000.0,0.07122984,0.08784738,0.2006075,0.8370454,0.0,-28.834671,29,600.0
-23.588284,0.15,3100.0,0.07308337,0.08837209,0.20062874,0.8368616,0.15,-25.046215,30,620.0
-24.850328,0.12,3200.0,0.07397891,0.088481404,0.20063998,0.83697253,0.05,-25.022202,31,640.0
-24.804672,0.16,3300.0,0.074842565,0.08895699,0.2007435,0.8372133,0.15,-21.803673,32,660.0
-21.17384,0.14,3400.0,0.07668192,0.089953,0.20075524,0.8372853,0.35,-23.927393,33,680.0
-17.9003,0.17,3500.0,0.07750427,0.08992779,0.20070718,0.8372312,0.15,-23.206839,34,700.0
-21.894117,0.15,3600.0,0.07848386,0.08973113,0.20075078,0.8373437,0.25,-21.375805,35,720.0
-15.957698,0.18,3700.0,0.08003457,0.08971884,0.20082337,0.83744377,0.2,-20.836462,36,740.0
-11.510655,0.18,3800.0,0.0810867,0.089805506,0.20092571,0.8375514,0.35,-19.139143,37,760.0
-10.828539,0.23,3900.0,0.08214913,0.08960744,0.20095162,0.8375365,0.45,-16.58409,38,780.0
-14.298984,0.31,4000.0,0.08242351,0.08938376,0.20096058,0.8374041,0.35,-13.956756,39,800.0
-9.453486,0.38,4100.0,0.08260582,0.08922693,0.20088378,0.8373192,0.45,-13.302827,40,820.0
-13.168106,0.35,4200.0,0.082799934,0.089123555,0.20088726,0.8373336,0.3,-12.696617,41,840.0
-8.465558,0.34,4300.0,0.083989665,0.08900642,0.20089947,0.83732575,0.55,-12.947083,42,860.0
-14.9027195,0.47,4400.0,0.08393727,0.0887068,0.20095779,0.83741635,0.3,-9.788382,43,880.0
-8.629225,0.4,4500.0,0.084963776,0.088738285,0.20104584,0.8374091,0.5,-11.006225,44,900.0
-9.153645,0.53,4600.0,0.085172586,0.088600196,0.20107786,0.8375446,0.5,-10.216956,45,920.0
-7.4761186,0.46,4700.0,0.08554864,0.08838627,0.2010848,0.83744115,0.6,-11.434584,46,940.0
